SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:06:27
Date and Time Ended,2022-Jun-08 18:07:10
Scan Name,Scan 3
Link Settings,
Reset RX After Applying Settings,false
Open Area,8664
Horizontal Opening,42
Horizontal Percentage,64.62
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.24468,0.235534,0.217061,0.188579,0.153291,0.108906,0.0720608,0.0443427,0.024528,0.0123368,0.00599832,0.00304112,0.00126249,0.000449187,0.000183585,5.82704e-05,1.74525e-05,6.48508e-06,1.33516e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.38422e-06,2.07904e-05,0.000113775,0.0003851,0.00117342,0.00344444,0.00749252,0.0172846,0.0316558,0.0517425,0.0846093,0.121649,0.155149,0.190155,0.215349,0.235128,0.244534,0.248088,0.2496,0.251285
126,0.24468,0.234994,0.21603,0.186603,0.150254,0.109021,0.0703769,0.0429659,0.022922,0.0114716,0.0059988,0.00265803,0.00112497,0.000433642,0.00017195,5.28344e-05,1.06813e-05,3.81476e-06,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.09812e-06,1.91691e-05,9.37476e-05,0.000356107,0.00109512,0.00305409,0.0074195,0.0158065,0.0315412,0.050837,0.0816412,0.115509,0.151645,0.188753,0.216831,0.234859,0.243516,0.247788,0.249905,0.251439
125,0.244972,0.23246,0.215236,0.184336,0.148082,0.105647,0.0695051,0.0406787,0.022199,0.0109711,0.00526036,0.00254215,0.00108396,0.000380522,0.000149825,4.59678e-05,1.31609e-05,5.05455e-06,5.72213e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,1.43053e-05,8.402e-05,0.000350004,0.000964466,0.00293717,0.00693005,0.0151343,0.0295522,0.0487322,0.0778104,0.111789,0.149979,0.188319,0.214672,0.233786,0.243371,0.248088,0.2496,0.251285
124,0.243806,0.23352,0.21333,0.18417,0.146966,0.104675,0.0682884,0.0400346,0.0210134,0.0105235,0.00508145,0.00234874,0.000962177,0.000384527,0.000142004,4.64446e-05,1.21118e-05,3.81476e-06,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,1.33516e-05,7.24804e-05,0.00031033,0.000916781,0.00277943,0.00672943,0.0145888,0.0278011,0.0467786,0.0781817,0.108761,0.147495,0.185002,0.21333,0.232724,0.242077,0.247041,0.249752,0.251593
123,0.242794,0.232724,0.212665,0.181236,0.144631,0.101687,0.0643509,0.0386336,0.0207631,0.0102204,0.00480154,0.00229009,0.000957313,0.000341325,0.000131895,3.68124e-05,1.04906e-05,4.10086e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,9.63226e-06,6.46601e-05,0.000276951,0.000864424,0.00250343,0.00616426,0.0134841,0.0263574,0.0454347,0.0745937,0.106971,0.144784,0.183922,0.210264,0.233653,0.242794,0.24854,0.249905,0.251439
122,0.243516,0.232592,0.209404,0.17941,0.142319,0.0984127,0.0629757,0.0377123,0.0195091,0.00981086,0.00466964,0.00217603,0.000887598,0.000299172,0.00011883,3.40467e-05,8.10636e-06,2.28885e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,7.91562e-06,5.58862e-05,0.00024548,0.000709163,0.00232271,0.00595397,0.012727,0.025398,0.0468107,0.0725844,0.103068,0.143415,0.181397,0.209511,0.230368,0.242363,0.247788,0.249448,0.252836
121,0.241934,0.229851,0.208551,0.176854,0.13833,0.096375,0.0603675,0.0357661,0.0187913,0.00885053,0.0044295,0.00206235,0.000751793,0.000286679,9.54643e-05,3.31884e-05,8.10636e-06,3.0518e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,8.77394e-06,5.43603e-05,0.00023518,0.000654707,0.002152,0.00548619,0.0120324,0.0246298,0.0429209,0.0706196,0.102527,0.143566,0.17855,0.209618,0.230887,0.241506,0.246595,0.25021,0.252058
120,0.241363,0.228696,0.208127,0.175565,0.135987,0.0944417,0.0596554,0.0351281,0.0178932,0.00848635,0.0041743,0.00188287,0.000758755,0.000271611,0.000102903,2.88014e-05,9.63226e-06,2.57496e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,5.5314e-06,4.5491e-05,0.000222877,0.000633631,0.0021087,0.00508106,0.0116723,0.0240287,0.0397278,0.0680162,0.100317,0.13965,0.176854,0.209511,0.229336,0.240796,0.246298,0.250363,0.252524
119,0.241506,0.226295,0.205929,0.171306,0.13166,0.0935573,0.0578767,0.0332624,0.0171939,0.00835343,0.00400683,0.0017071,0.000640784,0.000253967,8.5832e-05,2.2221e-05,5.43603e-06,2.47959e-06,3.81476e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.5314e-06,3.76707e-05,0.000190738,0.000581178,0.00198539,0.00465333,0.0109552,0.0222569,0.0391731,0.0669818,0.0974527,0.138892,0.178007,0.205413,0.228568,0.240937,0.247041,0.249752,0.252524
118,0.241079,0.2273,0.205826,0.171092,0.129414,0.0900206,0.0564256,0.0319571,0.016568,0.00800973,0.00370279,0.00168526,0.000677977,0.000211051,7.56275e-05,2.01228e-05,5.14992e-06,1.04906e-06,2.86107e-07,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.5314e-06,3.19486e-05,0.000166896,0.000481708,0.00186227,0.00439975,0.0107075,0.0216202,0.0373717,0.0648399,0.0982946,0.137771,0.172679,0.20697,0.227932,0.240513,0.246743,0.250057,0.25409
