SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:04:56
Date and Time Ended,2022-Jun-08 18:05:41
Scan Name,Scan 1
Link Settings,
Reset RX After Applying Settings,false
Open Area,9060
Horizontal Opening,43
Horizontal Percentage,66.15
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.237446,0.222969,0.20287,0.169254,0.141483,0.109167,0.0770203,0.0470689,0.028064,0.0144,0.00629186,0.00234751,0.000679122,0.000156214,2.86107e-05,2.86107e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,8.5832e-06,7.68673e-05,0.00052882,0.00184701,0.0059205,0.0154046,0.0293721,0.0532562,0.0824298,0.120931,0.151926,0.190067,0.21124,0.229464,0.24222,0.247041,0.249752,0.252992,0.257931
126,0.239109,0.222848,0.199997,0.170878,0.140609,0.107505,0.0747434,0.0451492,0.0269239,0.0134531,0.00592355,0.00223325,0.000639925,0.000140383,1.8883e-05,3.52865e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,8.29709e-06,6.62814e-05,0.000452907,0.00171969,0.00547398,0.0143085,0.0284776,0.0503434,0.0816249,0.11706,0.153176,0.18542,0.210588,0.229722,0.240937,0.246595,0.250363,0.252524,0.257931
125,0.234859,0.221762,0.199997,0.167935,0.13644,0.103511,0.0743229,0.0451691,0.0262914,0.0130402,0.00565757,0.0020716,0.000574884,0.000130941,1.84062e-05,2.7657e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,7.0573e-06,6.57092e-05,0.000425631,0.00164082,0.00530222,0.0136436,0.0268498,0.0495217,0.0774719,0.113461,0.151701,0.184004,0.209618,0.226922,0.239809,0.245855,0.25021,0.253776,0.257768
124,0.236896,0.220686,0.193661,0.161703,0.13234,0.101813,0.0717453,0.0443715,0.0262931,0.0126293,0.00529984,0.00191463,0.000531205,0.000112249,1.93599e-05,2.00275e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,5.91287e-06,5.57908e-05,0.000354009,0.00153201,0.00499762,0.0130898,0.0261154,0.0478889,0.0786924,0.115967,0.146703,0.183018,0.208021,0.227426,0.238274,0.245413,0.2496,0.252992,0.258745
123,0.237033,0.221044,0.197871,0.169956,0.131364,0.0989835,0.0686432,0.0443235,0.0248661,0.0121314,0.00500162,0.00183146,0.000523671,0.000108053,1.73571e-05,1.62127e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,5.24529e-06,4.64446e-05,0.000308518,0.00146115,0.00464733,0.0122267,0.0240994,0.0471556,0.0770492,0.111758,0.146231,0.182854,0.207075,0.225299,0.238552,0.246002,0.249296,0.254406,0.25973
122,0.234054,0.222364,0.194581,0.163641,0.128158,0.0981533,0.0674228,0.0421783,0.0236363,0.0116441,0.00477111,0.00175126,0.000460536,0.000101186,1.64034e-05,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.00549e-06,4.0341e-05,0.0002677,0.00121719,0.00417706,0.0119248,0.02404,0.0435645,0.0745394,0.108215,0.145246,0.17941,0.203272,0.225299,0.237998,0.245413,0.250363,0.252992,0.258745
121,0.233254,0.217291,0.19412,0.166231,0.12744,0.0970142,0.0668834,0.0426882,0.0235101,0.0110818,0.00441596,0.0016557,0.000451667,9.93744e-05,1.37331e-05,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.62402e-06,3.66217e-05,0.000250153,0.00114433,0.00412518,0.011215,0.022976,0.0415705,0.070913,0.107845,0.140706,0.178084,0.204695,0.224435,0.237446,0.245707,0.249905,0.254248,0.261054
120,0.234054,0.215462,0.192207,0.159004,0.128641,0.0968765,0.063562,0.0405779,0.0220164,0.0113151,0.00423667,0.00159562,0.000401884,8.46876e-05,1.21118e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.7657e-06,3.55726e-05,0.000227646,0.00100128,0.0036883,0.0102627,0.0217927,0.0429254,0.0691297,0.104196,0.136851,0.173778,0.205105,0.224067,0.238413,0.244388,0.249145,0.254248,0.261221
119,0.233387,0.215349,0.192298,0.153005,0.124157,0.0941162,0.0636608,0.0382834,0.0216808,0.0102872,0.00389982,0.00146172,0.000399786,7.82025e-05,1.05859e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.57496e-06,3.06134e-05,0.000191501,0.000936618,0.00361028,0.00982098,0.0210621,0.0386993,0.0668724,0.102629,0.136577,0.174816,0.201969,0.221282,0.237171,0.244826,0.249145,0.254248,0.262224
118,0.232196,0.214672,0.195231,0.161448,0.126652,0.0935146,0.0616301,0.0379746,0.0206438,0.0100064,0.00397145,0.00137379,0.000349813,7.36248e-05,9.63226e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,2.4033e-05,0.000175097,0.000836099,0.00323119,0.00912418,0.0196363,0.0389496,0.0635128,0.0983655,0.13217,0.171882,0.204083,0.222848,0.235941,0.245119,0.248993,0.254406,0.261054
