SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:30:17
Date and Time Ended,2022-Jun-08 18:30:56
Scan Name,Scan 35
Link Settings,
Reset RX After Applying Settings,false
Open Area,8730
Horizontal Opening,42
Horizontal Percentage,64.62
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.248239,0.244096,0.235941,0.220567,0.198735,0.168418,0.12848,0.0902388,0.0570783,0.0328437,0.0145727,0.00586099,0.00178388,0.000381476,7.15267e-05,7.24804e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.14443e-05,8.75486e-05,0.000479229,0.00158246,0.0048168,0.0119054,0.0229529,0.0427953,0.0688509,0.0987687,0.129988,0.163185,0.192932,0.216487,0.232724,0.242938,0.247489,0.248842,0.250363,0.249905,0.253618
126,0.247339,0.243806,0.236213,0.220567,0.19412,0.166841,0.127243,0.088849,0.0573259,0.0308151,0.01362,0.00536517,0.00150149,0.000361257,6.58045e-05,8.77394e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,8.77394e-06,7.57229e-05,0.000410277,0.00138342,0.00461385,0.0115116,0.0223139,0.0402707,0.066374,0.0954097,0.126496,0.16228,0.193114,0.215689,0.230757,0.241648,0.248389,0.24854,0.249448,0.250363,0.253461
125,0.247788,0.243806,0.233653,0.216259,0.195791,0.157718,0.122633,0.08654,0.0546416,0.0295011,0.0130191,0.00493315,0.0013406,0.000317578,4.94965e-05,5.91287e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,8.10636e-06,6.75212e-05,0.000350862,0.00126364,0.00430066,0.0110555,0.0210979,0.0382619,0.0651286,0.0927312,0.126966,0.157113,0.19131,0.212335,0.230497,0.240796,0.247489,0.249752,0.250363,0.250977,0.253933
124,0.247041,0.241934,0.234455,0.215803,0.191488,0.162602,0.121577,0.0848196,0.0515991,0.027694,0.0124497,0.0046581,0.00124323,0.000272087,4.53956e-05,4.00549e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.2916e-06,5.58862e-05,0.000311284,0.00119879,0.00403353,0.0104124,0.0213452,0.0379148,0.0637302,0.0908996,0.124232,0.157354,0.1872,0.214111,0.229336,0.240231,0.246743,0.24854,0.25021,0.250977,0.253461
123,0.246595,0.241506,0.231933,0.21501,0.189014,0.158022,0.119276,0.0810756,0.0513018,0.025886,0.0114967,0.00438687,0.00113346,0.000245289,4.19623e-05,4.2916e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.43328e-06,4.86381e-05,0.000316148,0.00109894,0.00386082,0.00958002,0.0203667,0.0361353,0.060332,0.0883316,0.12086,0.156632,0.183674,0.211349,0.228313,0.240231,0.24615,0.249145,0.2496,0.250669,0.253305
122,0.246743,0.24265,0.23154,0.216487,0.188146,0.155621,0.117161,0.0790416,0.0486396,0.0245222,0.010801,0.00391747,0.00106413,0.000222782,3.41421e-05,4.48234e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.95644e-06,4.23438e-05,0.000255684,0.00109035,0.00360866,0.00895757,0.0191247,0.0351191,0.0586979,0.0868519,0.117261,0.153291,0.185504,0.209297,0.227932,0.239809,0.246298,0.248691,0.249448,0.251748,0.254248
121,0.246743,0.239949,0.229079,0.212115,0.187029,0.152435,0.112991,0.077209,0.0467733,0.024957,0.0103797,0.00356479,0.000965038,0.0001977,2.92782e-05,2.95644e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.95644e-06,3.35698e-05,0.000245956,0.00108558,0.00332361,0.0088822,0.0183732,0.035059,0.0560703,0.0856891,0.116065,0.148565,0.184336,0.208339,0.227932,0.23883,0.24468,0.247788,0.249905,0.251285,0.254406
120,0.246446,0.24009,0.229464,0.212225,0.184668,0.153119,0.11185,0.0752238,0.0434398,0.0233933,0.00969246,0.00340009,0.000905528,0.000177291,2.57496e-05,2.28885e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.09812e-06,2.88014e-05,0.000239948,0.000978389,0.00308738,0.00824348,0.017519,0.032585,0.0553281,0.0824132,0.114893,0.148835,0.180996,0.206137,0.226796,0.23897,0.246002,0.2496,0.250823,0.251748,0.254722
119,0.246595,0.24009,0.227173,0.208976,0.182936,0.149815,0.110671,0.0725201,0.0420355,0.0225225,0.00922529,0.00304522,0.000819028,0.000156023,2.00275e-05,2.00275e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.81201e-06,2.53681e-05,0.000195888,0.000842012,0.00281415,0.00778104,0.0166103,0.0314806,0.0540575,0.0808675,0.112588,0.147019,0.176473,0.206866,0.225796,0.239249,0.244826,0.248842,0.249448,0.250823,0.256156
118,0.245707,0.24009,0.225547,0.209618,0.179175,0.14723,0.10614,0.0705223,0.0417144,0.0212632,0.00864268,0.00278382,0.000712501,0.000137713,1.81201e-05,2.38422e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,2.12673e-05,0.000180629,0.000787461,0.00249638,0.00726965,0.0155597,0.0299674,0.0521244,0.0788742,0.108819,0.143015,0.174891,0.20287,0.224681,0.237998,0.244972,0.24854,0.25021,0.250363,0.256156
