SW Version,2020.2.2
Date and Time Started,2022-Jun-08 20:46:31
Date and Time Ended,2022-Jun-08 20:47:14
Scan Name,Scan 206
Link Settings,
Reset RX After Applying Settings,false
Open Area,4287
Horizontal Opening,48
Horizontal Percentage,73.85
Vertical Opening,90
Vertical Percentage,34.90
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.3744,0.356789,0.334635,0.309127,0.293826,0.28444,0.269115,0.25504,0.246743,0.242507,0.239249,0.239529,0.240654,0.243951,0.244242,0.247938,0.24556,0.248993,0.247339,0.248088,0.247489,0.244534,0.247938,0.24615,0.247638,0.242794,0.24468,0.243371,0.244096,0.24615,0.245855,0.248842,0.246446,0.247788,0.248691,0.24468,0.245707,0.244972,0.237308,0.238691,0.239109,0.224804,0.229593,0.220449,0.218334,0.215689,0.209404,0.205002,0.204592,0.20531,0.209833,0.20994,0.209297,0.212555,0.223577,0.231802,0.24556,0.275635,0.300951,0.331387,0.349483,0.361513,0.366691,0.381728,0.406343
126,0.371682,0.352187,0.330318,0.311241,0.293195,0.273062,0.263574,0.249296,0.244972,0.237721,0.237721,0.237998,0.240937,0.243661,0.243082,0.246743,0.244388,0.245266,0.247339,0.246595,0.247938,0.245707,0.246892,0.243661,0.245266,0.243371,0.24556,0.244972,0.240796,0.245707,0.244826,0.245119,0.246446,0.246298,0.247788,0.246446,0.246298,0.242507,0.237171,0.235534,0.230238,0.227552,0.224558,0.220212,0.213219,0.208021,0.203272,0.200781,0.198639,0.198832,0.201572,0.204592,0.210264,0.213887,0.219034,0.227805,0.24468,0.267883,0.300509,0.32379,0.344486,0.360558,0.369003,0.38031,0.403939
125,0.365057,0.347703,0.323534,0.303853,0.285034,0.266663,0.257444,0.248088,0.240796,0.235263,0.233387,0.23567,0.238691,0.240231,0.244096,0.244534,0.244242,0.243371,0.243951,0.243951,0.245266,0.243951,0.243082,0.244388,0.243951,0.244388,0.241934,0.243806,0.242507,0.241363,0.244242,0.24468,0.244096,0.24556,0.244534,0.243082,0.240937,0.239109,0.237859,0.231017,0.227552,0.2188,0.220924,0.209404,0.209404,0.202069,0.189451,0.195791,0.192478,0.197205,0.198063,0.198832,0.203575,0.208339,0.216831,0.22844,0.241221,0.263913,0.29832,0.322769,0.340477,0.356168,0.365382,0.378203,0.402351
124,0.357412,0.342756,0.32637,0.300289,0.283064,0.270716,0.253618,0.247489,0.237308,0.230497,0.229079,0.23352,0.234724,0.237033,0.240231,0.243082,0.240796,0.241079,0.242794,0.243806,0.244096,0.241506,0.242507,0.241934,0.246595,0.241363,0.240231,0.240372,0.239389,0.242077,0.242938,0.242938,0.242938,0.242938,0.24468,0.242077,0.240372,0.238136,0.228186,0.228313,0.222243,0.217985,0.206241,0.205929,0.202569,0.195138,0.188232,0.189715,0.190155,0.188146,0.193296,0.193205,0.201473,0.204184,0.20781,0.222605,0.235263,0.260888,0.293616,0.318008,0.335183,0.351583,0.361513,0.37543,0.397278
123,0.361832,0.336837,0.318008,0.29215,0.280544,0.26597,0.249752,0.241648,0.232328,0.227805,0.225547,0.230238,0.233786,0.237721,0.239529,0.23883,0.239809,0.242363,0.242794,0.241079,0.243806,0.241934,0.241363,0.239249,0.241934,0.236759,0.238274,0.238552,0.237033,0.23897,0.239109,0.239669,0.241648,0.242363,0.24265,0.237998,0.239529,0.234994,0.230368,0.226922,0.219034,0.21501,0.210588,0.200192,0.191668,0.185757,0.174741,0.184253,0.179962,0.178394,0.18806,0.188319,0.195231,0.201572,0.209511,0.221882,0.238413,0.258745,0.290081,0.307734,0.336837,0.351281,0.358036,0.377506,0.397278
122,0.353403,0.337114,0.312428,0.288243,0.278068,0.259895,0.247339,0.234859,0.230238,0.220567,0.224681,0.225299,0.228696,0.233786,0.232856,0.239949,0.238691,0.240231,0.240654,0.241506,0.235805,0.242077,0.239109,0.237446,0.238691,0.237583,0.235399,0.237171,0.23459,0.237446,0.237998,0.239529,0.240937,0.239529,0.240372,0.237171,0.228823,0.227805,0.22617,0.221044,0.21603,0.20919,0.202368,0.191131,0.181156,0.181961,0.169184,0.172897,0.174965,0.177852,0.180836,0.186773,0.190332,0.199122,0.203474,0.215462,0.229851,0.252058,0.283652,0.309361,0.32952,0.346526,0.35555,0.371345,0.392331
121,0.347998,0.330851,0.311478,0.289466,0.271794,0.256156,0.241506,0.227932,0.221044,0.218917,0.219504,0.224067,0.226922,0.231409,0.234187,0.237446,0.237033,0.23635,0.238413,0.239389,0.239669,0.237998,0.237721,0.236623,0.236623,0.237308,0.235805,0.233653,0.234859,0.235263,0.236486,0.239529,0.237998,0.237583,0.238413,0.233786,0.231017,0.228696,0.211349,0.217753,0.210805,0.203778,0.198063,0.190243,0.179646,0.173925,0.165827,0.170878,0.171809,0.171809,0.17319,0.18012,0.184087,0.194304,0.20187,0.211131,0.224067,0.248993,0.281701,0.303178,0.327675,0.342756,0.354014,0.360876,0.396125
120,0.344486,0.32637,0.30273,0.279015,0.267184,0.244826,0.234994,0.222484,0.217522,0.211458,0.214672,0.221044,0.223699,0.227426,0.225547,0.234724,0.23154,0.237446,0.23459,0.234455,0.237446,0.23567,0.235941,0.233121,0.234724,0.234724,0.230368,0.228823,0.231278,0.230887,0.234455,0.235941,0.237583,0.237308,0.232724,0.230757,0.226545,0.222122,0.214672,0.212335,0.207389,0.19626,0.191488,0.182447,0.168765,0.17038,0.153119,0.16286,0.161512,0.166299,0.167866,0.173043,0.17793,0.189189,0.197967,0.203677,0.220924,0.244096,0.272699,0.300951,0.322261,0.339912,0.347408,0.356789,0.388978
119,0.342756,0.32125,0.297454,0.279395,0.260888,0.24222,0.233121,0.221762,0.212665,0.20994,0.212665,0.216144,0.220686,0.225175,0.221882,0.230887,0.229593,0.232592,0.232856,0.232724,0.235805,0.231409,0.230757,0.232592,0.232328,0.232196,0.230887,0.226545,0.232328,0.229722,0.232064,0.232856,0.232724,0.232196,0.23352,0.231933,0.224312,0.213441,0.212115,0.204286,0.199122,0.189364,0.1872,0.171882,0.164232,0.161831,0.156812,0.15468,0.155149,0.162473,0.164034,0.165693,0.170026,0.184336,0.192841,0.207916,0.224435,0.24719,0.266489,0.294672,0.319995,0.334909,0.343619,0.3571,0.379253
118,0.33767,0.312906,0.298538,0.273245,0.257606,0.238136,0.221762,0.216373,0.204388,0.20531,0.200192,0.209618,0.213999,0.220924,0.218101,0.228823,0.221882,0.226671,0.224928,0.231933,0.22998,0.230757,0.229851,0.230238,0.226671,0.22844,0.228823,0.226796,0.228696,0.223455,0.230238,0.231148,0.227048,0.234187,0.225671,0.225671,0.218217,0.212005,0.205929,0.199413,0.182936,0.181961,0.180041,0.168418,0.159748,0.155503,0.147921,0.148457,0.148511,0.147601,0.155208,0.160185,0.172461,0.179804,0.187029,0.195978,0.217176,0.239809,0.267883,0.292986,0.316533,0.332193,0.340194,0.356168,0.376465
