SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:08:31
Date and Time Ended,2022-Jun-08 18:09:13
Scan Name,Scan 6
Link Settings,
Reset RX After Applying Settings,false
Open Area,9037
Horizontal Opening,42
Horizontal Percentage,64.62
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.236759,0.225175,0.201473,0.173483,0.14008,0.10146,0.0740007,0.0465659,0.0264527,0.0144254,0.00725908,0.00306783,0.00125372,0.000440318,0.000118353,2.69894e-05,2.86107e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.2398e-06,1.95506e-05,0.000112154,0.000497921,0.00178054,0.00571794,0.0139655,0.0295054,0.0566833,0.0883507,0.130777,0.166164,0.199219,0.221762,0.237308,0.24556,0.24854,0.251903,0.259401
126,0.238274,0.222848,0.200585,0.173117,0.136395,0.100563,0.0699921,0.043546,0.0257218,0.0131944,0.00686156,0.00285306,0.00119478,0.000400263,0.000102426,2.55589e-05,2.95644e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.40192e-05,9.31754e-05,0.000445659,0.00170396,0.00525969,0.0131238,0.0294016,0.0553131,0.087055,0.128641,0.166705,0.198928,0.219857,0.237583,0.246002,0.249145,0.252368,0.259565
125,0.237583,0.224312,0.201275,0.171522,0.136896,0.0985785,0.0695996,0.0431015,0.0239053,0.0120888,0.00644238,0.00271715,0.00108005,0.000356394,8.23987e-05,1.85016e-05,3.0518e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.00275e-06,1.29702e-05,8.60227e-05,0.000437266,0.00156901,0.00490635,0.0124527,0.0284559,0.0532286,0.0854388,0.126927,0.167935,0.197299,0.220567,0.237721,0.245707,0.2496,0.253305,0.259895
124,0.237446,0.223212,0.199316,0.169534,0.133158,0.0981533,0.0672789,0.0419107,0.0234791,0.0116402,0.00593366,0.00250286,0.000990406,0.000343614,8.21126e-05,1.94553e-05,1.43053e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.06813e-05,8.03006e-05,0.000392157,0.00143378,0.00462196,0.0117601,0.0274987,0.0495936,0.0832677,0.120151,0.162796,0.195045,0.219621,0.237033,0.245266,0.248842,0.254248,0.261889
123,0.234994,0.222122,0.194859,0.165895,0.133288,0.0961262,0.0652219,0.0420312,0.0224632,0.0115336,0.00570668,0.00237926,0.000928988,0.000321679,7.25757e-05,1.65942e-05,2.00275e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,8.39246e-06,6.76165e-05,0.000339132,0.00132439,0.00430858,0.0112156,0.0263286,0.0498107,0.0801867,0.120221,0.159189,0.196731,0.217176,0.235941,0.243227,0.249448,0.253305,0.26039
122,0.235263,0.218917,0.194581,0.169745,0.129741,0.0911829,0.0633556,0.0398283,0.0220141,0.0107204,0.00526112,0.00240187,0.000910582,0.000285821,6.62814e-05,1.36378e-05,2.57496e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,9.06004e-06,5.82704e-05,0.000305276,0.00121605,0.00409571,0.010646,0.0247041,0.0491414,0.0790569,0.118311,0.160499,0.192117,0.217869,0.234455,0.244096,0.249145,0.254564,0.261721
121,0.235263,0.217637,0.193023,0.163837,0.125604,0.0920642,0.061015,0.0387433,0.0217441,0.0105702,0.00496691,0.00218957,0.000834573,0.000256161,5.70306e-05,1.25887e-05,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,6.48508e-06,4.8352e-05,0.000289445,0.00114948,0.00393463,0.0102939,0.0237129,0.0464708,0.0782863,0.118757,0.155326,0.188579,0.216602,0.233254,0.244096,0.249905,0.253461,0.262897
120,0.234054,0.219151,0.194674,0.161767,0.123149,0.0891972,0.0616672,0.0377019,0.0205743,0.00995876,0.004759,0.0020985,0.000828279,0.000232223,5.47417e-05,1.21118e-05,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,6.19898e-06,4.07225e-05,0.000260452,0.00108577,0.00361973,0.00975363,0.022922,0.0460891,0.0767029,0.115151,0.152948,0.190686,0.214784,0.23352,0.243516,0.249145,0.253776,0.264938
119,0.234054,0.217406,0.190509,0.158144,0.122743,0.0888875,0.0600137,0.0366494,0.020392,0.00959326,0.00458267,0.00202907,0.000750744,0.000213149,4.90196e-05,8.77394e-06,4.76844e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,5.8175e-06,3.94827e-05,0.00023518,0.000973239,0.0034,0.00921036,0.0222159,0.0448329,0.0751548,0.111393,0.150974,0.185337,0.213108,0.233786,0.243806,0.248842,0.254881,0.263235
118,0.233387,0.216259,0.189979,0.157475,0.121758,0.0847318,0.0567855,0.0349185,0.0190146,0.00933951,0.0042009,0.00178254,0.000702106,0.00020943,4.23438e-05,9.53689e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.05455e-06,3.25208e-05,0.00022116,0.000888361,0.00323415,0.0086957,0.0217406,0.042564,0.0729334,0.109546,0.148835,0.186603,0.212115,0.233121,0.243661,0.247788,0.254881,0.264254
