SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:21:16
Date and Time Ended,2022-Jun-08 18:22:00
Scan Name,Scan 23
Link Settings,
Reset RX After Applying Settings,false
Open Area,9360
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.245413,0.235941,0.217869,0.184336,0.148997,0.103931,0.0637699,0.033806,0.0156668,0.00557126,0.00154116,0.000327306,5.08316e-05,4.95918e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.95644e-06,2.10765e-05,8.18265e-05,0.000315194,0.00107404,0.00274357,0.00723166,0.0140773,0.0260241,0.0460063,0.0661702,0.0971522,0.128965,0.163903,0.195884,0.221882,0.23883,0.246595,0.248691,0.249905,0.25021,0.250977
126,0.243951,0.235805,0.215803,0.185757,0.144172,0.103381,0.0624476,0.0332355,0.0146351,0.00524805,0.00143015,0.000304227,3.76707e-05,3.33791e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.90738e-06,1.46868e-05,5.91287e-05,0.000258164,0.000949111,0.00242485,0.00662784,0.0135938,0.0268709,0.0445404,0.0648399,0.0942245,0.128279,0.161831,0.196542,0.22033,0.237308,0.246002,0.249296,0.2496,0.25113,0.251439
125,0.244388,0.23567,0.213553,0.184336,0.143869,0.102991,0.0605639,0.0309174,0.014286,0.00491903,0.0012541,0.000244526,4.10086e-05,3.33791e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-06,1.27794e-05,5.87472e-05,0.00024567,0.00083381,0.00239557,0.00608215,0.0128953,0.0245855,0.0422828,0.0630726,0.0921263,0.128641,0.161512,0.195045,0.219857,0.238413,0.245707,0.248993,0.250363,0.250669,0.251903
124,0.245266,0.232196,0.213441,0.181397,0.13965,0.0988879,0.0587315,0.0305166,0.0134069,0.00438649,0.00118076,0.000224975,3.54772e-05,2.95644e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.81201e-06,1.14443e-05,4.48234e-05,0.000223068,0.000797951,0.00220026,0.00593843,0.012389,0.0247011,0.0390796,0.0598209,0.0876511,0.123038,0.158389,0.190864,0.216831,0.234994,0.245707,0.248993,0.250057,0.250823,0.252368
123,0.243806,0.232988,0.211895,0.178317,0.13894,0.095991,0.0572378,0.0286911,0.0128714,0.00412861,0.00111419,0.000203803,3.20439e-05,2.57496e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,1.08721e-05,5.25483e-05,0.000204471,0.00073415,0.00212902,0.00562161,0.0115809,0.0230562,0.0380557,0.0599522,0.0871476,0.121074,0.154856,0.191757,0.219857,0.236213,0.245413,0.248239,0.249296,0.25113,0.25268
122,0.243516,0.231802,0.211131,0.177313,0.133331,0.0916727,0.0543372,0.0276007,0.0116837,0.00399767,0.000986687,0.000190642,2.72755e-05,2.38422e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,8.48783e-06,4.39651e-05,0.000180533,0.000672541,0.00189488,0.00519284,0.0110005,0.0219598,0.0365382,0.0627153,0.085261,0.119137,0.153234,0.186858,0.214559,0.234054,0.244972,0.248842,0.249752,0.250823,0.252213
121,0.243227,0.230238,0.20919,0.173999,0.136168,0.0900206,0.0539863,0.0266767,0.0109356,0.00358778,0.000873198,0.000168994,2.03136e-05,2.38422e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,5.8175e-06,3.83383e-05,0.000171569,0.000625525,0.00175078,0.0046457,0.0105259,0.0214829,0.0345445,0.0578604,0.0831156,0.117767,0.150365,0.186858,0.214784,0.232856,0.245119,0.249145,0.249905,0.25021,0.252524
120,0.24222,0.229079,0.208021,0.176018,0.127599,0.0881415,0.0511162,0.0252166,0.0101294,0.00318847,0.000854219,0.000141527,1.87877e-05,1.62127e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,6.29435e-06,2.95644e-05,0.000145056,0.000558862,0.00154068,0.00444743,0.0102866,0.0201522,0.0345183,0.0565737,0.0812525,0.114796,0.147601,0.185169,0.213108,0.23352,0.242507,0.247938,0.250363,0.2496,0.253461
119,0.242794,0.230368,0.204184,0.171378,0.127006,0.0883316,0.0494977,0.024506,0.00963863,0.00304837,0.000735199,0.000142958,1.85969e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,3.81476e-06,2.64172e-05,0.000141909,0.000516899,0.00145247,0.00424535,0.00962165,0.0188918,0.032663,0.0537666,0.0796565,0.112712,0.14402,0.182042,0.211786,0.231802,0.244242,0.24719,0.2496,0.250363,0.253305
118,0.241506,0.228186,0.206553,0.168211,0.123819,0.0803913,0.047605,0.022839,0.00891293,0.0027884,0.000652323,0.000110723,1.25887e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.48234e-06,2.47005e-05,0.000124838,0.000438315,0.0012933,0.00393158,0.0088874,0.017841,0.0324328,0.0522841,0.0785415,0.110462,0.145763,0.178007,0.208763,0.230887,0.242794,0.248239,0.250516,0.250057,0.253461
117,0.242363,0.226545,0.202269,0.166977,0.122817,0.0791638,0.0448231,0.022139,0.0085348,0.00268845,0.00059968,0.000101759,1.19211e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,2.57496e-06,1.8883e-05,0.000102045,0.000393874,0.00122139,0.00365835,0.00865016,0.0177775,0.0313385,0.0516447,0.0735621,0.105866,0.142517,0.174221,0.207075,0.230109,0.242363,0.247938,0.249905,0.249752,0.253461
116,0.241079,0.22592,0.199219,0.162215,0.120433,0.0758226,0.0439384,0.0201681,0.00809074,0.00237888,0.000552281,9.46059e-05,8.96468e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.28885e-06,1.80247e-05,8.53552e-05,0.000337701,0.00110389,0.00339504,0.00794356,0.0161684,0.0298799,0.0483525,0.0717578,0.104916,0.138096,0.175115,0.208021,0.228951,0.241363,0.247788,0.248993,0.250669,0.253933
115,0.239109,0.224558,0.195697,0.161895,0.118861,0.0765882,0.0423966,0.0190695,0.00758437,0.00221456,0.000482948,8.41154e-05,7.43877e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.19348e-06,1.66896e-05,7.32433e-05,0.000310235,0.00103561,0.00303483,0.00771189,0.0147352,0.0282634,0.0468536,0.0720608,0.102835,0.13861,0.174965,0.203879,0.229207,0.240654,0.247339,0.249145,0.25113,0.25409
