SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:55:34
Date and Time Ended,2022-Jun-08 18:56:20
Scan Name,Scan 68
Link Settings,
Reset RX After Applying Settings,false
Open Area,9619
Horizontal Opening,45
Horizontal Percentage,69.23
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.24615,0.233254,0.206761,0.174147,0.130902,0.0796565,0.0480124,0.0211447,0.0075817,0.00204585,0.000496204,7.21942e-05,8.96468e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.91012e-06,3.57633e-05,0.000198367,0.000885309,0.00294509,0.00857662,0.0197176,0.0399604,0.0717201,0.101762,0.140176,0.181236,0.211676,0.231148,0.242938,0.248389,0.2496,0.249905,0.249296,0.250516,0.251593
126,0.24468,0.234994,0.208021,0.168974,0.12223,0.0800613,0.0441135,0.0202499,0.00686386,0.00181592,0.000394255,5.94148e-05,1.01091e-05,1.14443e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-06,2.81338e-05,0.000155261,0.00077182,0.00270752,0.00777793,0.0182626,0.0370405,0.0695642,0.0992233,0.139603,0.177544,0.209083,0.229722,0.241648,0.248389,0.249448,0.249905,0.248993,0.250363,0.251439
125,0.245266,0.231409,0.20781,0.168004,0.120931,0.0772527,0.0418893,0.0201522,0.00651089,0.00159514,0.000389582,5.83658e-05,1.22072e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.43053e-06,2.41283e-05,0.000141337,0.000698386,0.00252422,0.00727352,0.0173549,0.0363341,0.0647374,0.0985311,0.137448,0.175415,0.206448,0.228951,0.242363,0.24854,0.248842,0.249296,0.249145,0.24854,0.252058
124,0.244534,0.231148,0.203879,0.163445,0.119068,0.0760902,0.0413564,0.019106,0.00606746,0.00149281,0.000343805,5.08316e-05,6.58045e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,1.80247e-05,0.000127317,0.000627813,0.00230459,0.00676199,0.0165586,0.0352339,0.0605908,0.0940298,0.127918,0.171594,0.204184,0.228568,0.241221,0.248389,0.25021,0.249752,0.2496,0.250057,0.252836
123,0.244242,0.232328,0.204286,0.163315,0.118209,0.0730635,0.0387873,0.0173704,0.00589637,0.00140412,0.00031157,4.71122e-05,5.72213e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,1.97414e-05,0.000101568,0.000548371,0.00217527,0.00613107,0.0156477,0.0329892,0.0603409,0.0930472,0.13166,0.17145,0.204083,0.226545,0.241221,0.247788,0.25021,0.250516,0.25021,0.250516,0.25268
122,0.244242,0.229336,0.202169,0.158512,0.115054,0.0714823,0.0373036,0.0163798,0.00519303,0.00125429,0.000280575,3.59541e-05,3.43328e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.25887e-05,9.45106e-05,0.000463588,0.00193379,0.00580005,0.0149438,0.0312214,0.0580326,0.0863757,0.124876,0.170026,0.201473,0.223822,0.240796,0.247938,0.24854,0.2496,0.249752,0.250516,0.25268
121,0.243806,0.228696,0.199413,0.158022,0.109371,0.0708272,0.036228,0.0154885,0.00497129,0.00114624,0.000239662,3.21393e-05,5.14992e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.33516e-05,8.35431e-05,0.000437743,0.00171273,0.00539511,0.0136979,0.0288853,0.0546708,0.0845744,0.124838,0.164298,0.19951,0.224558,0.240513,0.24719,0.249296,0.250057,0.250057,0.249296,0.25268
120,0.242938,0.227173,0.196354,0.157475,0.106554,0.0662988,0.0332166,0.0136245,0.00447051,0.00107567,0.000241188,2.90875e-05,3.62402e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,9.72763e-06,6.68536e-05,0.000377661,0.00156243,0.00488565,0.0128807,0.0280294,0.0522708,0.0809954,0.121722,0.16325,0.197015,0.222243,0.239809,0.247041,0.249752,0.249905,0.249752,0.250363,0.252368
119,0.241648,0.226796,0.19749,0.155621,0.103146,0.0646557,0.0311312,0.0131804,0.0042464,0.000978103,0.000191691,2.13626e-05,3.71939e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,8.86931e-06,5.55047e-05,0.000343233,0.00142405,0.00447137,0.0122717,0.0268639,0.0518867,0.079703,0.121146,0.155917,0.194859,0.219621,0.239529,0.246892,0.249448,0.249752,0.250057,0.250516,0.252058
118,0.241506,0.224804,0.194766,0.152663,0.102887,0.0619002,0.0305987,0.0124929,0.0037726,0.000880922,0.000163558,2.2221e-05,2.7657e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.53414e-06,5.26436e-05,0.000302224,0.00127613,0.00418622,0.0110041,0.0251934,0.0494858,0.0788135,0.116827,0.155208,0.190864,0.219857,0.238274,0.246002,0.248993,0.249448,0.250057,0.250363,0.253305
