SW Version,2020.2.2
Date and Time Started,2022-Jun-08 19:46:23
Date and Time Ended,2022-Jun-08 19:47:06
Scan Name,Scan 129
Link Settings,
Reset RX After Applying Settings,false
Open Area,0
Horizontal Opening,0
Horizontal Percentage,0.00
Vertical Opening,0
Vertical Percentage,0.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.84802,0.860491,0.842785,0.841055,0.846268,0.851546,0.839331,0.862303,0.892361,0.855102,0.873334,0.844523,0.860491,0.871476,0.835906,0.84802,0.867783,0.851546,0.867783,0.832508,0.814302,0.830819,0.839331,0.837615,0.839331,0.796875,0.783162,0.784662,0.842785,0.867783,0.804703,0.834203,0.855102,0.834203,0.877074,0.841055,0.862303,0.835906,0.835906,0.869626,0.837615,0.846268,0.858687,0.825794,0.84802,0.862303,0.858687,0.84802,0.860491,0.822477,0.835906,0.839331,0.851546,0.856891,0.856891,0.837615,0.846268,0.796875,0.858687,0.817552,0.837615,0.830819,0.830819,0.869626,0.842785
126,0.807877,0.851546,0.832508,0.842785,0.84802,0.856891,0.846268,0.85332,0.877074,0.841055,0.860491,0.834203,0.851546,0.873334,0.844523,0.867783,0.871476,0.844523,0.85332,0.807877,0.822477,0.841055,0.827462,0.825794,0.829137,0.807877,0.778695,0.790722,0.793786,0.880847,0.835906,0.822477,0.844523,0.817552,0.880847,0.809474,0.855102,0.842785,0.846268,0.865949,0.829137,0.835906,0.84978,0.842785,0.846268,0.862303,0.839331,0.842785,0.882745,0.827462,0.812686,0.839331,0.839331,0.862303,0.846268,0.772818,0.844523,0.796875,0.819187,0.837615,0.830819,0.830819,0.841055,0.869626,0.846268
125,0.799988,0.842785,0.832508,0.835906,0.829137,0.841055,0.85332,0.842785,0.88849,0.8752,0.84978,0.864122,0.84802,0.860491,0.837615,0.856891,0.8752,0.860491,0.869626,0.809474,0.819187,0.825794,0.842785,0.846268,0.835906,0.817552,0.793786,0.815924,0.786168,0.867783,0.832508,0.820829,0.84802,0.846268,0.860491,0.865949,0.817552,0.835906,0.829137,0.871476,0.832508,0.835906,0.844523,0.841055,0.85332,0.865949,0.835906,0.834203,0.85332,0.824132,0.817552,0.825794,0.830819,0.84802,0.835906,0.784662,0.820829,0.801553,0.837615,0.842785,0.819187,0.822477,0.84978,0.85332,0.851546
124,0.814302,0.837615,0.832508,0.839331,0.830819,0.841055,0.865949,0.830819,0.882745,0.856891,0.860491,0.851546,0.869626,0.851546,0.856891,0.834203,0.851546,0.864122,0.867783,0.880847,0.844523,0.832508,0.837615,0.842785,0.829137,0.837615,0.777218,0.774279,0.814302,0.84802,0.793786,0.842785,0.846268,0.830819,0.865949,0.834203,0.829137,0.841055,0.84802,0.865949,0.830819,0.871476,0.84978,0.85332,0.869626,0.834203,0.85332,0.825794,0.860491,0.814302,0.827462,0.832508,0.832508,0.844523,0.834203,0.807877,0.809474,0.812686,0.829137,0.844523,0.841055,0.830819,0.862303,0.877074,0.84978
123,0.807877,0.84802,0.819187,0.830819,0.855102,0.834203,0.846268,0.834203,0.877074,0.844523,0.851546,0.869626,0.8752,0.864122,0.85332,0.844523,0.864122,0.844523,0.856891,0.799988,0.839331,0.829137,0.819187,0.832508,0.799988,0.817552,0.777218,0.780179,0.812686,0.832508,0.772818,0.822477,0.860491,0.839331,0.871476,0.832508,0.830819,0.846268,0.820829,0.869626,0.837615,0.841055,0.830819,0.851546,0.858687,0.839331,0.827462,0.830819,0.860491,0.825794,0.842785,0.827462,0.844523,0.84978,0.835906,0.817552,0.812686,0.822477,0.801553,0.835906,0.829137,0.830819,0.84978,0.84978,0.844523
122,0.811077,0.841055,0.815924,0.832508,0.827462,0.835906,0.844523,0.855102,0.882745,0.84802,0.835906,0.855102,0.851546,0.877074,0.858687,0.851546,0.865949,0.842785,0.856891,0.829137,0.824132,0.84978,0.830819,0.834203,0.824132,0.832508,0.799988,0.801553,0.809474,0.862303,0.793786,0.839331,0.864122,0.844523,0.88849,0.834203,0.814302,0.819187,0.84802,0.860491,0.827462,0.837615,0.846268,0.851546,0.864122,0.830819,0.829137,0.830819,0.867783,0.814302,0.839331,0.832508,0.830819,0.827462,0.825794,0.812686,0.820829,0.817552,0.796875,0.814302,0.814302,0.837615,0.841055,0.842785,0.844523
121,0.814302,0.841055,0.834203,0.834203,0.841055,0.864122,0.860491,0.834203,0.865949,0.84978,0.851546,0.856891,0.855102,0.873334,0.834203,0.842785,0.841055,0.837615,0.856891,0.804703,0.841055,0.834203,0.844523,0.842785,0.809474,0.809474,0.793786,0.781667,0.792251,0.84978,0.809474,0.842785,0.862303,0.858687,0.873334,0.892361,0.814302,0.855102,0.842785,0.842785,0.834203,0.862303,0.862303,0.839331,0.860491,0.858687,0.856891,0.844523,0.856891,0.811077,0.832508,0.832508,0.830819,0.839331,0.834203,0.789198,0.822477,0.807877,0.827462,0.839331,0.820829,0.829137,0.862303,0.873334,0.841055
120,0.837615,0.855102,0.842785,0.844523,0.846268,0.84802,0.834203,0.837615,0.892361,0.832508,0.858687,0.846268,0.851546,0.878957,0.864122,0.829137,0.858687,0.842785,0.855102,0.827462,0.846268,0.839331,0.839331,0.827462,0.814302,0.815924,0.786168,0.789198,0.799988,0.858687,0.803125,0.817552,0.856891,0.839331,0.856891,0.878957,0.855102,0.841055,0.85332,0.867783,0.834203,0.855102,0.862303,0.851546,0.84978,0.858687,0.84802,0.827462,0.865949,0.806287,0.819187,0.824132,0.835906,0.851546,0.820829,0.817552,0.822477,0.78768,0.819187,0.832508,0.839331,0.839331,0.865949,0.8752,0.844523
119,0.829137,0.846268,0.84978,0.835906,0.837615,0.830819,0.85332,0.837615,0.894309,0.84802,0.869626,0.877074,0.85332,0.8752,0.860491,0.815924,0.864122,0.820829,0.842785,0.844523,0.835906,0.865949,0.827462,0.844523,0.829137,0.811077,0.784662,0.807877,0.834203,0.844523,0.799988,0.825794,0.867783,0.860491,0.84802,0.871476,0.829137,0.856891,0.846268,0.871476,0.844523,0.867783,0.846268,0.846268,0.85332,0.84802,0.839331,0.841055,0.851546,0.814302,0.856891,0.84802,0.84802,0.832508,0.842785,0.807877,0.827462,0.796875,0.817552,0.839331,0.807877,0.812686,0.860491,0.851546,0.858687
118,0.815924,0.832508,0.825794,0.841055,0.807877,0.837615,0.837615,0.844523,0.890421,0.829137,0.877074,0.841055,0.864122,0.8752,0.841055,0.841055,0.860491,0.862303,0.862303,0.839331,0.827462,0.839331,0.824132,0.839331,0.822477,0.799988,0.792251,0.790722,0.827462,0.862303,0.815924,0.84978,0.869626,0.846268,0.860491,0.835906,0.84978,0.84978,0.817552,0.871476,0.834203,0.835906,0.839331,0.841055,0.855102,0.85332,0.84978,0.835906,0.84802,0.809474,0.837615,0.837615,0.851546,0.839331,0.822477,0.822477,0.819187,0.809474,0.822477,0.827462,0.835906,0.819187,0.869626,0.862303,0.822477
