SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:39:26
Date and Time Ended,2022-Jun-08 18:40:09
Scan Name,Scan 47
Link Settings,
Reset RX After Applying Settings,false
Open Area,9336
Horizontal Opening,45
Horizontal Percentage,69.23
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.242507,0.231802,0.212445,0.179175,0.151421,0.103721,0.0729984,0.0475332,0.0279605,0.0156399,0.0074148,0.00289454,0.000895323,0.000250343,4.69215e-05,7.53414e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,3.16625e-05,0.000369745,0.00269656,0.00995464,0.0317539,0.0758647,0.127006,0.178162,0.212005,0.23352,0.244388,0.248239,0.24854,0.250669,0.250363,0.250057,0.250363,0.25268,0.258093
126,0.243082,0.231017,0.210805,0.179097,0.141974,0.105321,0.0736944,0.0460166,0.0271488,0.0140109,0.00681101,0.00262579,0.000794518,0.000219539,3.97688e-05,4.57771e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,2.37469e-05,0.000302224,0.00248093,0.00894896,0.0333437,0.075293,0.120646,0.172751,0.204592,0.232592,0.242794,0.24854,0.249296,0.249905,0.249448,0.249752,0.250669,0.251593,0.258093
125,0.241934,0.22844,0.208445,0.177237,0.140224,0.1038,0.0706683,0.0454801,0.025922,0.0131851,0.00645456,0.00236563,0.000764572,0.000194457,3.5668e-05,4.86381e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,2.04089e-05,0.00026112,0.00195344,0.00975548,0.0292129,0.0674895,0.121613,0.166434,0.207494,0.231148,0.24222,0.248088,0.24854,0.249752,0.2496,0.248842,0.25021,0.253305,0.259237
124,0.24222,0.227932,0.20697,0.177007,0.135717,0.101687,0.0681294,0.0430472,0.0243299,0.0125419,0.0059019,0.00214733,0.000660906,0.00016556,2.81338e-05,4.00549e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.67849e-05,0.000216773,0.00183251,0.00874266,0.0279777,0.0653781,0.111333,0.168626,0.208763,0.22998,0.242794,0.24719,0.249905,0.249752,0.248993,0.250363,0.249752,0.253148,0.259237
123,0.241079,0.227679,0.20449,0.171378,0.138704,0.0997064,0.066949,0.0406949,0.0230913,0.0118141,0.00565404,0.00193542,0.00059062,0.000151732,2.37469e-05,3.62402e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.421e-05,0.000205425,0.00166409,0.00806732,0.0262611,0.0626961,0.108329,0.159499,0.205826,0.227932,0.240513,0.247339,0.250363,0.249905,0.249905,0.249752,0.250823,0.252992,0.25973
122,0.240231,0.226796,0.202368,0.168004,0.133505,0.0939866,0.0643813,0.0393122,0.0219421,0.0113085,0.00511969,0.00173743,0.000516709,0.000133326,2.08858e-05,3.24254e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.48775e-05,0.000146201,0.0012191,0.00763726,0.0249145,0.0582223,0.108387,0.160688,0.198159,0.227173,0.241648,0.247489,0.2496,0.249296,0.249448,0.25021,0.250977,0.255199,0.261221
121,0.240231,0.222848,0.198735,0.167935,0.126809,0.0938359,0.0632089,0.0372731,0.0207842,0.0110041,0.00482662,0.001633,0.000474651,0.00013304,1.69757e-05,1.81201e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-06,0.000135424,0.0013324,0.00682656,0.0207221,0.0532632,0.103931,0.159437,0.194674,0.225423,0.240231,0.247489,0.249296,0.250057,0.249752,0.249752,0.250669,0.255358,0.262392
120,0.23897,0.223212,0.199316,0.165292,0.127599,0.0921056,0.060199,0.035243,0.0196693,0.0101955,0.00425011,0.00147908,0.000421721,0.000107195,1.44007e-05,1.81201e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.86656e-06,0.000116159,0.00126955,0.00600013,0.0222074,0.0550603,0.102527,0.155503,0.194212,0.224928,0.239249,0.24615,0.249145,0.249752,0.249448,0.250823,0.25113,0.253776,0.263913
119,0.237171,0.222605,0.199025,0.162666,0.124724,0.0921056,0.0582554,0.0346702,0.0191937,0.00957174,0.00403992,0.00136425,0.000372702,9.91836e-05,1.10628e-05,1.71664e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.77119e-06,9.98512e-05,0.00101406,0.00573138,0.0193982,0.0533673,0.0969682,0.152096,0.192388,0.221882,0.239249,0.247938,0.248239,0.2496,0.250363,0.25021,0.251593,0.254881,0.265453
118,0.237721,0.220093,0.194952,0.158389,0.124534,0.0894505,0.057503,0.0324765,0.0177521,0.00889802,0.00378967,0.00120956,0.000351148,8.85977e-05,1.20165e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.05455e-06,8.45922e-05,0.000823701,0.0053706,0.0173881,0.0481478,0.0982946,0.149323,0.187457,0.220805,0.23883,0.246743,0.2496,0.249905,0.2496,0.249752,0.251285,0.254881,0.268059
