SW Version,2020.2.2
Date and Time Started,2022-Jun-08 20:03:35
Date and Time Ended,2022-Jun-08 20:04:36
Scan Name,Scan 152
Link Settings,
Reset RX After Applying Settings,false
Open Area,3448
Horizontal Opening,50
Horizontal Percentage,76.92
Vertical Opening,74
Vertical Percentage,28.24
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.406747,0.397664,0.386774,0.373376,0.35249,0.331387,0.312906,0.298103,0.283849,0.26947,0.257931,0.252992,0.247788,0.250057,0.250516,0.250669,0.250516,0.248842,0.248088,0.249448,0.2496,0.250057,0.249145,0.249448,0.247489,0.249905,0.248993,0.248088,0.24556,0.246892,0.24719,0.248389,0.2496,0.247638,0.249145,0.248993,0.247638,0.248842,0.247339,0.246002,0.243227,0.243661,0.239809,0.241506,0.239389,0.239249,0.237308,0.237308,0.234321,0.237171,0.238691,0.24222,0.242507,0.243227,0.243371,0.24719,0.252368,0.267708,0.286429,0.309829,0.334362,0.359924,0.381728,0.399994,0.417102
126,0.40594,0.399604,0.384234,0.372358,0.35008,0.328991,0.308661,0.297022,0.278257,0.267883,0.257121,0.250977,0.249752,0.250363,0.247788,0.249145,0.25113,0.248088,0.249145,0.248239,0.248691,0.247938,0.247638,0.248993,0.250977,0.247339,0.245413,0.246595,0.24719,0.245266,0.24556,0.247489,0.247339,0.247339,0.247638,0.246595,0.248239,0.246298,0.246743,0.244096,0.242507,0.241506,0.242077,0.240513,0.23897,0.235534,0.235941,0.233786,0.235534,0.234724,0.236213,0.237446,0.238413,0.240231,0.24468,0.246002,0.252058,0.264425,0.284836,0.309361,0.330851,0.358664,0.380663,0.39805,0.41838
125,0.39805,0.389718,0.38031,0.367678,0.34859,0.32689,0.304531,0.290698,0.277503,0.26256,0.254881,0.250669,0.251285,0.249448,0.2496,0.25021,0.25113,0.249752,0.246743,0.250057,0.248993,0.246892,0.247638,0.247041,0.248239,0.245707,0.24615,0.24615,0.246446,0.244972,0.245413,0.24615,0.248239,0.24719,0.24615,0.24615,0.244534,0.245855,0.245119,0.241506,0.241648,0.240231,0.239529,0.237033,0.232856,0.236213,0.230757,0.230238,0.229722,0.23154,0.231802,0.237308,0.238136,0.241934,0.240513,0.244826,0.25113,0.261554,0.281121,0.307272,0.330318,0.3571,0.377506,0.39384,0.415409
124,0.398825,0.393084,0.376119,0.36834,0.344776,0.324559,0.306124,0.290286,0.27545,0.26256,0.254406,0.25021,0.250977,0.250516,0.249905,0.25021,0.250516,0.246298,0.248691,0.248389,0.2496,0.247339,0.24854,0.248842,0.248239,0.24468,0.24719,0.244242,0.243082,0.243516,0.243227,0.244826,0.247339,0.245266,0.246002,0.244972,0.243951,0.244096,0.239949,0.241791,0.24009,0.236896,0.235399,0.229851,0.231278,0.230238,0.230497,0.228186,0.229464,0.229079,0.231148,0.233653,0.239529,0.238136,0.239949,0.245266,0.249448,0.26039,0.280736,0.302283,0.327937,0.353403,0.375086,0.392331,0.415409
123,0.395743,0.387873,0.374743,0.359608,0.341898,0.313625,0.301615,0.28326,0.271794,0.261221,0.253776,0.248691,0.249145,0.248842,0.248842,0.248239,0.248691,0.249145,0.250516,0.250516,0.246595,0.247339,0.24719,0.246743,0.245413,0.245266,0.241648,0.244388,0.242938,0.243371,0.243082,0.244826,0.244534,0.243371,0.24468,0.243516,0.241506,0.240231,0.24009,0.234859,0.23567,0.234054,0.230368,0.226295,0.226295,0.225423,0.226671,0.222726,0.228696,0.22844,0.22844,0.230887,0.233121,0.23567,0.238552,0.239949,0.24854,0.254881,0.280352,0.302283,0.324302,0.349483,0.373717,0.390461,0.414149
122,0.396125,0.384957,0.371682,0.35835,0.341328,0.315072,0.29963,0.288853,0.270002,0.258909,0.25113,0.248993,0.248239,0.248842,0.250057,0.2496,0.250669,0.251439,0.247788,0.247339,0.247788,0.246595,0.247339,0.24854,0.245266,0.245413,0.24265,0.240654,0.240937,0.242507,0.242363,0.241506,0.243082,0.24265,0.24222,0.241791,0.241791,0.239109,0.238413,0.233786,0.23352,0.228696,0.227932,0.227426,0.226295,0.224928,0.220212,0.219269,0.220924,0.222243,0.221762,0.230887,0.23154,0.234994,0.237583,0.24009,0.244096,0.259073,0.273062,0.297886,0.323023,0.347113,0.370003,0.388241,0.407151
121,0.387873,0.382084,0.371009,0.358036,0.336837,0.307734,0.297238,0.280352,0.268059,0.256316,0.248691,0.248389,0.247638,0.248993,0.24719,0.249448,0.247788,0.248088,0.247638,0.247638,0.246743,0.248239,0.246002,0.245855,0.243516,0.241791,0.24265,0.23883,0.240513,0.238413,0.239669,0.239949,0.241791,0.241934,0.241791,0.239249,0.237583,0.239809,0.235534,0.229464,0.226545,0.22592,0.222969,0.222848,0.2188,0.217291,0.220567,0.213775,0.215123,0.217985,0.218334,0.222484,0.226295,0.228951,0.232064,0.237171,0.242938,0.252836,0.270537,0.295949,0.315558,0.343043,0.369669,0.387506,0.407151
120,0.389718,0.382084,0.367678,0.35249,0.331387,0.308197,0.293826,0.276379,0.268059,0.256477,0.24615,0.247489,0.246298,0.246743,0.247788,0.25113,0.249905,0.247489,0.247938,0.249296,0.248389,0.246002,0.244972,0.242507,0.242077,0.240231,0.240796,0.238552,0.236213,0.236896,0.24009,0.240796,0.239109,0.239669,0.240796,0.23897,0.236759,0.232592,0.232988,0.231017,0.222605,0.222848,0.217753,0.216259,0.21501,0.212887,0.213553,0.210913,0.210264,0.215689,0.216144,0.218683,0.223455,0.225796,0.230757,0.235399,0.240231,0.248389,0.264595,0.29446,0.312906,0.341613,0.363437,0.385681,0.407556
119,0.385681,0.37202,0.361513,0.348887,0.331119,0.306124,0.287233,0.271254,0.261221,0.251285,0.247638,0.244972,0.246743,0.248389,0.248993,0.248088,0.247041,0.246743,0.247788,0.246002,0.24615,0.243661,0.242363,0.241934,0.240654,0.237033,0.235805,0.236213,0.233387,0.234455,0.236213,0.237446,0.239529,0.237998,0.23635,0.233121,0.233254,0.227679,0.224435,0.223455,0.218917,0.219621,0.211567,0.209297,0.212115,0.207075,0.203778,0.200978,0.205929,0.207916,0.209083,0.21333,0.218101,0.226545,0.226295,0.230368,0.235128,0.248088,0.26701,0.287434,0.31219,0.34247,0.356478,0.377854,0.403541
118,0.383515,0.374058,0.358664,0.349185,0.327937,0.303403,0.282478,0.273062,0.256316,0.250057,0.244826,0.243661,0.248239,0.246743,0.248239,0.247041,0.247938,0.245855,0.244826,0.243227,0.245266,0.241648,0.240937,0.241221,0.237446,0.236896,0.237721,0.234724,0.232196,0.232592,0.23635,0.231671,0.234054,0.233786,0.234321,0.231802,0.227932,0.22592,0.223455,0.222243,0.211567,0.210913,0.208657,0.20531,0.203879,0.202468,0.20449,0.198735,0.200978,0.203172,0.206553,0.214559,0.214223,0.225299,0.222002,0.225671,0.236486,0.239949,0.263404,0.286229,0.303178,0.333003,0.355859,0.383515,0.400777
