SW Version,2020.2.2
Date and Time Started,2022-Jun-08 19:43:19
Date and Time Ended,2022-Jun-08 19:44:04
Scan Name,Scan 125
Link Settings,
Reset RX After Applying Settings,false
Open Area,0
Horizontal Opening,0
Horizontal Percentage,0.00
Vertical Opening,0
Vertical Percentage,0.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.698965,0.660635,0.669271,0.660635,0.693052,0.701359,0.719848,0.712337,0.719848,0.761327,0.744716,0.664925,0.743364,0.702562,0.734039,0.707416,0.675897,0.67926,0.691881,0.628211,0.591898,0.633066,0.622483,0.580161,0.636015,0.648091,0.683796,0.713578,0.750172,0.703769,0.718586,0.702562,0.707416,0.707416,0.675897,0.735357,0.706196,0.70864,0.716073,0.704981,0.724945,0.734039,0.67926,0.70016,0.657454,0.652219,0.636015,0.643004,0.682656,0.693052,0.638992,0.621538,0.646047,0.628211,0.575272,0.654303,0.650149,0.693052,0.709868,0.63999,0.712337,0.677014,0.693052,0.677014,0.684939
126,0.663847,0.643004,0.658511,0.702562,0.709868,0.693052,0.690715,0.713578,0.688393,0.721116,0.72623,0.70016,0.689552,0.696588,0.736679,0.688393,0.694227,0.683796,0.664925,0.62629,0.644015,0.618722,0.663847,0.585134,0.608609,0.648091,0.684939,0.717327,0.762744,0.740676,0.70016,0.704981,0.68152,0.723664,0.684939,0.716073,0.680388,0.724945,0.709868,0.734039,0.721116,0.735357,0.659571,0.683796,0.671465,0.661702,0.67926,0.680388,0.689552,0.70016,0.683796,0.605908,0.612248,0.648091,0.586811,0.649118,0.638992,0.691881,0.736679,0.682656,0.723664,0.696588,0.650149,0.694227,0.657454
125,0.667091,0.629176,0.638992,0.688393,0.67926,0.743364,0.7111,0.702562,0.716073,0.728815,0.702562,0.70016,0.7111,0.670366,0.723664,0.683796,0.702562,0.663847,0.663847,0.611334,0.637996,0.635029,0.671465,0.583467,0.63999,0.651182,0.688393,0.736679,0.762744,0.693052,0.719848,0.719848,0.706196,0.728815,0.70864,0.7111,0.698965,0.704981,0.709868,0.695405,0.714823,0.721116,0.684939,0.649118,0.664925,0.660635,0.674784,0.667091,0.714823,0.716073,0.680388,0.597075,0.605908,0.647068,0.591044,0.614084,0.648091,0.695405,0.746072,0.669271,0.686087,0.706196,0.669271,0.662773,0.652219
124,0.659571,0.65535,0.65326,0.696588,0.684939,0.697775,0.718586,0.734039,0.677014,0.703769,0.718586,0.704981,0.688393,0.703769,0.732726,0.706196,0.68152,0.696588,0.637996,0.622483,0.608609,0.631115,0.658511,0.589344,0.624381,0.673674,0.691881,0.736679,0.768469,0.718586,0.7111,0.701359,0.678135,0.758507,0.67926,0.738007,0.684939,0.70016,0.695405,0.683796,0.75293,0.723664,0.709868,0.689552,0.678135,0.675897,0.688393,0.674784,0.704981,0.691881,0.677014,0.591044,0.612248,0.648091,0.61593,0.641996,0.619658,0.687238,0.696588,0.65326,0.716073,0.690715,0.701359,0.690715,0.701359
123,0.677014,0.666006,0.643004,0.70864,0.695405,0.688393,0.738007,0.743364,0.686087,0.731417,0.704981,0.658511,0.694227,0.712337,0.717327,0.707416,0.696588,0.698965,0.652219,0.630144,0.614084,0.658511,0.624381,0.576893,0.651182,0.62629,0.697775,0.739339,0.768469,0.702562,0.722388,0.703769,0.719848,0.717327,0.693052,0.704981,0.694227,0.694227,0.713578,0.721116,0.724945,0.689552,0.696588,0.65326,0.662773,0.672568,0.683796,0.696588,0.70016,0.721116,0.658511,0.641996,0.581809,0.660635,0.61593,0.628211,0.617788,0.644015,0.738007,0.688393,0.731417,0.707416,0.7111,0.696588,0.678135
122,0.678135,0.614084,0.661702,0.682656,0.70864,0.693052,0.736679,0.735357,0.654303,0.735357,0.72623,0.688393,0.693052,0.704981,0.757105,0.703769,0.709868,0.694227,0.65535,0.601459,0.613164,0.635029,0.643004,0.600577,0.648091,0.65535,0.661702,0.728815,0.774279,0.709868,0.728815,0.707416,0.732726,0.714823,0.713578,0.707416,0.701359,0.695405,0.722388,0.709868,0.742018,0.691881,0.693052,0.657454,0.644015,0.625334,0.706196,0.65326,0.6564,0.697775,0.691881,0.588497,0.603231,0.668179,0.617788,0.62343,0.624381,0.697775,0.734039,0.684939,0.704981,0.677014,0.695405,0.673674,0.713578
121,0.65326,0.659571,0.693052,0.637996,0.721116,0.688393,0.738007,0.70016,0.68152,0.712337,0.739339,0.669271,0.677014,0.683796,0.736679,0.717327,0.673674,0.674784,0.649118,0.628211,0.593614,0.664925,0.62629,0.599698,0.643004,0.641996,0.697775,0.761327,0.744716,0.714823,0.724945,0.72623,0.732726,0.732726,0.719848,0.673674,0.701359,0.684939,0.734039,0.68152,0.736679,0.701359,0.688393,0.675897,0.659571,0.684939,0.674784,0.662773,0.65535,0.713578,0.660635,0.614084,0.608609,0.638992,0.634046,0.63999,0.617788,0.698965,0.695405,0.68152,0.714823,0.660635,0.677014,0.669271,0.714823
120,0.683796,0.660635,0.706196,0.673674,0.67926,0.698965,0.730114,0.675897,0.712337,0.70016,0.722388,0.67926,0.702562,0.712337,0.764167,0.724945,0.709868,0.673674,0.690715,0.633066,0.596206,0.64503,0.659571,0.585971,0.638992,0.658511,0.709868,0.764167,0.757105,0.703769,0.712337,0.722388,0.706196,0.734039,0.706196,0.70864,0.706196,0.673674,0.677014,0.712337,0.724945,0.713578,0.672568,0.672568,0.64503,0.659571,0.683796,0.647068,0.678135,0.688393,0.693052,0.609515,0.628211,0.649118,0.598821,0.643004,0.62343,0.695405,0.7488,0.703769,0.736679,0.677014,0.717327,0.675897,0.684939
119,0.686087,0.667091,0.674784,0.662773,0.698965,0.696588,0.739339,0.723664,0.696588,0.744716,0.7111,0.647068,0.694227,0.717327,0.724945,0.68152,0.68152,0.677014,0.650149,0.617788,0.621538,0.647068,0.615006,0.555758,0.675897,0.646047,0.702562,0.731417,0.758507,0.778695,0.761327,0.732726,0.697775,0.695405,0.688393,0.701359,0.680388,0.644015,0.714823,0.72623,0.714823,0.7111,0.684939,0.682656,0.649118,0.688393,0.680388,0.669271,0.612248,0.67926,0.666006,0.603231,0.608609,0.632089,0.624381,0.631115,0.590193,0.702562,0.701359,0.703769,0.738007,0.7111,0.70864,0.663847,0.735357
118,0.694227,0.666006,0.663847,0.675897,0.663847,0.702562,0.697775,0.740676,0.684939,0.736679,0.739339,0.694227,0.677014,0.718586,0.769913,0.746072,0.706196,0.669271,0.672568,0.632089,0.597947,0.615006,0.63999,0.606806,0.688393,0.678135,0.698965,0.746072,0.762744,0.744716,0.736679,0.730114,0.712337,0.72752,0.690715,0.693052,0.682656,0.701359,0.701359,0.707416,0.724945,0.716073,0.65535,0.672568,0.663847,0.65535,0.660635,0.686087,0.675897,0.671465,0.694227,0.604121,0.629176,0.680388,0.643004,0.657454,0.597075,0.694227,0.736679,0.688393,0.690715,0.6564,0.702562,0.668179,0.696588
117,0.686087,0.631115,0.6564,0.682656,0.694227,0.691881,0.704981,0.701359,0.669271,0.734039,0.743364,0.704981,0.637004,0.734039,0.732726,0.751548,0.678135,0.696588,0.667091,0.607706,0.605013,0.607706,0.668179,0.579341,0.687238,0.650149,0.701359,0.723664,0.767029,0.702562,0.72752,0.738007,0.704981,0.717327,0.664925,0.684939,0.696588,0.697775,0.70864,0.68152,0.742018,0.701359,0.686087,0.701359,0.675897,0.677014,0.62629,0.698965,0.673674,0.698965,0.669271,0.616858,0.598821,0.650149,0.614084,0.640992,0.583467,0.663847,0.713578,0.659571,0.718586,0.68152,0.650149,0.698965,0.673674
