SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:50:13
Date and Time Ended,2022-Jun-08 18:50:57
Scan Name,Scan 61
Link Settings,
Reset RX After Applying Settings,false
Open Area,9408
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.241363,0.232988,0.211458,0.187115,0.152663,0.119415,0.08414,0.05433,0.0317441,0.0165687,0.00757693,0.00329557,0.0011861,0.000339036,7.54368e-05,1.32563e-05,1.71664e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,1.1635e-05,6.74258e-05,0.000347524,0.00149338,0.00477092,0.0136295,0.0287818,0.0561626,0.0908593,0.134735,0.175115,0.207705,0.229207,0.242507,0.248239,0.25021,0.252368,0.258745
126,0.239669,0.231671,0.208445,0.184918,0.15103,0.116993,0.0812364,0.0529601,0.0309759,0.0165553,0.00702924,0.00296054,0.00107528,0.000305276,6.71397e-05,8.86931e-06,1.62127e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.71664e-06,1.07767e-05,6.28481e-05,0.000313954,0.00134365,0.00443494,0.013139,0.0280026,0.053816,0.0903582,0.128803,0.176397,0.207389,0.227048,0.241079,0.247938,0.249905,0.252058,0.256316
125,0.242077,0.228951,0.207705,0.179332,0.150808,0.113966,0.0808515,0.0505984,0.02919,0.0157955,0.00679587,0.00282797,0.00108721,0.000304608,5.43603e-05,9.25078e-06,1.62127e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,1.03952e-05,5.41695e-05,0.00028315,0.0012788,0.0041989,0.0119064,0.0262897,0.0525794,0.0870735,0.12744,0.171306,0.203071,0.227805,0.24222,0.247339,0.25021,0.251903,0.258909
124,0.240372,0.230368,0.20697,0.178862,0.147019,0.111454,0.078003,0.0500726,0.0286911,0.0142195,0.00662687,0.002776,0.000938239,0.000249008,4.78752e-05,8.10636e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,9.06004e-06,4.86381e-05,0.000260262,0.0011368,0.00389801,0.0113442,0.0257622,0.0515861,0.0837273,0.126106,0.168004,0.20088,0.22642,0.240513,0.247339,0.249448,0.251903,0.258582
123,0.240937,0.229336,0.206344,0.180597,0.148296,0.110641,0.0752515,0.0475884,0.0270913,0.0137236,0.0064353,0.00246662,0.000822175,0.000223259,4.41558e-05,9.06004e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,6.19898e-06,4.55863e-05,0.000236038,0.00110142,0.00367542,0.0112708,0.0249008,0.0485358,0.0808515,0.124686,0.16228,0.203778,0.228823,0.239809,0.246892,0.250363,0.253461,0.260888
122,0.239809,0.229593,0.20697,0.175867,0.147975,0.111212,0.0757525,0.0470473,0.0266299,0.0132838,0.00606336,0.00219663,0.000763809,0.00020304,3.72892e-05,5.34066e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.81476e-07,5.43603e-06,4.09133e-05,0.000223259,0.000928225,0.00342288,0.00985856,0.0230484,0.0467306,0.0854745,0.122633,0.163707,0.197871,0.225299,0.240372,0.247339,0.250516,0.253148,0.26006
121,0.239389,0.2273,0.205516,0.174891,0.141337,0.104515,0.0727003,0.0451841,0.0251207,0.0126207,0.00570068,0.00216974,0.000729095,0.000184348,3.3856e-05,5.62676e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,6.29435e-06,3.52865e-05,0.000194839,0.000918021,0.0032476,0.00953497,0.0234094,0.0449264,0.0819351,0.12054,0.161448,0.198254,0.224558,0.24009,0.247489,0.249905,0.252524,0.260722
120,0.238413,0.226671,0.203373,0.174073,0.139507,0.105756,0.0711347,0.0446667,0.0250042,0.0124319,0.0051319,0.00187533,0.000635634,0.000174716,3.21393e-05,4.86381e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.48234e-06,2.57496e-05,0.00017462,0.000815881,0.00308099,0.00884728,0.0213753,0.043238,0.0805494,0.117733,0.160751,0.19692,0.222484,0.239109,0.246298,0.2496,0.253305,0.261889
119,0.238691,0.224067,0.201077,0.17341,0.137309,0.098864,0.0695405,0.0443379,0.0239137,0.0119113,0.00477989,0.00188745,0.000613699,0.000147631,2.30793e-05,4.2916e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.33791e-06,2.65126e-05,0.000156405,0.000737964,0.00288539,0.0084522,0.0205156,0.0441325,0.0777808,0.113524,0.161831,0.19357,0.220212,0.23897,0.247489,0.250363,0.254406,0.262224
118,0.237446,0.222969,0.200192,0.170309,0.134205,0.0977317,0.0667961,0.0429479,0.0218392,0.0114861,0.00443618,0.00160992,0.00060378,0.000128939,2.1458e-05,3.24254e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.47959e-06,1.9646e-05,0.00013962,0.000749027,0.00260777,0.00769147,0.0200535,0.0409799,0.0718459,0.113713,0.158573,0.193387,0.221044,0.237859,0.246002,0.249905,0.25409,0.263913
