SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:29:31
Date and Time Ended,2022-Jun-08 18:30:17
Scan Name,Scan 34
Link Settings,
Reset RX After Applying Settings,false
Open Area,8225
Horizontal Opening,38
Horizontal Percentage,58.46
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.203373,0.179175,0.149596,0.116561,0.082347,0.0589598,0.0372392,0.0207958,0.0100157,0.00428988,0.00146248,0.000447185,9.95651e-05,2.05043e-05,1.90738e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,8.67857e-06,6.33249e-05,0.000302319,0.00113813,0.00312915,0.0071115,0.0143395,0.0260572,0.0437974,0.0660742,0.0947695,0.127164,0.157053,0.183018,0.204083,0.221762,0.23459,0.242363,0.247489,0.253305,0.25973,0.268939,0.282673
126,0.202069,0.175265,0.145607,0.111484,0.0822312,0.057503,0.036228,0.0200153,0.00998936,0.00398461,0.00148632,0.000456435,9.823e-05,1.73571e-05,2.7657e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,8.48783e-06,6.16083e-05,0.000266842,0.00103046,0.00296044,0.00666017,0.0137646,0.0249433,0.0432837,0.0652219,0.0934932,0.125565,0.15568,0.180916,0.204695,0.222122,0.23567,0.242794,0.248088,0.253776,0.259895,0.268586,0.285232
125,0.20177,0.174667,0.143717,0.113998,0.0806287,0.0562629,0.0348858,0.0198668,0.0092748,0.00384222,0.00133297,0.000391203,9.06958e-05,1.90738e-05,1.81201e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,6.86656e-06,4.89242e-05,0.000266842,0.000998226,0.00275969,0.00637401,0.0135023,0.02362,0.0397587,0.0633164,0.0939866,0.123744,0.155976,0.180041,0.201473,0.221282,0.234187,0.243082,0.248088,0.253305,0.259895,0.270359,0.283652
124,0.201275,0.172315,0.145763,0.112187,0.0802496,0.0552907,0.0342184,0.0191006,0.00901216,0.00356832,0.00130827,0.000350958,8.31617e-05,1.68803e-05,2.67033e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,6.00824e-06,4.19623e-05,0.000239853,0.000927653,0.00256008,0.00597982,0.012803,0.0240132,0.039316,0.0611699,0.090458,0.120433,0.146755,0.178084,0.202569,0.219975,0.23352,0.24265,0.247339,0.253618,0.25973,0.270359,0.284836
123,0.19768,0.172679,0.141045,0.106416,0.077384,0.0526132,0.032915,0.0180956,0.0083146,0.00334764,0.00121872,0.000365454,6.64721e-05,1.06813e-05,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,5.34066e-06,3.52865e-05,0.000227073,0.000818551,0.00243467,0.00581283,0.0124701,0.022457,0.0386081,0.060888,0.0915089,0.121433,0.148943,0.174444,0.20088,0.219269,0.229722,0.240513,0.248691,0.253618,0.261054,0.272155,0.287233
122,0.197776,0.168905,0.14032,0.10603,0.0783462,0.0509635,0.0316069,0.0176869,0.00813202,0.0032969,0.00110828,0.000337415,6.20851e-05,1.3447e-05,1.71664e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.48234e-06,3.4905e-05,0.000209335,0.000785077,0.00230936,0.00535105,0.0116316,0.0213932,0.037574,0.0579095,0.0895874,0.117362,0.148028,0.172824,0.199413,0.216144,0.231148,0.239669,0.246743,0.253933,0.261889,0.271075,0.288041
121,0.195884,0.167798,0.135135,0.101134,0.0754872,0.0502076,0.0307434,0.016134,0.0079268,0.00306916,0.00111496,0.000314527,5.79843e-05,1.21118e-05,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.86107e-06,2.80385e-05,0.000184634,0.000721942,0.00220579,0.00544337,0.0112125,0.0208934,0.035813,0.0579833,0.0889648,0.116197,0.145143,0.174147,0.197585,0.214784,0.23154,0.239389,0.24719,0.25409,0.262056,0.271794,0.289057
120,0.196448,0.166164,0.137034,0.100464,0.0738939,0.0491827,0.0291983,0.016026,0.00758086,0.00280871,0.00102045,0.000300603,5.57908e-05,9.25078e-06,8.5832e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.14717e-06,2.64172e-05,0.000149634,0.000647745,0.00201171,0.00499571,0.0106598,0.0202679,0.0353983,0.0565113,0.0850485,0.111303,0.143115,0.171306,0.19692,0.216831,0.230368,0.240796,0.24719,0.254406,0.26006,0.273976,0.288243
119,0.193661,0.162215,0.130694,0.0996094,0.074014,0.04886,0.0290574,0.0158493,0.0072254,0.00265507,0.000975051,0.000280575,5.00687e-05,9.34615e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,2.7657e-06,1.97414e-05,0.000140002,0.000622759,0.0018637,0.00481823,0.0102135,0.0193579,0.0343417,0.0555306,0.0828634,0.111272,0.140609,0.167455,0.19692,0.212445,0.230238,0.240796,0.24719,0.254406,0.262897,0.275265,0.293826
118,0.190864,0.16299,0.132812,0.0958114,0.0687353,0.046672,0.0285213,0.0151668,0.00723523,0.00264239,0.000968566,0.000253109,4.51095e-05,8.39246e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.57496e-06,2.11719e-05,0.000137999,0.000596818,0.00180438,0.00445611,0.00977201,0.0184743,0.0329414,0.0529601,0.0799363,0.109929,0.143667,0.17145,0.193387,0.211676,0.227932,0.238552,0.246892,0.253776,0.262897,0.276007,0.293616
117,0.190597,0.161831,0.128038,0.0955209,0.0685169,0.045309,0.0272083,0.0146446,0.00655938,0.00253195,0.000885119,0.00023909,4.20577e-05,6.96193e-06,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.5259e-06,1.79294e-05,0.000115206,0.000525483,0.0016042,0.00428416,0.00937114,0.0180342,0.0309993,0.0528304,0.0783612,0.107759,0.13791,0.16476,0.19275,0.21333,0.22617,0.238552,0.246892,0.253618,0.263913,0.275265,0.29767
