SW Version,2020.2.2
Date and Time Started,2022-Jun-08 19:55:58
Date and Time Ended,2022-Jun-08 19:56:38
Scan Name,Scan 142
Link Settings,
Reset RX After Applying Settings,false
Open Area,8536
Horizontal Opening,45
Horizontal Percentage,69.23
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.250669,0.249296,0.24854,0.243951,0.228951,0.204592,0.165626,0.122121,0.0710853,0.0356107,0.0147532,0.0041125,0.000817884,0.000136759,1.19211e-05,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.77119e-06,5.22621e-05,0.000373846,0.00172904,0.00565557,0.0147612,0.0303268,0.055478,0.0796101,0.10543,0.12925,0.153636,0.179725,0.206761,0.228568,0.243516,0.247489,0.249296,0.249448,0.249448,0.248088,0.250057,0.250669,0.2496,0.250057,0.250057
126,0.2496,0.249145,0.247938,0.243082,0.226545,0.200781,0.161639,0.116627,0.0691531,0.0334854,0.0133067,0.00339075,0.000630007,0.000105764,8.10636e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.10086e-06,4.00549e-05,0.000273899,0.00131838,0.00452564,0.0124648,0.0280659,0.04886,0.0729074,0.1038,0.126106,0.149705,0.178394,0.204083,0.227932,0.241363,0.248088,0.2496,0.248993,0.249752,0.249448,0.249296,0.249905,0.249752,0.250363,0.249448
125,0.249905,0.249145,0.247638,0.24222,0.224558,0.194212,0.156453,0.112217,0.0664925,0.0313865,0.0118482,0.00303616,0.000585565,8.30663e-05,9.63226e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.86107e-06,3.24254e-05,0.000231746,0.00112602,0.00395991,0.0110156,0.0248194,0.0457085,0.073615,0.0981768,0.12289,0.146808,0.174369,0.20029,0.225423,0.240796,0.246446,0.248239,0.250057,0.249145,0.249448,0.249145,0.250516,0.249752,0.25021,0.250363
124,0.250057,0.249448,0.247938,0.241648,0.222122,0.194674,0.150641,0.109167,0.0618161,0.028174,0.0104876,0.00261044,0.000451286,7.25757e-05,5.14992e-06,1.90738e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.71664e-06,2.05997e-05,0.000165656,0.000854219,0.00299992,0.010015,0.0217718,0.0409348,0.0685283,0.0958787,0.121289,0.143818,0.171235,0.19749,0.223334,0.23897,0.247489,0.24854,0.249752,0.248691,0.249905,0.249296,0.25021,0.249752,0.250057,0.249448
123,0.249905,0.248691,0.248088,0.237859,0.219739,0.190686,0.149432,0.106637,0.0601194,0.0270537,0.00959011,0.0023291,0.000405604,6.19898e-05,4.38697e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.5259e-06,1.69757e-05,0.000121309,0.00074464,0.00269656,0.00852663,0.0196901,0.0372493,0.0636509,0.0910208,0.117767,0.142517,0.168418,0.194304,0.222605,0.23883,0.246595,0.2496,0.249448,0.250516,0.250363,0.250516,0.250516,0.249752,0.249905,0.249905
122,0.249448,0.25021,0.247489,0.237859,0.217406,0.187629,0.143465,0.100786,0.055606,0.0254738,0.00857357,0.00202716,0.000375944,5.02594e-05,4.2916e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,1.31609e-05,9.49874e-05,0.000574311,0.00217527,0.00714823,0.0175152,0.0342384,0.0612065,0.0889261,0.113966,0.139176,0.163969,0.193296,0.218683,0.234994,0.244388,0.248993,0.249296,0.249752,0.25021,0.249752,0.250516,0.25021,0.249905,0.250363
121,0.249296,0.249448,0.245855,0.238274,0.216831,0.181961,0.145298,0.0978251,0.0538231,0.023376,0.00786259,0.00185941,0.000312524,3.58587e-05,2.67033e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,9.823e-06,7.33387e-05,0.00042792,0.00179932,0.00627653,0.0155479,0.0338228,0.0558639,0.0867416,0.111941,0.135942,0.161384,0.189627,0.218101,0.236623,0.244826,0.24854,0.249448,0.249145,0.2496,0.2496,0.249448,0.25021,0.250823,0.249448
120,0.248691,0.249296,0.246743,0.23635,0.213775,0.180041,0.138657,0.0929205,0.0497502,0.0217395,0.00707807,0.00164654,0.000250725,3.19486e-05,2.00275e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,5.43603e-06,5.65537e-05,0.000330739,0.00147784,0.00508221,0.0138639,0.0288081,0.0536609,0.0819679,0.109634,0.132856,0.157657,0.185673,0.213108,0.233786,0.244096,0.248842,0.249905,0.249296,0.249905,0.25021,0.249905,0.25021,0.2496,0.250057
119,0.249145,0.248389,0.244534,0.235805,0.211786,0.176473,0.129209,0.0893919,0.0485128,0.0207179,0.00634557,0.00144417,0.000217536,2.79431e-05,2.57496e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.43328e-06,4.30114e-05,0.000275807,0.00122377,0.00446107,0.0122066,0.0264322,0.0502446,0.0797962,0.10489,0.130236,0.155917,0.18351,0.21124,0.233786,0.242794,0.247339,0.249296,0.250363,0.249752,0.250057,0.249145,0.249752,0.25021,0.249905
118,0.249752,0.248993,0.244972,0.232328,0.212225,0.171882,0.129577,0.0849956,0.0444197,0.0180557,0.00585288,0.00116064,0.000182918,1.84062e-05,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,2.57496e-06,3.04227e-05,0.000205615,0.000998798,0.00377937,0.0104691,0.0243458,0.0473847,0.0734566,0.102578,0.127203,0.151814,0.1802,0.206241,0.232064,0.243227,0.247638,0.249905,0.249296,0.250669,0.249296,0.248993,0.249752,0.2496,0.250057
