SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:28:02
Date and Time Ended,2022-Jun-08 18:28:45
Scan Name,Scan 32
Link Settings,
Reset RX After Applying Settings,false
Open Area,9575
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.239109,0.224067,0.195045,0.154973,0.108015,0.0616765,0.0310204,0.0124964,0.00336252,0.000727951,0.000123026,1.44007e-05,1.43053e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.67033e-06,1.02045e-05,5.00687e-05,0.000138666,0.000409037,0.00111143,0.00263218,0.00605192,0.0125239,0.0236145,0.0410661,0.0652739,0.0985785,0.134381,0.170806,0.205413,0.231802,0.244826,0.248691,0.24854,0.251748,0.254564
126,0.237721,0.222122,0.195138,0.152039,0.107223,0.0618535,0.0294333,0.0117184,0.00308442,0.000673209,0.000104238,1.421e-05,1.62127e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.09812e-06,8.77394e-06,4.59678e-05,0.000117781,0.000386149,0.00102188,0.00244507,0.00567035,0.0118246,0.0225783,0.0408735,0.0631797,0.0972907,0.132683,0.169114,0.205207,0.230757,0.244972,0.248088,0.25021,0.250823,0.255517
125,0.238552,0.220924,0.19122,0.151086,0.103224,0.0636509,0.0277841,0.0108441,0.00281891,0.000625906,9.73716e-05,1.23026e-05,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.19348e-06,7.62951e-06,4.2153e-05,0.000113489,0.000352579,0.000961604,0.00235704,0.00554236,0.011301,0.0211654,0.038031,0.0621538,0.09375,0.130986,0.166434,0.201176,0.229722,0.244388,0.248842,0.250669,0.251903,0.256156
124,0.238136,0.218917,0.19042,0.145607,0.101636,0.0606626,0.0268745,0.0103837,0.00252165,0.000553807,7.94423e-05,1.25887e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.90738e-06,6.00824e-06,3.88151e-05,9.35569e-05,0.000318437,0.000911917,0.00222543,0.00512884,0.0108141,0.0207726,0.0377123,0.0628983,0.0911424,0.124876,0.166029,0.200585,0.229851,0.243371,0.248239,0.249905,0.251748,0.256799
123,0.237308,0.217985,0.186773,0.149269,0.0995126,0.0565269,0.0260888,0.0092174,0.00234102,0.000514801,8.23033e-05,7.0573e-06,4.76844e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.04906e-06,5.05455e-06,3.32837e-05,9.36522e-05,0.000297074,0.00081817,0.00209525,0.00484522,0.0102398,0.0203515,0.0361449,0.060332,0.0922508,0.126301,0.166909,0.199997,0.22844,0.243227,0.248842,0.250669,0.252992,0.258419
122,0.236486,0.217406,0.186348,0.14032,0.0977084,0.0552162,0.0247115,0.00873875,0.00227607,0.000470359,6.90471e-05,8.5832e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.04906e-06,5.8175e-06,2.49866e-05,7.80117e-05,0.000286774,0.000760281,0.00196765,0.00453489,0.00979585,0.0193927,0.034859,0.0580737,0.0876887,0.122633,0.162151,0.198159,0.228059,0.243082,0.249145,0.249752,0.251748,0.25973
121,0.236623,0.215462,0.184336,0.139603,0.0922924,0.0543444,0.0237915,0.00807686,0.00198777,0.000417144,5.31205e-05,7.3434e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,4.38697e-06,2.5845e-05,7.48646e-05,0.000257973,0.000703346,0.00181735,0.0043431,0.00935231,0.0183083,0.034411,0.0572858,0.0869441,0.123409,0.16006,0.195697,0.225796,0.243082,0.248239,0.250363,0.253148,0.255996
120,0.234054,0.212776,0.18188,0.13819,0.0880279,0.0499626,0.0217672,0.00738193,0.00175307,0.000376898,5.34066e-05,7.15267e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.86107e-07,3.62402e-06,2.16487e-05,6.42786e-05,0.000244812,0.000650034,0.00168288,0.00416676,0.00890828,0.0175175,0.0333003,0.0540147,0.084978,0.119485,0.158819,0.195978,0.226295,0.240937,0.248088,0.250669,0.253618,0.26006
119,0.23392,0.21048,0.18351,0.135807,0.0863757,0.0483411,0.0200712,0.00686881,0.00155642,0.000348859,4.16762e-05,5.8175e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.86107e-06,1.87877e-05,5.31205e-05,0.000197795,0.000570211,0.00148795,0.00379969,0.00836845,0.016966,0.0314757,0.0521975,0.0827797,0.116461,0.155621,0.193296,0.223822,0.241363,0.24854,0.250363,0.253305,0.26006
118,0.232724,0.210696,0.176625,0.133636,0.086981,0.0478162,0.0188657,0.00637569,0.00142386,0.000267891,3.89105e-05,3.33791e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,2.7657e-06,1.69757e-05,4.80659e-05,0.000178912,0.000504883,0.00141346,0.00358034,0.00797294,0.0164212,0.0291277,0.050837,0.0816737,0.113241,0.153636,0.190864,0.223822,0.239669,0.248239,0.249905,0.253933,0.262392
