SW Version,2020.2.2
Date and Time Started,2022-Jun-08 19:16:34
Date and Time Ended,2022-Jun-08 19:17:14
Scan Name,Scan 96
Link Settings,
Reset RX After Applying Settings,false
Open Area,8544
Horizontal Opening,41
Horizontal Percentage,63.08
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.227805,0.207916,0.183674,0.153406,0.124308,0.0937715,0.0698251,0.04655,0.0306582,0.0175995,0.0104688,0.00525711,0.00230764,0.000871767,0.000348764,9.9279e-05,2.72755e-05,4.76844e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,7.62951e-07,6.67582e-06,3.62402e-05,0.000207141,0.000630961,0.00216669,0.00502127,0.0114115,0.0199724,0.0327937,0.0586811,0.0805653,0.110165,0.142815,0.172751,0.195417,0.218101,0.233121,0.243227,0.250057,0.258093
126,0.227932,0.208233,0.183839,0.150475,0.122413,0.0936642,0.068334,0.045561,0.0285511,0.0166326,0.00976176,0.00482204,0.00227941,0.000871195,0.000320821,9.47967e-05,2.30793e-05,3.52865e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,8.01099e-06,3.08995e-05,0.00020304,0.000600156,0.00193847,0.00496757,0.0109964,0.0179639,0.0332597,0.0529875,0.0786924,0.111031,0.139841,0.172897,0.196542,0.216144,0.23392,0.24222,0.25021,0.259237
125,0.227552,0.203677,0.182123,0.14835,0.121469,0.0885225,0.0650149,0.0445356,0.0281372,0.0157107,0.00964772,0.00461557,0.00194305,0.00078603,0.000278859,9.54643e-05,1.69757e-05,3.91012e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,6.10361e-06,3.59541e-05,0.00014229,0.000564202,0.00189889,0.0040444,0.00989644,0.0178636,0.0318949,0.0518933,0.0758507,0.107083,0.13791,0.167592,0.193478,0.216946,0.231933,0.24265,0.249905,0.258582
124,0.227426,0.205105,0.179175,0.150863,0.118654,0.0910411,0.0651597,0.0434536,0.0277653,0.0158389,0.00919506,0.0045304,0.00195964,0.000757992,0.000237469,8.61181e-05,2.05043e-05,3.14717e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,3.91012e-06,2.79431e-05,0.000135615,0.000538739,0.00178349,0.0038242,0.00955321,0.0168356,0.0319346,0.0498593,0.0736944,0.102552,0.136714,0.169745,0.193205,0.21501,0.230368,0.241506,0.250516,0.259073
123,0.225299,0.204592,0.17941,0.146075,0.118826,0.0886183,0.0632284,0.0423528,0.0270698,0.0151013,0.00877864,0.00434424,0.00189803,0.000721561,0.000228218,7.11452e-05,1.68803e-05,2.00275e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.91012e-06,2.62264e-05,0.000126936,0.000467975,0.00170567,0.0038055,0.00851069,0.0161219,0.0289568,0.0494082,0.0717578,0.104542,0.13469,0.166502,0.19412,0.215689,0.231409,0.239949,0.249448,0.25973
122,0.224558,0.202669,0.177237,0.145556,0.115934,0.0877638,0.06375,0.0414527,0.0260938,0.0148716,0.00830044,0.00386978,0.00188363,0.000631533,0.000222877,5.60769e-05,1.13489e-05,1.90738e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.24254e-06,1.94553e-05,0.000134184,0.000459297,0.00153277,0.0033052,0.00859101,0.0161004,0.0289322,0.0472045,0.069576,0.101034,0.136259,0.163969,0.19122,0.214672,0.229336,0.240937,0.249296,0.259565
121,0.224681,0.202468,0.171882,0.142666,0.115704,0.0894309,0.061556,0.0411445,0.0258272,0.0136568,0.00811253,0.00367103,0.00177253,0.000557622,0.000171187,5.20714e-05,1.3447e-05,2.19348e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.47959e-06,1.56405e-05,9.65133e-05,0.00037871,0.00128033,0.00326982,0.0083087,0.0146866,0.0276865,0.0465659,0.0687815,0.0987687,0.130694,0.161895,0.188753,0.212776,0.228823,0.241363,0.249752,0.258745
120,0.222122,0.200192,0.17716,0.142616,0.111393,0.0851546,0.0586139,0.0397548,0.0252384,0.0135304,0.00779688,0.0036202,0.00156958,0.000542935,0.000168326,4.71122e-05,1.02998e-05,2.19348e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.5314e-06,1.8883e-05,9.09819e-05,0.000357061,0.0012705,0.00327468,0.00834985,0.0151865,0.0274067,0.0460632,0.0677799,0.0961488,0.1297,0.160499,0.190509,0.210588,0.227932,0.239949,0.248842,0.260225
119,0.221044,0.201374,0.173117,0.141924,0.110881,0.0830145,0.0578686,0.0379816,0.0241506,0.0126648,0.00738912,0.00357614,0.00148795,0.000480468,0.000144675,4.2916e-05,9.823e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.00275e-06,1.421e-05,7.93469e-05,0.000341611,0.00123846,0.0030705,0.00770087,0.0144056,0.0258598,0.0450152,0.065619,0.0969682,0.127758,0.158942,0.188753,0.210156,0.228696,0.239389,0.250057,0.259895
118,0.223212,0.199413,0.172315,0.140802,0.109488,0.0834203,0.056817,0.0372561,0.0233853,0.0123718,0.00720405,0.00324521,0.0012458,0.000452144,0.000143816,4.26299e-05,9.44152e-06,2.00275e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,1.3447e-05,8.02052e-05,0.000322251,0.00105297,0.00300307,0.00749924,0.0142462,0.025574,0.0436109,0.0657454,0.0924591,0.12499,0.157597,0.187973,0.208976,0.227426,0.239109,0.249752,0.261221
