SW Version,2020.2.2
Date and Time Started,2022-Jun-08 19:15:01
Date and Time Ended,2022-Jun-08 19:15:46
Scan Name,Scan 94
Link Settings,
Reset RX After Applying Settings,false
Open Area,9009
Horizontal Opening,43
Horizontal Percentage,66.15
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.247339,0.240372,0.232196,0.212555,0.184585,0.139889,0.0976386,0.0577462,0.0288385,0.0120175,0.00383621,0.000982872,0.000135519,1.79294e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.7657e-06,2.09812e-05,9.83253e-05,0.00040837,0.00127127,0.00340114,0.00901931,0.0183411,0.0370137,0.0591727,0.0951437,0.129454,0.168557,0.206344,0.229464,0.241934,0.24719,0.248993,0.2496,0.248993,0.2496,0.249905,0.249448
126,0.247638,0.241791,0.232064,0.210372,0.181638,0.136668,0.0968994,0.0577299,0.0279376,0.0110358,0.00337215,0.000767147,0.000123312,1.43053e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.00275e-06,1.71664e-05,8.21126e-05,0.000331407,0.00115568,0.00306792,0.0079242,0.0179883,0.0341641,0.057126,0.0913253,0.126145,0.165827,0.201572,0.227552,0.241079,0.247489,0.249145,0.250363,0.249296,0.249752,0.249752,0.251439
125,0.247339,0.242938,0.231802,0.20781,0.174816,0.131364,0.0947038,0.0550603,0.0263982,0.0100219,0.00302157,0.000706016,9.7467e-05,1.07767e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.33516e-06,1.41146e-05,7.00008e-05,0.000297646,0.00103265,0.00276398,0.00719798,0.0156304,0.03348,0.0550012,0.0890034,0.123483,0.164166,0.197871,0.225671,0.239669,0.246743,0.24854,0.248993,0.250057,0.2496,0.249905,0.250516
124,0.246595,0.242077,0.229851,0.20697,0.171092,0.12856,0.0899811,0.0548245,0.02507,0.00945878,0.00285344,0.000646506,9.13634e-05,8.67857e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.5259e-06,1.26841e-05,6.35157e-05,0.000257019,0.000998608,0.00274805,0.00678203,0.0160304,0.0322286,0.0546562,0.0861215,0.122743,0.161448,0.199219,0.223455,0.24009,0.245855,0.249296,0.248389,0.250057,0.249752,0.250057,0.252368
123,0.246743,0.240654,0.225052,0.201374,0.171594,0.130319,0.0847143,0.0514436,0.0241877,0.00911768,0.00268883,0.000587186,8.26848e-05,8.67857e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.33516e-06,1.10628e-05,5.37881e-05,0.000254826,0.000899996,0.00258764,0.00654962,0.0141748,0.028565,0.0523242,0.0846793,0.120469,0.159127,0.196166,0.225175,0.239529,0.24615,0.248842,0.250363,0.248993,0.250057,0.248993,0.250823
122,0.246002,0.239389,0.226796,0.202669,0.166434,0.122706,0.0856174,0.0476272,0.0228326,0.00792619,0.0023024,0.000508698,8.20172e-05,7.0573e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,9.63226e-06,4.85428e-05,0.000215724,0.00078975,0.00233368,0.00621986,0.0135942,0.0296678,0.048267,0.0841573,0.12223,0.15845,0.194212,0.223944,0.237998,0.246892,0.249296,0.248842,0.25021,0.2496,0.2496,0.252524
121,0.245413,0.238691,0.222969,0.199704,0.16476,0.120504,0.0797496,0.0462504,0.0209522,0.0078131,0.00218986,0.00044728,6.52323e-05,5.14992e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,9.44152e-06,4.23438e-05,0.00020695,0.00071746,0.00207723,0.00556296,0.0126391,0.0278408,0.048767,0.0772964,0.115868,0.154215,0.187887,0.222484,0.237033,0.244388,0.249448,0.249145,0.25021,0.249905,0.249752,0.251439
120,0.245266,0.238691,0.224681,0.198735,0.163445,0.117937,0.0784963,0.0426794,0.0196175,0.00708064,0.00201858,0.000408846,4.77798e-05,5.05455e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,6.19898e-06,3.89105e-05,0.000188258,0.000673972,0.00198911,0.00552911,0.0123156,0.0267202,0.0471556,0.0771654,0.113116,0.151477,0.193478,0.217406,0.236759,0.244388,0.248691,0.250057,0.249752,0.250057,0.250669,0.252213
119,0.244972,0.237583,0.221402,0.195231,0.159748,0.113587,0.0774279,0.0415452,0.018461,0.00650046,0.00184644,0.000355631,4.32975e-05,3.62402e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,4.48234e-06,2.92782e-05,0.000149634,0.000574788,0.00182374,0.00516766,0.0116893,0.0247758,0.0457902,0.0754733,0.112125,0.149432,0.19122,0.219386,0.234724,0.244826,0.248993,0.249905,0.2496,0.250363,0.25113,0.252213
118,0.24468,0.23883,0.220805,0.189539,0.159189,0.110373,0.074014,0.0390052,0.0174266,0.00605917,0.00171626,0.000288682,3.51911e-05,3.33791e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,4.00549e-06,2.15534e-05,0.000130179,0.000530823,0.00167992,0.00484932,0.0108358,0.0241805,0.0423572,0.0740274,0.106804,0.142716,0.189364,0.215689,0.23567,0.244388,0.248691,0.249752,0.25021,0.2496,0.250977,0.253148
