SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:14:33
Date and Time Ended,2022-Jun-08 18:15:18
Scan Name,Scan 14
Link Settings,
Reset RX After Applying Settings,false
Open Area,7837
Horizontal Opening,38
Horizontal Percentage,58.46
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.240513,0.232724,0.217406,0.199997,0.173999,0.14665,0.115476,0.0861215,0.0593614,0.0357287,0.0198784,0.00971177,0.00371166,0.00108625,0.000249104,3.37606e-05,2.86107e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.81201e-06,8.86931e-06,4.38697e-05,0.000160792,0.000573835,0.00166333,0.0040835,0.00936022,0.0174228,0.0309244,0.0478386,0.0734171,0.102861,0.134912,0.161895,0.189715,0.212115,0.229079,0.240231,0.245855,0.248993,0.250057,0.255358,0.258256
126,0.241363,0.230368,0.21603,0.197967,0.175791,0.144938,0.11296,0.0848196,0.058272,0.0351975,0.0192379,0.0089989,0.00329185,0.00100261,0.000214771,3.34745e-05,3.52865e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.04906e-06,7.53414e-06,4.00549e-05,0.000146963,0.000525864,0.00161307,0.00388151,0.00875837,0.0171235,0.0301838,0.0478274,0.0711224,0.102169,0.131449,0.159935,0.188579,0.210588,0.229593,0.239109,0.24556,0.248842,0.250669,0.254406,0.26006
125,0.239249,0.230887,0.214447,0.19551,0.172171,0.143215,0.112898,0.0826127,0.0547146,0.0329467,0.0186179,0.0087142,0.00309138,0.000951591,0.000204471,2.67987e-05,2.86107e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,7.15267e-06,3.72892e-05,0.00013695,0.000474556,0.00151761,0.0035091,0.00814609,0.0160411,0.0282576,0.0460528,0.0676791,0.0993677,0.130112,0.158512,0.187629,0.210372,0.228313,0.23883,0.24556,0.248993,0.251593,0.25504,0.260225
124,0.239809,0.227552,0.212445,0.194489,0.171665,0.138096,0.111121,0.0804387,0.054294,0.032598,0.0179136,0.00825711,0.00288863,0.000820459,0.000159075,2.36515e-05,3.14717e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,5.43603e-06,3.31884e-05,0.000129606,0.000441176,0.00136263,0.00345283,0.0079121,0.0153821,0.0267429,0.044696,0.0684482,0.0966935,0.125258,0.157657,0.186179,0.208657,0.227048,0.238552,0.244534,0.248088,0.251285,0.254248,0.26006
123,0.238552,0.227679,0.212005,0.194859,0.168073,0.141093,0.106112,0.077384,0.0521709,0.0313001,0.0172577,0.0080834,0.00276522,0.00073434,0.000152876,2.02182e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,4.57771e-06,2.91829e-05,0.000112154,0.000378805,0.00133631,0.00302815,0.00736269,0.0143475,0.0264766,0.0430426,0.0666656,0.096036,0.123223,0.155976,0.182123,0.20781,0.225671,0.23635,0.245119,0.247938,0.252058,0.255199,0.260722
122,0.237446,0.228059,0.212115,0.19131,0.166096,0.135762,0.102501,0.0759914,0.0504861,0.0308918,0.0161601,0.00742488,0.00260014,0.000640593,0.000138094,1.61173e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,4.00549e-06,2.48913e-05,9.94697e-05,0.000381952,0.00118553,0.00289654,0.00712572,0.0138456,0.0266143,0.041885,0.0639092,0.0950334,0.121469,0.154331,0.182447,0.206033,0.224928,0.237308,0.244534,0.24854,0.252058,0.255676,0.26039
121,0.237583,0.227426,0.211022,0.187801,0.163641,0.134558,0.103276,0.0736282,0.0485934,0.0299126,0.0160004,0.00690133,0.00251078,0.00062314,0.000127699,1.44007e-05,1.43053e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,4.2916e-06,2.43191e-05,9.2031e-05,0.000356584,0.00116054,0.00271572,0.00687561,0.013513,0.0255916,0.0416762,0.0619845,0.0907989,0.121289,0.15187,0.179725,0.205929,0.223455,0.237308,0.243516,0.24719,0.251439,0.254722,0.262224
120,0.237033,0.225299,0.208021,0.187543,0.162408,0.129947,0.103172,0.0728685,0.0477493,0.0282595,0.0148624,0.00665314,0.00230764,0.000600252,0.000100042,1.17304e-05,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,2.7657e-06,2.17441e-05,8.5832e-05,0.000318627,0.00103075,0.00257286,0.0063568,0.0125542,0.0241193,0.039836,0.0626961,0.0865766,0.120221,0.151477,0.17855,0.205929,0.222243,0.236486,0.244534,0.248993,0.251748,0.255517,0.262897
119,0.23635,0.224558,0.208763,0.184419,0.160499,0.130861,0.0980828,0.0712709,0.0460995,0.0259862,0.014191,0.00633575,0.00212243,0.000524624,0.000105573,1.01091e-05,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,2.47959e-06,1.64988e-05,7.6009e-05,0.000293736,0.000992313,0.00245174,0.00610685,0.0121917,0.0227717,0.0391768,0.0590193,0.0866865,0.119241,0.148889,0.175265,0.203981,0.222243,0.234994,0.243806,0.248088,0.251903,0.256799,0.263574
118,0.235263,0.222364,0.206137,0.18542,0.1579,0.12852,0.0939651,0.0697418,0.0443235,0.0255517,0.0133837,0.00594673,0.00199197,0.000474556,9.11727e-05,8.5832e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.47959e-06,1.43053e-05,6.94285e-05,0.000262074,0.000899519,0.00240263,0.00580739,0.0115678,0.0217003,0.0380345,0.0582471,0.0861034,0.115901,0.14504,0.173557,0.200781,0.220924,0.234724,0.243227,0.248691,0.252836,0.257606,0.263744
