SW Version,2020.2.2
Date and Time Started,2022-Jun-08 19:49:21
Date and Time Ended,2022-Jun-08 19:50:04
Scan Name,Scan 133
Link Settings,
Reset RX After Applying Settings,false
Open Area,0
Horizontal Opening,0
Horizontal Percentage,0.00
Vertical Opening,0
Vertical Percentage,0.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.64503,0.622483,0.703769,0.698965,0.730114,0.690715,0.721116,0.70016,0.677014,0.7111,0.677014,0.695405,0.712337,0.697775,0.697775,0.691881,0.682656,0.693052,0.694227,0.717327,0.687238,0.684939,0.690715,0.667091,0.662773,0.61593,0.593614,0.616858,0.64503,0.680388,0.670366,0.693052,0.706196,0.703769,0.702562,0.694227,0.701359,0.691881,0.698965,0.687238,0.683796,0.683796,0.717327,0.703769,0.718586,0.70864,0.695405,0.698965,0.671465,0.663847,0.683796,0.659571,0.663847,0.697775,0.654303,0.664925,0.660635,0.660635,0.687238,0.682656,0.70864,0.668179,0.677014,0.703769,0.694227
126,0.647068,0.651182,0.654303,0.687238,0.698965,0.686087,0.694227,0.695405,0.669271,0.70016,0.713578,0.691881,0.695405,0.683796,0.672568,0.70864,0.688393,0.698965,0.709868,0.70016,0.688393,0.671465,0.678135,0.661702,0.649118,0.618722,0.62343,0.617788,0.637996,0.688393,0.6564,0.70016,0.689552,0.702562,0.702562,0.698965,0.666006,0.67926,0.690715,0.695405,0.691881,0.698965,0.701359,0.723664,0.677014,0.682656,0.707416,0.713578,0.70016,0.670366,0.669271,0.661702,0.670366,0.68152,0.63999,0.662773,0.663847,0.658511,0.6564,0.675897,0.674784,0.690715,0.696588,0.688393,0.673674
125,0.636015,0.641996,0.641996,0.691881,0.695405,0.694227,0.713578,0.686087,0.689552,0.713578,0.696588,0.682656,0.695405,0.677014,0.704981,0.702562,0.675897,0.719848,0.703769,0.7111,0.701359,0.677014,0.693052,0.6564,0.63999,0.61593,0.598821,0.632089,0.647068,0.687238,0.65326,0.706196,0.67926,0.703769,0.724945,0.714823,0.68152,0.691881,0.696588,0.695405,0.696588,0.694227,0.704981,0.691881,0.688393,0.67926,0.702562,0.698965,0.680388,0.65535,0.688393,0.658511,0.673674,0.659571,0.667091,0.651182,0.671465,0.675897,0.64503,0.647068,0.687238,0.690715,0.689552,0.697775,0.683796
124,0.649118,0.647068,0.660635,0.68152,0.683796,0.682656,0.687238,0.683796,0.659571,0.693052,0.675897,0.695405,0.701359,0.70016,0.687238,0.691881,0.688393,0.70864,0.712337,0.684939,0.706196,0.68152,0.695405,0.658511,0.649118,0.607706,0.641996,0.617788,0.635029,0.688393,0.649118,0.687238,0.67926,0.709868,0.7111,0.683796,0.690715,0.70016,0.702562,0.682656,0.684939,0.678135,0.703769,0.683796,0.674784,0.68152,0.694227,0.696588,0.68152,0.688393,0.672568,0.657454,0.672568,0.68152,0.678135,0.649118,0.667091,0.669271,0.673674,0.666006,0.693052,0.689552,0.686087,0.678135,0.709868
123,0.668179,0.647068,0.673674,0.647068,0.67926,0.684939,0.697775,0.683796,0.674784,0.697775,0.694227,0.68152,0.684939,0.695405,0.694227,0.671465,0.696588,0.698965,0.712337,0.717327,0.696588,0.67926,0.686087,0.668179,0.654303,0.624381,0.620597,0.632089,0.652219,0.691881,0.661702,0.696588,0.691881,0.693052,0.724945,0.70016,0.693052,0.698965,0.724945,0.694227,0.683796,0.693052,0.683796,0.695405,0.693052,0.70016,0.680388,0.709868,0.675897,0.663847,0.68152,0.666006,0.673674,0.663847,0.673674,0.664925,0.664925,0.65535,0.662773,0.668179,0.697775,0.683796,0.667091,0.680388,0.70864
122,0.622483,0.643004,0.669271,0.647068,0.688393,0.683796,0.691881,0.693052,0.670366,0.689552,0.686087,0.698965,0.693052,0.684939,0.67926,0.684939,0.671465,0.697775,0.709868,0.688393,0.718586,0.671465,0.663847,0.662773,0.650149,0.651182,0.617788,0.622483,0.644015,0.689552,0.675897,0.689552,0.686087,0.706196,0.70864,0.694227,0.696588,0.670366,0.696588,0.688393,0.704981,0.695405,0.707416,0.671465,0.686087,0.691881,0.690715,0.695405,0.686087,0.659571,0.703769,0.678135,0.683796,0.668179,0.673674,0.664925,0.657454,0.65535,0.648091,0.682656,0.698965,0.673674,0.68152,0.688393,0.694227
121,0.6564,0.640992,0.661702,0.652219,0.680388,0.684939,0.678135,0.680388,0.686087,0.696588,0.682656,0.680388,0.696588,0.674784,0.697775,0.690715,0.686087,0.690715,0.695405,0.696588,0.698965,0.680388,0.664925,0.669271,0.671465,0.646047,0.614084,0.631115,0.636015,0.669271,0.662773,0.717327,0.677014,0.701359,0.704981,0.677014,0.683796,0.673674,0.709868,0.688393,0.697775,0.694227,0.707416,0.695405,0.683796,0.682656,0.698965,0.675897,0.671465,0.664925,0.690715,0.683796,0.677014,0.663847,0.659571,0.652219,0.669271,0.658511,0.659571,0.673674,0.693052,0.68152,0.682656,0.693052,0.672568
120,0.659571,0.644015,0.636015,0.678135,0.694227,0.686087,0.695405,0.687238,0.682656,0.693052,0.703769,0.675897,0.701359,0.682656,0.688393,0.702562,0.690715,0.70864,0.70016,0.718586,0.693052,0.68152,0.673674,0.658511,0.637004,0.6564,0.605908,0.634046,0.630144,0.672568,0.673674,0.686087,0.687238,0.70016,0.701359,0.682656,0.693052,0.686087,0.7111,0.70864,0.721116,0.690715,0.702562,0.680388,0.678135,0.697775,0.693052,0.688393,0.695405,0.670366,0.683796,0.670366,0.68152,0.691881,0.6564,0.631115,0.671465,0.660635,0.671465,0.686087,0.695405,0.671465,0.690715,0.672568,0.688393
119,0.637996,0.651182,0.652219,0.667091,0.697775,0.67926,0.70864,0.667091,0.674784,0.698965,0.684939,0.684939,0.698965,0.677014,0.703769,0.667091,0.709868,0.70864,0.688393,0.696588,0.694227,0.689552,0.667091,0.640992,0.641996,0.62343,0.611334,0.614084,0.64503,0.672568,0.661702,0.701359,0.686087,0.694227,0.703769,0.688393,0.70864,0.682656,0.701359,0.70864,0.703769,0.698965,0.706196,0.689552,0.697775,0.696588,0.697775,0.682656,0.690715,0.664925,0.670366,0.686087,0.697775,0.670366,0.667091,0.634046,0.670366,0.666006,0.670366,0.668179,0.684939,0.658511,0.680388,0.689552,0.698965
118,0.659571,0.6564,0.646047,0.664925,0.695405,0.698965,0.690715,0.669271,0.650149,0.689552,0.684939,0.697775,0.686087,0.70016,0.716073,0.714823,0.70864,0.706196,0.694227,0.684939,0.68152,0.696588,0.689552,0.631115,0.634046,0.646047,0.610423,0.63999,0.635029,0.68152,0.663847,0.70016,0.687238,0.701359,0.713578,0.704981,0.682656,0.689552,0.70864,0.691881,0.70016,0.697775,0.742018,0.701359,0.691881,0.68152,0.683796,0.686087,0.689552,0.673674,0.701359,0.651182,0.689552,0.67926,0.666006,0.638992,0.649118,0.666006,0.661702,0.680388,0.696588,0.689552,0.674784,0.68152,0.698965
