SW Version,2020.2.2
Date and Time Started,2022-Jun-08 20:10:55
Date and Time Ended,2022-Jun-08 20:11:41
Scan Name,Scan 161
Link Settings,
Reset RX After Applying Settings,false
Open Area,9269
Horizontal Opening,45
Horizontal Percentage,69.23
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.249296,0.246446,0.233254,0.207075,0.17341,0.136988,0.100761,0.0656295,0.0283377,0.00929627,0.00199626,0.000216392,1.82155e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-06,1.33516e-05,8.68811e-05,0.00052491,0.00220445,0.0084522,0.02018,0.0419967,0.0740007,0.0999009,0.116362,0.127006,0.141434,0.163185,0.19357,0.224189,0.241079,0.248691,0.248088,0.2496,0.249296,0.249448,0.249905,0.249905,0.250057
126,0.249296,0.24556,0.231278,0.202069,0.171378,0.133071,0.097592,0.0608338,0.0260241,0.0080826,0.00163281,0.000169471,1.48775e-05,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.08721e-05,7.04776e-05,0.000432689,0.00189565,0.00696304,0.018781,0.038474,0.0690831,0.0994401,0.113903,0.124876,0.138751,0.162215,0.19131,0.220924,0.240231,0.248239,0.249448,0.249296,0.249752,0.249296,0.249448,0.250057,0.249448
125,0.249296,0.244388,0.231802,0.202468,0.166502,0.129454,0.0942245,0.0577869,0.0252011,0.00755151,0.00147011,0.000132372,1.1635e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,7.62951e-06,5.02594e-05,0.000383001,0.00157864,0.00614614,0.0173234,0.0359545,0.0698251,0.0937071,0.11438,0.125029,0.138845,0.159437,0.190775,0.220093,0.23883,0.246892,0.249448,0.249296,0.25021,0.250669,0.250057,0.249448,0.247788
124,0.249296,0.245119,0.229593,0.198543,0.164893,0.128965,0.0947914,0.0539507,0.02334,0.00682611,0.00125982,0.000121881,1.00137e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.5314e-06,3.87198e-05,0.000276761,0.00130007,0.00534533,0.0154081,0.0341584,0.062773,0.0912236,0.111484,0.123969,0.135672,0.155444,0.186264,0.2188,0.237859,0.247041,0.249448,0.250823,0.249448,0.249296,0.249752,0.2496,0.249905
123,0.248691,0.243951,0.226796,0.195884,0.160499,0.125067,0.0915907,0.0545834,0.0218999,0.00657032,0.00110056,9.9279e-05,8.10636e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,4.38697e-06,3.08042e-05,0.000225929,0.00107652,0.00476167,0.0130953,0.0301216,0.0622767,0.0909602,0.109138,0.122523,0.134205,0.155976,0.187115,0.215576,0.23459,0.245707,0.248842,0.249752,0.250057,0.249752,0.249905,0.249752,0.250057
122,0.248842,0.244534,0.223577,0.192932,0.158389,0.12223,0.087745,0.0492123,0.0202318,0.00586051,0.000957313,9.308e-05,6.00824e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,2.47959e-06,2.55589e-05,0.000180819,0.000897898,0.0041927,0.0124285,0.0284737,0.057126,0.0867232,0.108674,0.122121,0.133245,0.153234,0.181156,0.212665,0.235941,0.246298,0.249752,0.249752,0.249296,0.2496,0.2496,0.250057,0.248993
121,0.247638,0.241648,0.223455,0.18989,0.16006,0.122376,0.0872218,0.0480857,0.0185698,0.00502146,0.000890745,7.50553e-05,4.19623e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.09812e-06,2.16487e-05,0.000150301,0.000768959,0.00348259,0.010589,0.0272862,0.0536188,0.0835224,0.10603,0.119555,0.131957,0.151142,0.180279,0.209725,0.233387,0.24615,0.248691,0.249448,0.250057,0.250977,0.249752,0.248842,0.249145
120,0.248691,0.240372,0.224558,0.19042,0.152492,0.118482,0.083693,0.0470852,0.0175889,0.00435197,0.000761902,6.13222e-05,5.43603e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.33516e-06,1.56405e-05,0.00010605,0.00060893,0.00320706,0.00936,0.0235115,0.051212,0.0812364,0.103905,0.120327,0.131154,0.147655,0.174295,0.208021,0.233387,0.244388,0.249448,0.249145,0.249905,0.250057,0.249296,0.250363,0.250057
119,0.247638,0.239949,0.219386,0.185925,0.14987,0.117564,0.0789959,0.0448133,0.0157312,0.00410067,0.000703822,5.37881e-05,3.52865e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,8.5832e-07,1.09674e-05,8.53552e-05,0.000491627,0.00276369,0.0082009,0.0212302,0.048767,0.0780476,0.100538,0.118209,0.13061,0.14644,0.174369,0.205619,0.230887,0.243806,0.249145,0.249448,0.25021,0.249296,0.2496,0.249448,0.249905
118,0.247638,0.238413,0.217406,0.183181,0.146598,0.114061,0.0778399,0.04037,0.0140094,0.00360599,0.000586042,4.20577e-05,2.38422e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,9.25078e-06,6.44694e-05,0.000393874,0.00223735,0.00733789,0.0203879,0.043676,0.0759632,0.100121,0.117903,0.128359,0.145607,0.170309,0.202368,0.228951,0.242794,0.247788,0.249448,0.249296,0.250057,0.250516,0.25021,0.250516
