SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:27:13
Date and Time Ended,2022-Jun-08 18:28:02
Scan Name,Scan 31
Link Settings,
Reset RX After Applying Settings,false
Open Area,8550
Horizontal Opening,40
Horizontal Percentage,61.54
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.221044,0.197776,0.168974,0.136577,0.105159,0.0732857,0.0459856,0.026001,0.011945,0.00488746,0.00158112,0.000376135,5.08316e-05,4.48234e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,1.82155e-05,0.000128271,0.000562486,0.00199435,0.00586395,0.0132204,0.0256012,0.0465289,0.0734434,0.105375,0.140706,0.167729,0.196166,0.217061,0.230627,0.240513,0.24615,0.249296,0.252368,0.257283,0.266836,0.281895
126,0.219739,0.197395,0.169745,0.137448,0.101159,0.070184,0.0450846,0.0251779,0.0115793,0.00458629,0.00149195,0.000334745,4.70169e-05,5.5314e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.43053e-06,1.74525e-05,0.000109579,0.000514134,0.00190003,0.00548047,0.012618,0.0244038,0.0436156,0.0709008,0.102991,0.136213,0.169534,0.195045,0.219034,0.231671,0.240372,0.24615,0.248691,0.252524,0.255358,0.266489,0.282284
125,0.220924,0.194766,0.169324,0.133942,0.102939,0.0713081,0.0455864,0.0244227,0.0108364,0.00448129,0.00143845,0.00028172,4.10086e-05,4.95918e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,1.21118e-05,9.77531e-05,0.000484283,0.00177739,0.00528887,0.0120479,0.0234067,0.0421957,0.0707172,0.101712,0.136078,0.165827,0.19692,0.213887,0.230368,0.239249,0.246298,0.2496,0.253148,0.257768,0.267883,0.284046
124,0.217637,0.196354,0.166569,0.134868,0.0991993,0.0695287,0.0425464,0.0239109,0.0100712,0.00442292,0.0013654,0.000264076,3.99596e-05,2.7657e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,1.06813e-05,7.95377e-05,0.000439651,0.0016556,0.00490148,0.0112609,0.022706,0.0419236,0.0646455,0.0994401,0.131364,0.16338,0.191131,0.216716,0.227679,0.239109,0.246743,0.248691,0.252836,0.258745,0.270716,0.287838
123,0.217406,0.193296,0.164034,0.133549,0.0996336,0.0681747,0.0424142,0.0236527,0.009557,0.00395123,0.00124132,0.000240234,3.62402e-05,2.19348e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,1.08721e-05,8.16358e-05,0.000393587,0.00151131,0.00457418,0.0108631,0.0215701,0.041298,0.0666765,0.0966935,0.131028,0.162537,0.190155,0.214447,0.227048,0.239669,0.245855,0.249448,0.252836,0.258909,0.271075,0.286229
122,0.217176,0.192659,0.163185,0.131491,0.0974527,0.0667091,0.0411239,0.0224067,0.00927522,0.00383936,0.00113499,0.000219062,3.76707e-05,2.95644e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,9.25078e-06,6.79026e-05,0.000371366,0.00142872,0.0043637,0.00998546,0.0209661,0.0391544,0.0639191,0.0945726,0.130819,0.161575,0.188753,0.21333,0.226796,0.237308,0.24556,0.248993,0.253305,0.26039,0.270716,0.288041
121,0.215349,0.192569,0.158757,0.127639,0.0944853,0.0661382,0.0402193,0.0217776,0.00918186,0.003649,0.00113928,0.000211051,3.1281e-05,3.62402e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,8.39246e-06,5.9987e-05,0.000335794,0.00129063,0.00406405,0.00976595,0.0198639,0.037148,0.0624857,0.0934505,0.127918,0.159748,0.185757,0.212225,0.225547,0.237446,0.246446,0.248993,0.252992,0.259895,0.270716,0.286229
120,0.215462,0.188927,0.159066,0.124648,0.0926054,0.0645741,0.038813,0.0208604,0.0090564,0.00353447,0.00108654,0.000189784,2.83246e-05,3.33791e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,5.91287e-06,5.15946e-05,0.000307183,0.00124323,0.00366245,0.00931763,0.018793,0.0357162,0.0617044,0.0929205,0.124421,0.155149,0.182447,0.209404,0.225547,0.237583,0.245413,0.249145,0.252213,0.261221,0.273062,0.28865
119,0.211131,0.189276,0.159189,0.122085,0.0898429,0.0608699,0.0379887,0.0199704,0.00839607,0.00325151,0.000952354,0.000167849,2.85153e-05,1.62127e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,6.29435e-06,4.82567e-05,0.000266079,0.00113823,0.00355526,0.00851139,0.0180828,0.0342756,0.0571659,0.0895287,0.121794,0.153005,0.185757,0.206241,0.222002,0.236759,0.243227,0.249296,0.253776,0.261387,0.271434,0.292567
118,0.212887,0.186348,0.156274,0.12278,0.0878957,0.0607345,0.0367415,0.0194268,0.00800019,0.00288796,0.000941482,0.000169089,2.25071e-05,2.38422e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,4.67308e-06,4.08179e-05,0.000253681,0.000984207,0.00323043,0.0081359,0.0171759,0.0330985,0.0562783,0.087352,0.121361,0.153751,0.183018,0.206241,0.223455,0.235941,0.243806,0.248842,0.254248,0.260556,0.273062,0.29446
