SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:40:55
Date and Time Ended,2022-Jun-08 18:41:38
Scan Name,Scan 49
Link Settings,
Reset RX After Applying Settings,false
Open Area,8726
Horizontal Opening,42
Horizontal Percentage,64.62
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.243371,0.234054,0.215576,0.191488,0.156573,0.119485,0.0830314,0.0473355,0.0248043,0.010696,0.00340457,0.000944724,0.000194839,3.14717e-05,4.00549e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.0518e-06,1.98367e-05,9.4892e-05,0.000359255,0.000991455,0.00282254,0.00570773,0.0119422,0.0225262,0.0375878,0.058892,0.0854032,0.114284,0.145298,0.175565,0.200192,0.220805,0.234321,0.242938,0.247638,0.2496,0.250669,0.251439,0.254248
126,0.243516,0.231671,0.21603,0.190155,0.15468,0.118107,0.0789046,0.0453894,0.0241577,0.0095541,0.00312419,0.000878061,0.000164225,2.81338e-05,2.95644e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,2.7657e-06,1.421e-05,7.54368e-05,0.000302129,0.000909724,0.00249857,0.00542916,0.0110884,0.021035,0.0346321,0.0561703,0.0834033,0.11265,0.143415,0.176245,0.200683,0.22033,0.234859,0.242794,0.248088,0.249296,0.2496,0.251439,0.253776
125,0.24265,0.232328,0.214111,0.188579,0.153578,0.114796,0.0757525,0.0437787,0.0226997,0.00911951,0.0029386,0.00078994,0.000145628,1.97414e-05,1.81201e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.19348e-06,1.21118e-05,6.52323e-05,0.000283913,0.000757897,0.00231928,0.00504578,0.0112061,0.0199461,0.0340562,0.055343,0.0819679,0.110195,0.140851,0.17145,0.196072,0.217869,0.231802,0.24222,0.247339,0.2496,0.250823,0.251903,0.254881
124,0.243371,0.232064,0.212005,0.184502,0.149487,0.111363,0.0734566,0.0424802,0.0218812,0.00843514,0.00258259,0.000663005,0.000119211,1.28748e-05,1.33516e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.71664e-06,1.07767e-05,5.76982e-05,0.000239376,0.000668631,0.00207723,0.00475204,0.0101322,0.0189032,0.0333708,0.0530081,0.079118,0.108129,0.137494,0.170451,0.196166,0.216259,0.23246,0.241221,0.246743,0.249448,0.250057,0.252368,0.256316
123,0.241221,0.230238,0.209618,0.182854,0.145867,0.109634,0.0711718,0.0404178,0.0203687,0.00795544,0.00245117,0.000603399,0.000110151,1.44961e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.00275e-06,8.5832e-06,5.22621e-05,0.000221542,0.000653277,0.00187247,0.00430371,0.00949827,0.0179473,0.0309899,0.0513211,0.0766742,0.104568,0.137771,0.168557,0.19412,0.216259,0.231278,0.240372,0.246002,0.248389,0.250669,0.252368,0.256477
122,0.240372,0.229207,0.209297,0.181076,0.144427,0.109371,0.0691531,0.0395705,0.0193671,0.00730595,0.00226568,0.000529965,8.52598e-05,1.28748e-05,1.04906e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,6.67582e-06,4.41558e-05,0.000181773,0.000550851,0.00162594,0.00381695,0.00875762,0.0165593,0.0314106,0.0501769,0.074269,0.103747,0.131957,0.163055,0.190864,0.213553,0.22998,0.240513,0.24615,0.248691,0.250977,0.251593,0.257606
121,0.240654,0.227552,0.20781,0.178394,0.142418,0.105159,0.0666223,0.0387726,0.018645,0.00706245,0.0020758,0.000498398,7.37201e-05,1.18257e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,6.00824e-06,3.84337e-05,0.00016289,0.000561341,0.00161183,0.00375257,0.00832965,0.0166739,0.0293384,0.0477716,0.0713702,0.101586,0.130944,0.161448,0.18884,0.212776,0.230627,0.239809,0.246446,0.249296,0.249752,0.252213,0.257606
120,0.24009,0.22642,0.205619,0.179568,0.139793,0.101712,0.0642399,0.0363986,0.017525,0.00659104,0.00195325,0.000444514,6.83795e-05,7.91562e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,4.48234e-06,3.17578e-05,0.000132658,0.000468738,0.0014126,0.0033856,0.00778296,0.0152017,0.0279167,0.0456219,0.0694344,0.0986023,0.1297,0.159686,0.187543,0.211131,0.229336,0.240231,0.244534,0.248239,0.250363,0.25268,0.258745
119,0.239249,0.225299,0.205619,0.174667,0.136942,0.0983182,0.0632675,0.0349662,0.0164614,0.00607977,0.00181001,0.000400072,5.6363e-05,7.43877e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.81476e-06,2.59403e-05,0.000129129,0.000444038,0.00121595,0.0032536,0.00737914,0.0146231,0.0265384,0.0450152,0.0679147,0.0962618,0.127322,0.15845,0.186179,0.20887,0.226295,0.238552,0.24556,0.248239,0.250363,0.252524,0.259237
118,0.237583,0.224067,0.20287,0.170168,0.132042,0.0964431,0.0600577,0.0331387,0.0153469,0.00563649,0.00156386,0.000324445,4.81613e-05,5.91287e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.0518e-06,2.42237e-05,0.000107767,0.000409514,0.00116455,0.00297627,0.00700268,0.0135479,0.0249524,0.0425243,0.0654094,0.0940514,0.124914,0.155326,0.182528,0.207284,0.225423,0.237859,0.24468,0.248239,0.250516,0.252368,0.259073
117,0.238413,0.222605,0.201969,0.17102,0.131322,0.0936,0.0588581,0.0320571,0.0150569,0.00533522,0.00146754,0.000288491,4.41558e-05,4.95918e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.14717e-06,1.75479e-05,9.43198e-05,0.000372988,0.00112821,0.00274844,0.00631037,0.0128508,0.0244024,0.0410826,0.0629757,0.0911424,0.121867,0.154331,0.182204,0.207179,0.22309,0.238136,0.244826,0.248239,0.249905,0.25268,0.260225
116,0.238691,0.221642,0.200683,0.165492,0.131154,0.0911221,0.0569989,0.0307111,0.0142626,0.00500181,0.00132258,0.000258736,3.73846e-05,3.14717e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.28885e-06,1.49729e-05,8.63088e-05,0.000316434,0.00101358,0.00256847,0.00609693,0.0122161,0.0228951,0.0397317,0.0613624,0.0900404,0.119345,0.150752,0.1802,0.20297,0.225052,0.237033,0.243951,0.248088,0.25021,0.253933,0.260225
115,0.235805,0.220449,0.197967,0.166231,0.129332,0.0887143,0.0553804,0.0294481,0.01322,0.00453765,0.00117523,0.000233654,3.23301e-05,3.24254e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.5259e-06,1.53544e-05,6.91424e-05,0.000273899,0.00094749,0.00220388,0.00559148,0.0115145,0.0221306,0.0375809,0.0592326,0.0857608,0.116793,0.147761,0.178162,0.204083,0.221402,0.23567,0.244534,0.248389,0.250363,0.253933,0.259895
114,0.234994,0.219739,0.19551,0.163772,0.1248,0.0866682,0.0528031,0.027495,0.0130386,0.00419299,0.00105116,0.000200656,2.61311e-05,3.43328e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.43053e-06,1.18257e-05,6.3611e-05,0.000253109,0.000827897,0.00207675,0.00512226,0.0107992,0.0210124,0.0357256,0.0570862,0.0830819,0.113023,0.14665,0.174444,0.199607,0.221522,0.233653,0.24222,0.248088,0.249905,0.25504,0.261721
