SW Version,2020.2.2
Date and Time Started,2022-Jun-08 20:35:57
Date and Time Ended,2022-Jun-08 20:36:48
Scan Name,Scan 193
Link Settings,
Reset RX After Applying Settings,false
Open Area,2410
Horizontal Opening,34
Horizontal Percentage,50.77
Vertical Opening,46
Vertical Percentage,16.86
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.401169,0.38244,0.349781,0.338787,0.340477,0.333003,0.315072,0.279395,0.261721,0.251748,0.248842,0.246743,0.24719,0.248691,0.248691,0.248993,0.250363,0.247788,0.247938,0.2496,0.251748,0.248842,0.249448,0.24854,0.248088,0.247339,0.248239,0.24854,0.248691,0.247638,0.248691,0.25021,0.248691,0.247489,0.24719,0.246002,0.248239,0.246743,0.24719,0.245707,0.24556,0.246298,0.245266,0.24468,0.244388,0.243371,0.243516,0.243951,0.242938,0.243661,0.237308,0.238136,0.238413,0.241648,0.239249,0.234054,0.237998,0.238413,0.252213,0.274159,0.299849,0.343043,0.369003,0.389348,0.406343
126,0.407962,0.370673,0.343907,0.336837,0.339912,0.325074,0.30206,0.275821,0.263404,0.248389,0.248993,0.248842,0.24854,0.249296,0.248389,0.2496,0.249752,0.24615,0.248088,0.249752,0.2496,0.248691,0.248389,0.24854,0.24854,0.248691,0.2496,0.24719,0.248993,0.247489,0.246595,0.249296,0.247788,0.24854,0.246892,0.247788,0.247339,0.244242,0.244388,0.245707,0.24468,0.243371,0.242794,0.243951,0.243082,0.242938,0.242507,0.241079,0.24222,0.239809,0.240231,0.237171,0.239389,0.239949,0.239529,0.233387,0.23246,0.238274,0.256156,0.26947,0.299192,0.330051,0.364083,0.385681,0.400385
125,0.394599,0.369003,0.342184,0.337392,0.336837,0.330318,0.301172,0.278068,0.258582,0.248842,0.247638,0.247489,0.24719,0.249145,0.246298,0.247788,0.25021,0.2496,0.249296,0.249145,0.248842,0.249752,0.246892,0.24854,0.247638,0.248088,0.247041,0.247489,0.24854,0.248389,0.247339,0.2496,0.24719,0.247938,0.248842,0.24719,0.246743,0.246446,0.244972,0.243661,0.244242,0.243082,0.241506,0.239389,0.241506,0.243082,0.239669,0.238552,0.234859,0.239809,0.23567,0.235805,0.237171,0.232724,0.230627,0.231409,0.230368,0.239809,0.244826,0.272881,0.298103,0.3282,0.360558,0.381728,0.391581
124,0.396125,0.371345,0.335458,0.330851,0.337392,0.319995,0.293405,0.274527,0.257121,0.249905,0.247788,0.248389,0.247041,0.247788,0.248993,0.246595,0.247339,0.247339,0.248389,0.248842,0.247489,0.248239,0.247489,0.248842,0.246298,0.24719,0.247041,0.247638,0.24719,0.245119,0.246892,0.248088,0.246446,0.247489,0.24615,0.245119,0.24556,0.243371,0.243082,0.244242,0.239529,0.240372,0.241791,0.236896,0.24265,0.240513,0.23883,0.237583,0.237998,0.231409,0.227932,0.232196,0.231278,0.228313,0.227932,0.233387,0.227805,0.232592,0.246446,0.263744,0.29215,0.323534,0.354014,0.381017,0.390834
123,0.394599,0.362793,0.336284,0.328463,0.32952,0.318998,0.300289,0.274711,0.259401,0.248993,0.247938,0.246298,0.247339,0.246892,0.246446,0.248842,0.246892,0.248691,0.246002,0.246446,0.249296,0.247041,0.247638,0.246892,0.248239,0.244534,0.247938,0.247041,0.245266,0.243227,0.245119,0.247788,0.248842,0.245855,0.24615,0.245266,0.243227,0.24468,0.241791,0.242507,0.24265,0.237446,0.238552,0.23897,0.236623,0.239389,0.235534,0.23392,0.236077,0.232856,0.228313,0.22844,0.231933,0.228313,0.225547,0.225423,0.228313,0.230238,0.243371,0.264254,0.289057,0.318008,0.34859,0.381372,0.388241
122,0.392707,0.361513,0.334909,0.32637,0.32663,0.318008,0.297022,0.268939,0.256638,0.247788,0.245855,0.245707,0.246892,0.246446,0.24556,0.248993,0.247489,0.24556,0.248993,0.246446,0.247788,0.247339,0.246892,0.247339,0.247339,0.245119,0.247041,0.244096,0.246446,0.245855,0.245855,0.244534,0.244388,0.244242,0.24468,0.245119,0.243806,0.243806,0.240513,0.239809,0.240231,0.239109,0.237171,0.23635,0.238274,0.234994,0.233121,0.231409,0.230627,0.226545,0.22592,0.222848,0.227173,0.221882,0.227679,0.219034,0.225175,0.222726,0.237721,0.259895,0.28563,0.32125,0.347998,0.372358,0.391207
121,0.386409,0.361513,0.32663,0.322515,0.32611,0.31219,0.29446,0.264084,0.253776,0.246595,0.246298,0.247041,0.246002,0.246892,0.247938,0.246595,0.246298,0.248088,0.247489,0.248691,0.247339,0.246892,0.244388,0.246002,0.245707,0.24556,0.245266,0.24265,0.244388,0.242363,0.245707,0.244242,0.245266,0.243516,0.243951,0.242794,0.242938,0.239109,0.241079,0.238691,0.236486,0.234859,0.238691,0.233121,0.235805,0.233653,0.23392,0.229079,0.225671,0.226295,0.219975,0.217291,0.21603,0.219621,0.211567,0.219504,0.219504,0.223455,0.230887,0.250516,0.28326,0.311241,0.343907,0.37202,0.382084
120,0.38244,0.352187,0.32585,0.324046,0.32379,0.315072,0.277879,0.267883,0.255517,0.244534,0.244534,0.243951,0.246002,0.24615,0.246892,0.244972,0.247788,0.245707,0.246446,0.245413,0.247489,0.247041,0.248842,0.244242,0.246298,0.245855,0.241363,0.244826,0.242938,0.242363,0.244096,0.243806,0.243371,0.246002,0.241079,0.243371,0.240513,0.238136,0.238552,0.237446,0.23567,0.236759,0.23246,0.235128,0.231671,0.232328,0.225175,0.228696,0.225671,0.225299,0.216373,0.212115,0.21333,0.208127,0.209083,0.212665,0.213775,0.220805,0.232856,0.248691,0.274895,0.306812,0.336284,0.364732,0.384957
119,0.374058,0.349781,0.327675,0.317269,0.32379,0.303178,0.28865,0.263235,0.250977,0.241079,0.244242,0.24556,0.244534,0.244388,0.244826,0.247938,0.245707,0.246298,0.246446,0.245855,0.247938,0.244972,0.246595,0.246002,0.243951,0.24468,0.243661,0.244826,0.243951,0.24222,0.243951,0.241934,0.242794,0.244096,0.240513,0.24222,0.239249,0.237033,0.237308,0.236213,0.237859,0.231933,0.233786,0.23392,0.22844,0.226045,0.227426,0.221402,0.220805,0.218217,0.209083,0.216602,0.208976,0.207916,0.207284,0.213108,0.210805,0.212887,0.226295,0.242938,0.269647,0.30206,0.343619,0.369336,0.37543
118,0.369669,0.341613,0.314588,0.316289,0.313145,0.304984,0.286029,0.266143,0.247638,0.242794,0.241934,0.240796,0.241791,0.243227,0.246002,0.243806,0.244242,0.244388,0.244242,0.245855,0.24556,0.244826,0.243806,0.243806,0.243227,0.243951,0.244388,0.243082,0.24222,0.241648,0.242794,0.240796,0.241791,0.239389,0.239109,0.237171,0.237446,0.233653,0.233121,0.234187,0.233786,0.228568,0.232196,0.22617,0.222848,0.226796,0.220686,0.221642,0.218217,0.218101,0.207179,0.203879,0.203677,0.198447,0.202069,0.202569,0.208976,0.20531,0.216259,0.243082,0.272517,0.298538,0.335183,0.360558,0.372697
