SW Version,2020.2.2
Date and Time Started,2022-Jun-08 19:10:39
Date and Time Ended,2022-Jun-08 19:11:22
Scan Name,Scan 88
Link Settings,
Reset RX After Applying Settings,false
Open Area,9235
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.235263,0.214897,0.180279,0.129414,0.0894896,0.0500665,0.0243835,0.0094494,0.00319533,0.000875296,0.000176242,3.18532e-05,4.2916e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,1.64988e-05,0.000117685,0.000610933,0.00229553,0.00677171,0.0164846,0.0343879,0.0610241,0.097592,0.136531,0.172751,0.206761,0.227048,0.240654,0.246743,0.248842,0.249448,0.249448,0.249296,0.250057,0.252213,0.258745
126,0.235399,0.21333,0.17793,0.131196,0.0881605,0.0468589,0.023702,0.00943134,0.00319257,0.000788319,0.000159743,2.83246e-05,4.2916e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.28748e-05,9.68948e-05,0.000497349,0.00201123,0.00621061,0.0149826,0.0321906,0.0586139,0.0944635,0.13217,0.174816,0.204388,0.226295,0.239949,0.245855,0.248993,0.249905,0.2496,0.2496,0.250516,0.252524,0.258256
125,0.233387,0.211895,0.173925,0.126927,0.0834033,0.0459031,0.0218964,0.00899593,0.00269751,0.00064498,0.000137713,2.26024e-05,3.91012e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,1.05859e-05,8.75486e-05,0.000456054,0.00182383,0.00567979,0.0144539,0.0307111,0.0559172,0.090478,0.128925,0.166909,0.201275,0.224928,0.238413,0.246595,0.248691,0.249448,0.249905,0.25021,0.250057,0.253148,0.258582
124,0.233254,0.20994,0.17549,0.125604,0.0825627,0.0434122,0.0210296,0.00820879,0.00258583,0.000653658,0.000123407,2.29839e-05,2.57496e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,9.25078e-06,7.84886e-05,0.00045243,0.00169108,0.00523575,0.0132671,0.0287676,0.055373,0.0888682,0.12925,0.165626,0.201473,0.222484,0.238691,0.246002,0.249448,0.2496,0.249448,0.250363,0.250977,0.251903,0.259401
123,0.232856,0.208445,0.168418,0.122486,0.0802338,0.0422654,0.019156,0.0078859,0.00240673,0.000558766,0.000121309,1.83108e-05,2.28885e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,7.82025e-06,6.94285e-05,0.000386816,0.00159113,0.00499895,0.0130606,0.0280544,0.0530424,0.084802,0.124838,0.163185,0.19835,0.222364,0.237033,0.244534,0.248691,0.249905,0.249448,0.249905,0.250977,0.252213,0.261054
122,0.229336,0.205723,0.168142,0.120327,0.0745122,0.0412606,0.0183847,0.00722795,0.00222553,0.000517567,0.000102235,1.59266e-05,2.28885e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,7.0573e-06,6.20851e-05,0.000344663,0.00143254,0.0043987,0.0117964,0.0264766,0.05118,0.084348,0.122559,0.16338,0.195138,0.219975,0.237171,0.244972,0.247938,0.249448,0.249448,0.250363,0.250977,0.253461,0.263066
121,0.230497,0.206344,0.162151,0.116131,0.0736547,0.0392218,0.0183018,0.00653395,0.00204471,0.000463111,9.78485e-05,1.43053e-05,1.43053e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.77119e-06,5.49325e-05,0.000315385,0.00129673,0.00420911,0.0109315,0.0247818,0.0483696,0.0792864,0.11666,0.160123,0.194581,0.219269,0.236213,0.24468,0.248389,0.24854,0.250057,0.2496,0.250823,0.253933,0.261387
120,0.229593,0.200095,0.159873,0.11577,0.0713951,0.0374058,0.0174021,0.00612249,0.00188363,0.000416094,8.57366e-05,1.1635e-05,1.71664e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.24529e-06,4.23438e-05,0.000278,0.0011594,0.0039148,0.01062,0.0231069,0.0465818,0.0777956,0.115022,0.154797,0.191042,0.213553,0.233653,0.243806,0.248389,0.2496,0.249752,0.249448,0.251903,0.255358,0.263066
119,0.22844,0.20187,0.158696,0.111303,0.0711471,0.0347998,0.0170614,0.00568208,0.00172799,0.000400454,7.68673e-05,1.15396e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.62402e-06,3.83383e-05,0.000239471,0.00102655,0.0036223,0.00938187,0.0227818,0.0445453,0.0748663,0.112991,0.155385,0.190509,0.216602,0.23154,0.243516,0.247638,0.24854,0.2496,0.250516,0.25113,0.253933,0.263574
118,0.227932,0.199219,0.156214,0.110373,0.0697062,0.0325023,0.0157913,0.00527399,0.00158141,0.000377184,7.25757e-05,9.25078e-06,1.04906e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.57496e-06,2.89921e-05,0.00020285,0.000966659,0.00341182,0.00914353,0.0214886,0.0424758,0.0718333,0.108848,0.150808,0.187629,0.213441,0.232592,0.242938,0.247638,0.248691,0.25021,0.25021,0.251903,0.25409,0.263235
