SW Version,2020.2.2
Date and Time Started,2022-Jun-08 19:07:48
Date and Time Ended,2022-Jun-08 19:08:30
Scan Name,Scan 84
Link Settings,
Reset RX After Applying Settings,false
Open Area,10219
Horizontal Opening,49
Horizontal Percentage,75.38
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.249752,0.248842,0.243227,0.225299,0.186094,0.133201,0.0825627,0.0408613,0.0183001,0.0071957,0.00225919,0.000799096,0.000192931,5.94148e-05,1.28748e-05,3.24254e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.19348e-06,2.38422e-05,0.000172045,0.000966182,0.00465534,0.0156758,0.0440613,0.0925426,0.146493,0.199413,0.232988,0.244242,0.247638,0.25021,0.249905,0.25021,0.2496,0.2496
126,0.249905,0.24854,0.241648,0.223455,0.183181,0.132084,0.0777808,0.038703,0.0166861,0.00668419,0.00209468,0.000691901,0.000182345,4.92103e-05,1.07767e-05,1.43053e-06,6.67582e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-06,1.6022e-05,0.000136568,0.000854887,0.00383726,0.0139218,0.0430426,0.0926892,0.140706,0.19835,0.230368,0.245413,0.247638,0.249905,0.2496,0.25021,0.249752,0.250057
125,0.249752,0.247938,0.241363,0.219621,0.18012,0.12634,0.0774572,0.0363792,0.0156608,0.00587396,0.00190585,0.000631056,0.000175956,4.38697e-05,7.53414e-06,2.09812e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.00275e-06,1.43053e-05,9.60365e-05,0.000687419,0.003334,0.0138367,0.0380381,0.0794556,0.139507,0.199413,0.22844,0.243951,0.249296,0.249752,0.249296,0.2496,0.250057,0.2496
124,0.249752,0.247339,0.240372,0.219386,0.177313,0.12008,0.072277,0.0343446,0.0149133,0.00560512,0.00172932,0.000620565,0.000154593,3.8529e-05,9.72763e-06,1.71664e-06,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,9.34615e-06,8.21126e-05,0.000547417,0.00299763,0.0124349,0.0338563,0.0793171,0.134161,0.188146,0.224804,0.243661,0.248993,0.249752,0.249905,0.2496,0.24854,0.250516
123,0.249905,0.248239,0.240796,0.217985,0.174667,0.119415,0.0709376,0.033257,0.0138925,0.00512808,0.00158989,0.000563535,0.000130465,3.81476e-05,7.0573e-06,1.43053e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,8.96468e-06,6.68536e-05,0.000522908,0.00303292,0.0112687,0.0333437,0.0769046,0.130154,0.190067,0.225052,0.243082,0.248842,0.249296,0.250057,0.250823,0.250057,0.250057
122,0.248842,0.24719,0.239109,0.215236,0.173117,0.116693,0.0669161,0.0321654,0.0125866,0.00471685,0.00143864,0.000485523,0.000127794,3.16625e-05,6.19898e-06,1.04906e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,7.43877e-06,7.38155e-05,0.000437266,0.00248054,0.00962821,0.0291547,0.0704374,0.128641,0.182366,0.222243,0.242794,0.248389,0.248842,0.250516,0.249296,0.2496,0.249905
121,0.248691,0.24719,0.238552,0.213219,0.171163,0.110552,0.0653468,0.030435,0.0117943,0.00445592,0.00128967,0.000434787,0.000106336,2.78477e-05,5.8175e-06,1.04906e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,4.57771e-06,5.29297e-05,0.000398642,0.00210012,0.00898055,0.0275209,0.0670366,0.122964,0.182123,0.221282,0.242077,0.247638,0.249145,0.2496,0.25021,0.250363,0.250057
120,0.25021,0.247041,0.236759,0.212445,0.166773,0.109021,0.0632773,0.0274012,0.0115457,0.00403563,0.00117828,0.00037356,9.68948e-05,2.04089e-05,3.62402e-06,5.72213e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,5.14992e-06,3.58587e-05,0.000322442,0.00191348,0.00808324,0.0248133,0.0621916,0.120221,0.177775,0.21845,0.239809,0.248389,0.2496,0.25021,0.2496,0.250516,0.249752
119,0.2496,0.247938,0.237171,0.208127,0.166299,0.109254,0.0606626,0.0270074,0.0106286,0.00369917,0.00115492,0.000343137,8.71672e-05,1.9646e-05,4.00549e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.52865e-06,3.20439e-05,0.000273423,0.00154154,0.00723958,0.0228887,0.0577543,0.114412,0.175115,0.216602,0.240796,0.24719,0.248691,0.2496,0.249448,0.250516,0.249296
118,0.249296,0.247339,0.235805,0.20781,0.1579,0.104116,0.0583218,0.0251115,0.0099607,0.00333295,0.000972667,0.000287728,7.22896e-05,1.8883e-05,4.00549e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.7657e-06,2.61311e-05,0.000222019,0.00136034,0.00621557,0.020818,0.0537525,0.109021,0.167318,0.213999,0.237998,0.247788,0.250516,0.249905,0.250057,0.248993,0.249905
