SW Version,2020.2.2
Date and Time Started,2022-Jun-08 20:14:00
Date and Time Ended,2022-Jun-08 20:14:43
Scan Name,Scan 165
Link Settings,
Reset RX After Applying Settings,false
Open Area,9083
Horizontal Opening,43
Horizontal Percentage,66.15
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.248993,0.250057,0.247788,0.239529,0.22309,0.193114,0.145971,0.109811,0.0649016,0.0278238,0.00976572,0.00228208,0.000266938,3.15671e-05,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,9.34615e-06,0.000118353,0.000891604,0.00485256,0.0149084,0.035432,0.0672899,0.0971522,0.115151,0.131914,0.149925,0.172533,0.204286,0.231409,0.241791,0.247938,0.249905,0.249296,0.249448,0.249905,0.248993,0.249145,0.249905,0.249296
126,0.250057,0.2496,0.247638,0.239669,0.221402,0.187715,0.143265,0.105375,0.0611791,0.0274471,0.00865583,0.00189136,0.000223926,2.35561e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.8175e-06,9.47013e-05,0.000715267,0.00371138,0.0138761,0.0313193,0.0622578,0.0930049,0.114861,0.12852,0.147495,0.172388,0.201275,0.228568,0.241934,0.247339,0.249296,0.2496,0.249296,0.249752,0.250363,0.2496,0.25021,0.249752
125,0.249752,0.250516,0.246298,0.238552,0.219151,0.184751,0.141483,0.0994642,0.0570068,0.0246121,0.00789883,0.00174744,0.00018349,2.24117e-05,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.2916e-06,6.86656e-05,0.000613699,0.0029304,0.0113023,0.0287778,0.0581149,0.0900008,0.112341,0.127322,0.143869,0.169956,0.198735,0.226922,0.241506,0.248389,0.249145,0.248842,0.250363,0.25021,0.250823,0.248842,0.249905,0.249752
124,0.250363,0.249296,0.247041,0.236759,0.215689,0.181316,0.138517,0.10101,0.0560703,0.023077,0.00695394,0.00141155,0.000145438,1.71664e-05,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.62402e-06,4.28206e-05,0.000414378,0.00250668,0.00950664,0.0245016,0.0562397,0.0859408,0.107646,0.125335,0.141385,0.165159,0.196166,0.222969,0.239949,0.248239,0.249145,0.249905,0.249752,0.249905,0.2496,0.250363,0.249448,0.25021
123,0.249905,0.2496,0.247339,0.23567,0.214559,0.17549,0.133505,0.0980828,0.0518604,0.0212247,0.00622196,0.00130722,0.000123598,1.37331e-05,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.19348e-06,3.6717e-05,0.000327115,0.00187696,0.00744269,0.0220793,0.0524649,0.08205,0.10728,0.125105,0.139984,0.161448,0.191937,0.221163,0.239249,0.24719,0.248842,0.249752,0.249448,0.249296,0.248239,0.2496,0.250516,0.249296
122,0.249448,0.249448,0.245855,0.235805,0.210048,0.175791,0.131872,0.0927942,0.0510524,0.0185395,0.00554789,0.00115167,0.000107576,8.96468e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,2.01228e-05,0.000241665,0.00160468,0.0064508,0.0195296,0.0462922,0.0793479,0.105024,0.122817,0.137679,0.158942,0.191399,0.217985,0.238691,0.246446,0.249145,0.249752,0.249905,0.249905,0.2496,0.250057,0.249296,0.250057
121,0.249752,0.250057,0.246743,0.234994,0.210805,0.174518,0.127679,0.0908593,0.0472808,0.017912,0.00472486,0.000926413,8.74533e-05,7.72488e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.47822e-05,0.000173667,0.00134518,0.00537003,0.0165854,0.0430925,0.0761893,0.101864,0.121253,0.136531,0.155385,0.187887,0.215123,0.236213,0.246743,0.249448,0.249448,0.249905,0.249145,0.248842,0.249448,0.250516,0.25021
120,0.249752,0.249145,0.244534,0.232724,0.208021,0.170168,0.127918,0.086194,0.045862,0.0151292,0.00413796,0.000820649,7.30526e-05,6.00824e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,1.18257e-05,0.000122549,0.00100509,0.00478418,0.0166056,0.0428894,0.0711718,0.0989596,0.119311,0.133767,0.152891,0.184253,0.212555,0.237033,0.245855,0.248842,0.2496,0.249905,0.249752,0.24854,0.249145,0.249296,0.2496
119,0.250057,0.248691,0.243516,0.232724,0.206866,0.168073,0.124383,0.0808834,0.0430155,0.0152646,0.00372282,0.000684749,6.29435e-05,4.10086e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,7.53414e-06,8.88838e-05,0.000742733,0.00388151,0.0130319,0.0378833,0.068391,0.0963523,0.117228,0.131449,0.150919,0.179175,0.210913,0.233121,0.244826,0.249448,0.249296,0.250057,0.249905,0.248691,0.249448,0.2496,0.250363
118,0.249448,0.248389,0.244534,0.228186,0.20187,0.164166,0.119207,0.0765739,0.0358821,0.01402,0.00347601,0.00051709,4.59678e-05,3.43328e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.05455e-06,7.64858e-05,0.000604067,0.00292601,0.0125082,0.0334745,0.0665465,0.0913456,0.115087,0.130861,0.148028,0.179489,0.209618,0.231148,0.243082,0.248088,0.2496,0.249145,0.250977,0.249752,0.249296,0.249448,0.249752
