SW Version,2020.2.2
Date and Time Started,2022-Jun-08 20:07:47
Date and Time Ended,2022-Jun-08 20:08:40
Scan Name,Scan 157
Link Settings,
Reset RX After Applying Settings,false
Open Area,2978
Horizontal Opening,47
Horizontal Percentage,72.31
Vertical Opening,82
Vertical Percentage,31.37
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.408369,0.399604,0.387873,0.369669,0.352187,0.328991,0.312667,0.297238,0.278446,0.264766,0.256477,0.252524,0.248389,0.249448,0.250516,0.249296,0.247638,0.249448,0.250669,0.248239,0.248088,0.25113,0.251593,0.250057,0.249145,0.249448,0.247938,0.250669,0.250057,0.248088,0.24854,0.25021,0.249145,0.251285,0.248993,0.247788,0.249752,0.249905,0.248088,0.250363,0.250363,0.250669,0.248691,0.249448,0.248842,0.245266,0.246892,0.241934,0.240796,0.239249,0.238691,0.237998,0.236486,0.23352,0.238136,0.243082,0.255996,0.27508,0.302506,0.331655,0.359924,0.383515,0.399214,0.420527,0.449609
126,0.402747,0.394599,0.386774,0.364732,0.343907,0.325333,0.31483,0.295949,0.275265,0.265453,0.257444,0.249905,0.247788,0.248088,0.250669,0.248389,0.249448,0.251439,0.250516,0.250977,0.248993,0.24854,0.249296,0.248842,0.249145,0.250363,0.25021,0.2496,0.2496,0.250823,0.248691,0.24854,0.250823,0.252058,0.249145,0.2496,0.252058,0.248993,0.250057,0.249752,0.248389,0.248842,0.248389,0.247788,0.247938,0.24556,0.246743,0.244972,0.240654,0.236896,0.235534,0.23392,0.233254,0.232988,0.236486,0.240654,0.252992,0.275821,0.304531,0.32689,0.354934,0.38031,0.398825,0.417527,0.444245
125,0.398825,0.392707,0.381728,0.365709,0.33963,0.321502,0.309595,0.29215,0.276753,0.263404,0.255676,0.251439,0.250977,0.249752,0.249145,0.248842,0.250823,0.250516,0.247788,0.25021,0.250057,0.248842,0.251748,0.248691,0.247788,0.249448,0.250669,0.250823,0.248842,0.250363,0.249448,0.248691,0.248239,0.250516,0.25021,0.250823,0.25021,0.250977,0.250823,0.2496,0.250057,0.246743,0.246298,0.2496,0.245413,0.243516,0.241648,0.239949,0.23635,0.237583,0.235534,0.231409,0.231278,0.232196,0.234187,0.237583,0.250363,0.270895,0.296807,0.324046,0.352187,0.375774,0.396125,0.417953,0.443283
124,0.398438,0.392707,0.378203,0.360558,0.341044,0.323534,0.309595,0.288853,0.27545,0.265109,0.255836,0.249145,0.249752,0.250516,0.249448,0.248691,0.249905,0.250057,0.247638,0.249296,0.247938,0.250057,0.248389,0.247041,0.251593,0.249145,0.2496,0.248239,0.24719,0.2496,0.249145,0.248389,0.24854,0.250669,0.25021,0.249905,0.248993,0.249448,0.248691,0.249905,0.248993,0.248993,0.247339,0.24615,0.245855,0.243951,0.241079,0.237446,0.231802,0.237171,0.22998,0.229079,0.229851,0.230497,0.229464,0.23459,0.2496,0.268234,0.297238,0.32125,0.35098,0.373376,0.389718,0.409594,0.451094
123,0.394599,0.386045,0.372358,0.357412,0.338228,0.319247,0.304757,0.288446,0.273062,0.262729,0.254881,0.250977,0.249905,0.2496,0.2496,0.249448,0.247489,0.2496,0.249296,0.250823,0.249145,0.249905,0.250057,0.249905,0.249145,0.250516,0.249448,0.249752,0.25021,0.248993,0.249905,0.249905,0.24854,0.249448,0.250057,0.248088,0.250363,0.248842,0.24854,0.248088,0.249145,0.245855,0.246743,0.245413,0.244534,0.241079,0.237308,0.232064,0.23154,0.231409,0.227679,0.221762,0.227048,0.225671,0.224928,0.229464,0.243951,0.262056,0.289057,0.318008,0.345066,0.368009,0.390089,0.410415,0.441373
122,0.392707,0.389348,0.366363,0.351885,0.32952,0.317269,0.304531,0.284046,0.272699,0.261387,0.252058,0.249905,0.249296,0.249752,0.250363,0.247041,0.248993,0.2496,0.249905,0.250363,0.249448,0.249448,0.249296,0.249752,0.25021,0.249448,0.251748,0.248842,0.249145,0.248389,0.25021,0.248691,0.248389,0.25021,0.25021,0.247788,0.250977,0.248239,0.249752,0.247938,0.248389,0.247489,0.24222,0.244826,0.240372,0.239109,0.234054,0.232328,0.231409,0.226796,0.219269,0.222002,0.221642,0.221642,0.224067,0.230887,0.244096,0.257931,0.281508,0.316778,0.343907,0.366363,0.388609,0.409594,0.439478
121,0.386774,0.379957,0.361194,0.345941,0.333003,0.311478,0.300069,0.285431,0.273427,0.25973,0.251903,0.249752,0.24854,0.250363,0.249752,0.249448,0.25113,0.249905,0.250363,0.248993,0.249752,0.249448,0.2496,0.250363,0.249296,0.248993,0.249145,0.248389,0.248993,0.249145,0.247938,0.248239,0.251285,0.248993,0.250363,0.248691,0.249448,0.247489,0.246446,0.248993,0.244388,0.244388,0.246002,0.243082,0.241079,0.237998,0.235399,0.228696,0.223334,0.22033,0.220805,0.217522,0.219975,0.219151,0.221882,0.226922,0.241506,0.257121,0.282284,0.311953,0.339068,0.362793,0.386045,0.402747,0.438068
120,0.385681,0.375086,0.362793,0.346526,0.323534,0.309595,0.295736,0.282478,0.266316,0.252992,0.251903,0.247788,0.248842,0.248088,0.248842,0.249296,0.249448,0.250057,0.250363,0.2496,0.249448,0.249296,0.250363,0.250363,0.248389,0.248842,0.24854,0.248842,0.248842,0.249905,0.250057,0.248842,0.249296,0.247938,0.249752,0.25021,0.248239,0.248239,0.249905,0.24854,0.246595,0.244242,0.243082,0.241648,0.239669,0.234724,0.229079,0.224558,0.221882,0.215689,0.208233,0.214784,0.215123,0.215236,0.215576,0.224928,0.232592,0.25409,0.278068,0.307965,0.332733,0.363437,0.381728,0.403939,0.434813
119,0.381017,0.373376,0.363115,0.343043,0.319745,0.303628,0.294884,0.278635,0.263404,0.258093,0.247041,0.24719,0.248842,0.248389,0.246892,0.247041,0.247489,0.248993,0.248993,0.24854,0.248088,0.248842,0.248842,0.249145,0.2496,0.247638,0.247339,0.249448,0.24854,0.248088,0.249905,0.248088,0.24854,0.248389,0.25021,0.248088,0.248993,0.248088,0.246298,0.246002,0.242794,0.242363,0.243371,0.240372,0.236486,0.231671,0.226295,0.217061,0.216946,0.217061,0.207916,0.207599,0.213108,0.211349,0.217985,0.222243,0.232592,0.253776,0.274895,0.30206,0.331924,0.357412,0.376465,0.402351,0.435275
118,0.379253,0.367349,0.3571,0.337949,0.320496,0.305211,0.288041,0.273976,0.263235,0.253461,0.251285,0.245413,0.246446,0.247339,0.247489,0.244096,0.248993,0.247788,0.248993,0.247638,0.246595,0.2496,0.246892,0.249296,0.246595,0.248088,0.250669,0.249296,0.24615,0.247938,0.248842,0.248088,0.248088,0.248239,0.24719,0.246595,0.24854,0.246446,0.247938,0.244096,0.243516,0.241079,0.238413,0.237446,0.231278,0.227426,0.2273,0.217869,0.212665,0.206866,0.203981,0.205619,0.203981,0.210264,0.21124,0.214672,0.225671,0.252524,0.269825,0.298538,0.327413,0.354934,0.3744,0.393462,0.431606
