SW Version,2020.2.2
Date and Time Started,2022-Jun-08 20:36:49
Date and Time Ended,2022-Jun-08 20:37:35
Scan Name,Scan 194
Link Settings,
Reset RX After Applying Settings,false
Open Area,3389
Horizontal Opening,48
Horizontal Percentage,73.85
Vertical Opening,85
Vertical Percentage,32.94
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.411652,0.394219,0.367678,0.343043,0.32689,0.30206,0.284836,0.265109,0.249145,0.243661,0.241221,0.24222,0.242363,0.24468,0.244242,0.243227,0.247041,0.244972,0.246743,0.247638,0.248691,0.247489,0.245707,0.2496,0.248842,0.248389,0.247489,0.250823,0.250669,0.2496,0.25113,0.248088,0.250516,0.248993,0.250363,0.249448,0.250669,0.248088,0.2496,0.249145,0.248088,0.246298,0.243661,0.242938,0.240937,0.235128,0.235399,0.232328,0.227932,0.225052,0.227426,0.222848,0.224804,0.226045,0.22309,0.230627,0.243227,0.259073,0.295096,0.335183,0.361832,0.384957,0.395743,0.416677,0.453592
126,0.407151,0.389348,0.362793,0.341044,0.321755,0.304304,0.273062,0.260888,0.246446,0.23883,0.240513,0.24222,0.245266,0.241791,0.243661,0.244534,0.24615,0.246892,0.24615,0.248239,0.248993,0.246595,0.247938,0.248239,0.247938,0.248691,0.24854,0.247339,0.247638,0.249296,0.250363,0.249296,0.25021,0.248993,0.248842,0.247339,0.249296,0.250057,0.249752,0.247788,0.247339,0.244096,0.241506,0.241791,0.237033,0.238274,0.231148,0.22592,0.222848,0.221163,0.215917,0.214335,0.218567,0.224312,0.226545,0.228313,0.234321,0.258909,0.291941,0.331655,0.359608,0.378552,0.390461,0.414149,0.442326
125,0.399604,0.382084,0.354627,0.337114,0.317269,0.297454,0.273245,0.250516,0.245119,0.238691,0.239949,0.240513,0.242077,0.242077,0.240796,0.243371,0.242077,0.246892,0.245413,0.247638,0.247638,0.246743,0.246892,0.247041,0.249752,0.248691,0.246595,0.246595,0.248691,0.248691,0.24854,0.249905,0.25021,0.250669,0.24854,0.249752,0.2496,0.249145,0.249905,0.248239,0.247339,0.241079,0.242507,0.238552,0.236896,0.233121,0.227932,0.226545,0.220093,0.220212,0.218217,0.212997,0.218217,0.212005,0.22033,0.223822,0.234054,0.253933,0.287233,0.324302,0.352794,0.371009,0.391207,0.40594,0.435738
124,0.397664,0.381017,0.35432,0.334635,0.316533,0.304757,0.275821,0.258256,0.243516,0.237308,0.238136,0.239529,0.239249,0.239669,0.243516,0.242938,0.242507,0.241221,0.24615,0.246298,0.247041,0.24719,0.24719,0.247638,0.24615,0.24615,0.24719,0.247041,0.249905,0.24854,0.248842,0.249448,0.249296,0.249905,0.249905,0.247638,0.247788,0.24854,0.246595,0.247339,0.245707,0.241506,0.239389,0.235263,0.235534,0.225547,0.224558,0.220093,0.215236,0.211676,0.211349,0.212887,0.211458,0.212555,0.215462,0.219975,0.229207,0.251439,0.278068,0.314588,0.347113,0.371009,0.382084,0.403939,0.426216
123,0.394219,0.378552,0.35555,0.334362,0.316533,0.290492,0.27508,0.254722,0.238691,0.236759,0.23635,0.237859,0.237171,0.239249,0.24009,0.241506,0.241363,0.242938,0.243082,0.242794,0.245707,0.24468,0.24615,0.247041,0.247339,0.246892,0.247489,0.248389,0.247489,0.249145,0.2496,0.24719,0.2496,0.248691,0.249752,0.249296,0.247041,0.246002,0.246595,0.245855,0.243082,0.238691,0.236759,0.23635,0.235534,0.225299,0.218683,0.219386,0.211676,0.205826,0.208233,0.199802,0.20887,0.207916,0.21124,0.217176,0.224067,0.244096,0.279968,0.31483,0.344486,0.370338,0.382798,0.399214,0.433892
122,0.388609,0.376465,0.347703,0.327413,0.306353,0.29215,0.270359,0.252524,0.239669,0.233387,0.23567,0.235805,0.236486,0.236623,0.238136,0.240231,0.239109,0.242077,0.240513,0.242938,0.242507,0.246595,0.24556,0.246743,0.244242,0.24556,0.24615,0.245855,0.248993,0.24615,0.249905,0.248239,0.249448,0.248389,0.250516,0.250977,0.249145,0.246892,0.245707,0.243806,0.241791,0.235805,0.23246,0.232592,0.227426,0.220805,0.21501,0.208339,0.201176,0.205723,0.201077,0.191937,0.20029,0.207075,0.205413,0.211895,0.219034,0.241506,0.274527,0.306353,0.344196,0.360876,0.383874,0.396125,0.429344
121,0.389348,0.370003,0.339068,0.321755,0.304984,0.28865,0.265453,0.246446,0.237033,0.232724,0.234054,0.234724,0.234724,0.232724,0.236623,0.24222,0.236623,0.237721,0.241934,0.243661,0.242077,0.242507,0.241934,0.243951,0.245119,0.244242,0.24468,0.245413,0.246595,0.247339,0.248993,0.250057,0.247788,0.248239,0.2496,0.249296,0.24615,0.243806,0.24556,0.241934,0.237859,0.237446,0.22998,0.226045,0.219269,0.217176,0.20994,0.20531,0.201077,0.198063,0.19692,0.188927,0.19692,0.199316,0.198159,0.207284,0.218334,0.240513,0.273062,0.299192,0.339349,0.356789,0.375086,0.39384,0.427551
120,0.381728,0.361194,0.335733,0.320245,0.297022,0.285232,0.262729,0.244534,0.236213,0.232196,0.233254,0.23352,0.234724,0.232592,0.233786,0.23567,0.236896,0.239949,0.240372,0.239669,0.241791,0.243082,0.242507,0.242507,0.241506,0.24265,0.24265,0.24265,0.245855,0.244534,0.244826,0.247339,0.248691,0.248088,0.247788,0.246892,0.245413,0.244826,0.243082,0.240513,0.236486,0.232064,0.224804,0.222848,0.216602,0.211676,0.204899,0.196825,0.200192,0.190509,0.186688,0.187887,0.193753,0.19692,0.201176,0.205105,0.214897,0.234859,0.264938,0.297022,0.334635,0.35835,0.371345,0.399994,0.419236
119,0.376119,0.3571,0.330851,0.316289,0.293405,0.283849,0.263235,0.241079,0.234187,0.228951,0.22998,0.229079,0.231409,0.231278,0.233653,0.234724,0.23392,0.234994,0.235805,0.239109,0.239669,0.242507,0.239389,0.240372,0.243082,0.241934,0.243951,0.241363,0.244242,0.243371,0.246446,0.245119,0.248088,0.248389,0.24468,0.24556,0.245119,0.244096,0.239109,0.236213,0.230497,0.22844,0.219386,0.219621,0.213887,0.205516,0.196166,0.193753,0.186603,0.185757,0.18188,0.181236,0.185085,0.187543,0.193023,0.202069,0.209404,0.231278,0.259895,0.296163,0.330051,0.347998,0.367349,0.388978,0.423134
118,0.367349,0.35068,0.332462,0.310769,0.287233,0.27694,0.253776,0.239669,0.230757,0.229336,0.228696,0.228059,0.230109,0.23154,0.231802,0.23246,0.234724,0.232724,0.23567,0.237446,0.238552,0.239109,0.237721,0.239109,0.238691,0.238691,0.242507,0.23897,0.241791,0.241934,0.244242,0.245119,0.246446,0.248389,0.245119,0.245855,0.242363,0.240796,0.235941,0.236623,0.231017,0.221642,0.217637,0.21124,0.20919,0.198159,0.195417,0.189364,0.184835,0.185504,0.174147,0.171378,0.180756,0.182204,0.189014,0.19357,0.208763,0.226796,0.255996,0.28865,0.327152,0.343619,0.369003,0.381372,0.417527
