SW Version,2020.2.2
Date and Time Started,2022-Jun-08 19:21:40
Date and Time Ended,2022-Jun-08 19:22:25
Scan Name,Scan 100
Link Settings,
Reset RX After Applying Settings,false
Open Area,8891
Horizontal Opening,41
Horizontal Percentage,63.08
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.243661,0.233653,0.216602,0.194028,0.150089,0.109167,0.0665357,0.0361003,0.014308,0.00418479,0.00088407,0.000126268,1.12535e-05,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.77119e-06,3.87198e-05,0.00024424,0.000947204,0.00290007,0.00707452,0.0149285,0.0298603,0.0479337,0.0702683,0.0988879,0.124044,0.159686,0.189539,0.213664,0.232328,0.243227,0.248088,0.250057,0.25021,0.250669,0.252213,0.255836
126,0.242363,0.23392,0.214897,0.188406,0.148889,0.108044,0.0657137,0.036444,0.0134192,0.00398728,0.00078069,0.000115682,9.91836e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.34066e-06,3.27115e-05,0.000209525,0.000831617,0.00281615,0.00640791,0.0145737,0.0278939,0.0463446,0.0695878,0.0978018,0.121577,0.153751,0.185841,0.212005,0.232196,0.24265,0.247489,0.249448,0.2496,0.250516,0.252213,0.256638
125,0.241934,0.231278,0.212887,0.18351,0.146336,0.0998035,0.0649633,0.0325902,0.0135965,0.00357176,0.000716793,0.000105192,8.5832e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.71939e-06,3.18532e-05,0.000179961,0.000819982,0.00263523,0.0060976,0.0136182,0.0262123,0.0439054,0.0689088,0.0943764,0.119764,0.152492,0.185925,0.211349,0.229593,0.242363,0.246446,0.2496,0.250669,0.249905,0.252992,0.257606
124,0.242507,0.231148,0.212445,0.185337,0.14916,0.103433,0.0634931,0.0304712,0.0121028,0.003544,0.000791562,9.22217e-05,6.86656e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.33791e-06,3.32837e-05,0.000159171,0.000798142,0.00251211,0.00567912,0.0133942,0.0264561,0.0444293,0.0650355,0.0932378,0.11862,0.150475,0.181719,0.207916,0.229079,0.241221,0.247041,0.2496,0.25113,0.250363,0.25268,0.257768
123,0.241791,0.231933,0.212115,0.182042,0.138704,0.104037,0.062419,0.0295075,0.0114642,0.00298762,0.000690471,9.3843e-05,7.24804e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-06,2.57496e-05,0.000157836,0.00080272,0.0021973,0.00526684,0.0126274,0.0249768,0.0418038,0.0656821,0.0918578,0.118175,0.147071,0.179725,0.207179,0.228951,0.239529,0.247041,0.249296,0.2496,0.250516,0.252836,0.257283
122,0.239529,0.228059,0.210156,0.183839,0.134117,0.102016,0.0535277,0.0294863,0.010669,0.00326419,0.000613317,7.54368e-05,6.19898e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.81201e-06,2.36515e-05,0.000147631,0.000709354,0.00200237,0.00506762,0.0119248,0.0244694,0.0405418,0.0623241,0.0876324,0.117429,0.146703,0.182447,0.205002,0.227552,0.240513,0.246743,0.249448,0.249448,0.251903,0.253933,0.258093
121,0.240372,0.225423,0.209725,0.17534,0.134514,0.0967164,0.0554855,0.0265436,0.0101309,0.00267243,0.000519474,7.13359e-05,4.10086e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.67033e-06,1.77386e-05,0.000139334,0.000602541,0.00187133,0.00463617,0.0113678,0.0236213,0.0391506,0.0619751,0.0875013,0.116727,0.144835,0.17549,0.204592,0.226295,0.240513,0.24615,0.249296,0.250363,0.250977,0.253933,0.259237
120,0.240937,0.226295,0.207284,0.175415,0.134425,0.0912439,0.0512697,0.0255804,0.00950731,0.00238355,0.000499733,4.98779e-05,3.0518e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.62127e-06,1.421e-05,0.000117781,0.000583276,0.00182298,0.00454585,0.0108284,0.02243,0.0377471,0.062343,0.0845919,0.110195,0.143919,0.174891,0.204286,0.223212,0.238691,0.246002,0.248842,0.250057,0.250516,0.253776,0.25973
119,0.239669,0.224681,0.203071,0.170522,0.133158,0.0891002,0.0483182,0.0246298,0.00944591,0.00222801,0.0004098,6.20851e-05,3.91012e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,1.94553e-05,0.000114538,0.000542363,0.0015733,0.00420138,0.0103702,0.0211447,0.0375533,0.0589683,0.0812847,0.113367,0.136349,0.174444,0.200388,0.225052,0.237446,0.24615,0.249448,0.249905,0.251439,0.253618,0.259895
118,0.238136,0.225175,0.201671,0.166366,0.130278,0.0863757,0.048267,0.0233042,0.00857644,0.00200885,0.000397879,4.2916e-05,3.62402e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,1.74525e-05,0.000108625,0.000473793,0.00165513,0.00397831,0.0101344,0.0208137,0.0371009,0.0586726,0.0824796,0.108617,0.142965,0.172243,0.199219,0.221882,0.239109,0.24556,0.248993,0.250669,0.25113,0.253776,0.26039
117,0.238136,0.222243,0.201077,0.170238,0.123186,0.0833016,0.0451941,0.021372,0.00790538,0.00186818,0.000321965,3.79568e-05,2.19348e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,1.33516e-05,9.81346e-05,0.000408846,0.00143874,0.00387369,0.00973832,0.0192307,0.0358789,0.0560857,0.080281,0.109109,0.137034,0.169114,0.20029,0.221522,0.237721,0.24556,0.248842,0.250363,0.249905,0.25504,0.261721
116,0.235805,0.222848,0.198543,0.168557,0.123112,0.0791333,0.0453191,0.0207484,0.007345,0.00174744,0.000316529,3.39513e-05,3.81476e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,1.29702e-05,8.83116e-05,0.000391871,0.0012664,0.00365597,0.00943438,0.0191336,0.0345765,0.0563015,0.0790416,0.107252,0.137125,0.164298,0.199025,0.221762,0.236759,0.245119,0.249905,0.250516,0.251748,0.255676,0.26256
115,0.235128,0.222364,0.198159,0.166502,0.121649,0.0762177,0.0419838,0.0202719,0.0069893,0.00156853,0.000273613,2.75616e-05,1.43053e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,7.0573e-06,7.24804e-05,0.000386339,0.00124743,0.00350404,0.00885532,0.01836,0.033565,0.0528031,0.0759632,0.103826,0.133679,0.164363,0.196166,0.218217,0.23567,0.245119,0.249145,0.250057,0.252058,0.254881,0.264254
114,0.23567,0.218217,0.19626,0.1641,0.115672,0.0774279,0.0414275,0.0193826,0.00650541,0.0015321,0.000220397,2.26024e-05,1.81201e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,9.06004e-06,7.18128e-05,0.000345998,0.00114128,0.00314174,0.0081013,0.0172599,0.0317318,0.0519394,0.074839,0.098864,0.130569,0.16325,0.194952,0.217176,0.236213,0.244096,0.248842,0.249752,0.252213,0.255996,0.263235
113,0.235263,0.217176,0.196542,0.161703,0.118311,0.0715698,0.0403779,0.0181028,0.00591678,0.00137398,0.000204948,2.00275e-05,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,6.96193e-06,6.34203e-05,0.000290875,0.00102598,0.00284295,0.00780461,0.0163622,0.0321704,0.0493427,0.0747434,0.0991512,0.12752,0.157536,0.193753,0.216259,0.23392,0.243371,0.248389,0.250363,0.252058,0.256316,0.266143
112,0.233254,0.217985,0.19122,0.152663,0.114157,0.0716073,0.0383982,0.0159785,0.00513962,0.00135052,0.000155737,1.80247e-05,1.81201e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,7.0573e-06,5.35973e-05,0.000285725,0.000876917,0.00277352,0.00756629,0.0158297,0.0298125,0.0476216,0.0711842,0.0983182,0.126652,0.160123,0.189539,0.216259,0.233387,0.243516,0.247938,0.249752,0.252368,0.257121,0.264595
