SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:16:04
Date and Time Ended,2022-Jun-08 18:16:49
Scan Name,Scan 16
Link Settings,
Reset RX After Applying Settings,false
Open Area,8944
Horizontal Opening,41
Horizontal Percentage,63.08
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.242938,0.232064,0.207284,0.175791,0.138003,0.0933228,0.0477716,0.0185791,0.00626913,0.00148241,0.000206188,2.82292e-05,3.0518e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,2.00275e-06,1.68803e-05,5.46464e-05,0.000187209,0.000569162,0.00147631,0.00366875,0.00787226,0.015222,0.0300862,0.0505546,0.0747025,0.105402,0.135672,0.171954,0.199413,0.223212,0.240372,0.247041,0.2496,0.25021,0.249905,0.25268,0.257283
126,0.242938,0.23154,0.208127,0.178394,0.133505,0.087092,0.0443331,0.017391,0.00594291,0.00139048,0.000190738,2.10765e-05,1.2398e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.67033e-06,1.33516e-05,4.75891e-05,0.000181392,0.000535973,0.00135643,0.00345712,0.00746154,0.0147991,0.0271416,0.0475332,0.0731809,0.103879,0.13469,0.168142,0.199316,0.222848,0.238691,0.246743,0.249296,0.25021,0.250516,0.253461,0.25696
125,0.24222,0.229851,0.206657,0.176018,0.129291,0.08752,0.0459134,0.0172584,0.00552319,0.00126354,0.000176814,1.87877e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,1.81201e-06,1.17304e-05,4.50141e-05,0.000141909,0.000436313,0.00125877,0.00333019,0.00712151,0.0147029,0.0263948,0.0454801,0.0702683,0.100145,0.132899,0.16828,0.197205,0.222969,0.238413,0.245707,0.249905,0.248842,0.25113,0.252368,0.258093
124,0.241506,0.230757,0.201176,0.170026,0.130236,0.0819024,0.0447204,0.0171997,0.00519741,0.00115959,0.000172332,1.56405e-05,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.04906e-06,1.02045e-05,3.8529e-05,0.000146391,0.000411898,0.00117514,0.00307774,0.00685593,0.0139879,0.0252695,0.044657,0.0692935,0.101611,0.131872,0.166705,0.195045,0.222848,0.237721,0.245266,0.248993,0.250057,0.251593,0.253305,0.259565
123,0.241791,0.227173,0.202169,0.167113,0.123595,0.0837615,0.0430607,0.0161959,0.00453422,0.000988499,0.000126745,1.43053e-05,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,9.72763e-06,3.3856e-05,0.0001215,0.000344186,0.00110103,0.00288005,0.00628848,0.013424,0.023344,0.0433892,0.0672457,0.0990553,0.12844,0.161959,0.191131,0.220212,0.236759,0.245707,0.249296,0.250516,0.249905,0.253305,0.25973
122,0.240796,0.226796,0.201275,0.170168,0.125527,0.0777956,0.0382691,0.0153303,0.0043904,0.000929179,0.000125887,1.01091e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.14443e-06,6.48508e-06,2.69894e-05,0.000107385,0.000337034,0.00105344,0.00268959,0.00626616,0.0126523,0.0231894,0.0418765,0.0659041,0.0941162,0.126966,0.161131,0.191847,0.219975,0.236486,0.245413,0.248993,0.249752,0.250363,0.253618,0.261054
121,0.239949,0.225175,0.199704,0.161959,0.11623,0.0728296,0.0364342,0.0134527,0.00398032,0.000813592,0.000115301,9.823e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,8.29709e-06,2.45098e-05,0.000105192,0.000339513,0.000951877,0.00260405,0.00592203,0.0119565,0.0222086,0.0420527,0.0637004,0.0925845,0.123075,0.159004,0.19042,0.217176,0.234321,0.245707,0.248691,0.250669,0.251439,0.253618,0.260225
120,0.239389,0.225423,0.19412,0.161257,0.116727,0.0716073,0.0359766,0.0127806,0.00370565,0.000698386,9.46059e-05,8.86931e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,6.29435e-06,2.12673e-05,9.65133e-05,0.000302415,0.000876535,0.00249065,0.00552739,0.0116253,0.0226445,0.0395857,0.0617416,0.0915907,0.124157,0.155326,0.190597,0.219386,0.235263,0.244096,0.248993,0.2496,0.251439,0.253933,0.262224
119,0.238691,0.223699,0.193753,0.163055,0.113398,0.068932,0.0345154,0.0118287,0.00345665,0.000685798,7.8584e-05,7.53414e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,6.67582e-07,5.72213e-06,2.67987e-05,8.44968e-05,0.00028563,0.000770008,0.00227474,0.00525931,0.0108978,0.0220996,0.03863,0.0611334,0.0908392,0.119415,0.156513,0.185757,0.21333,0.23459,0.244826,0.248389,0.25021,0.250669,0.253933,0.262729
118,0.23897,0.220567,0.193205,0.160562,0.109781,0.0692583,0.0306628,0.0117131,0.00303473,0.00061532,7.18128e-05,5.5314e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,5.62676e-06,2.13626e-05,8.02052e-05,0.000253395,0.000738251,0.00215124,0.00486648,0.0105048,0.0217164,0.0374949,0.0593528,0.0869072,0.117699,0.153406,0.183428,0.213108,0.23392,0.242938,0.248088,0.250516,0.250516,0.25504,0.263235
117,0.237721,0.219857,0.192207,0.151645,0.10853,0.0680162,0.0302194,0.0112098,0.00285401,0.000498493,6.22759e-05,5.8175e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,4.10086e-06,1.91691e-05,7.56275e-05,0.000236801,0.000701247,0.00201905,0.00471551,0.0101222,0.0203677,0.0351673,0.0584049,0.0846618,0.116032,0.152492,0.179097,0.213108,0.232592,0.243516,0.248088,0.249752,0.250823,0.255358,0.262897
116,0.236486,0.222243,0.192841,0.150365,0.105132,0.0627153,0.0280967,0.0105606,0.00272679,0.00048476,5.79843e-05,4.86381e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.81201e-06,1.77386e-05,7.12406e-05,0.000213054,0.00065013,0.00189345,0.00429017,0.00972953,0.0195082,0.0349036,0.0561164,0.084802,0.112805,0.148781,0.181397,0.209511,0.230368,0.242794,0.248389,0.249905,0.251748,0.25504,0.263913
