SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:19:46
Date and Time Ended,2022-Jun-08 18:20:29
Scan Name,Scan 21
Link Settings,
Reset RX After Applying Settings,false
Open Area,9369
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.221044,0.194212,0.153578,0.109576,0.0748937,0.0404337,0.0192886,0.00756601,0.00233053,0.00057269,0.000106146,1.39239e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.33516e-06,2.16487e-05,0.000125792,0.000527867,0.00152094,0.00419308,0.00859264,0.016661,0.0290698,0.045224,0.0741615,0.100538,0.133505,0.162023,0.187029,0.21048,0.228186,0.237998,0.246743,0.24854,0.250669,0.256799
126,0.221282,0.192027,0.153578,0.110076,0.0717453,0.0382084,0.0187999,0.00729567,0.00216878,0.000533112,9.3843e-05,1.40192e-05,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.00275e-06,1.93599e-05,0.00011511,0.000469024,0.00133774,0.00366541,0.00785264,0.0157992,0.0279949,0.0481988,0.0729204,0.0982239,0.126888,0.163707,0.186773,0.20994,0.228186,0.238691,0.244972,0.249145,0.252213,0.259237
125,0.221402,0.189715,0.149979,0.108358,0.0700041,0.0377506,0.0167846,0.00705114,0.0020696,0.000492962,8.3257e-05,1.23026e-05,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,1.47822e-05,9.42245e-05,0.000431926,0.00123007,0.00371939,0.00761313,0.016613,0.0272083,0.0440045,0.0671025,0.0938359,0.130652,0.159623,0.186179,0.209725,0.226671,0.236896,0.245266,0.248842,0.252213,0.258582
124,0.218334,0.189101,0.152606,0.102398,0.0674006,0.037202,0.0171085,0.00649736,0.0019111,0.000457675,7.6772e-05,1.09674e-05,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,1.25887e-05,7.97284e-05,0.000372129,0.00113479,0.00342756,0.00739339,0.0153798,0.0269222,0.0436621,0.0636608,0.09375,0.122633,0.154505,0.184585,0.209297,0.227552,0.237033,0.244972,0.248389,0.251748,0.258419
123,0.216602,0.188232,0.149815,0.102887,0.0662344,0.0362729,0.0160461,0.00616703,0.00178674,0.000421244,7.06683e-05,1.02998e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.5259e-06,1.09674e-05,6.60906e-05,0.00031939,0.0010709,0.00326181,0.00723102,0.0142383,0.0244213,0.0442374,0.0653885,0.0920229,0.120895,0.150641,0.177544,0.207705,0.223822,0.237583,0.24468,0.249296,0.252213,0.26006
122,0.218917,0.186688,0.145711,0.0986023,0.0642399,0.035555,0.0158591,0.00582122,0.00170939,0.000373846,6.37064e-05,7.0573e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,1.04906e-05,6.35157e-05,0.000264553,0.000969234,0.00310588,0.00640601,0.0134003,0.0230122,0.0408328,0.0607075,0.0917138,0.11952,0.149925,0.178862,0.203778,0.224189,0.23459,0.244096,0.248691,0.252992,0.259565
121,0.216831,0.184668,0.142368,0.098864,0.0637004,0.0344254,0.0150271,0.00569162,0.00158503,0.000348859,5.69352e-05,6.96193e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,7.24804e-06,5.07362e-05,0.000287251,0.000882067,0.0026688,0.00610046,0.01256,0.0224953,0.0372392,0.0622105,0.0884843,0.122817,0.153062,0.179962,0.204083,0.221522,0.234724,0.243661,0.248842,0.252836,0.26039
120,0.217522,0.183922,0.141288,0.0990793,0.0607886,0.0334499,0.0144974,0.00539817,0.00147526,0.000332456,4.64446e-05,7.53414e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,6.77119e-06,5.15946e-05,0.000278477,0.000874723,0.00238632,0.00559863,0.0118056,0.0229993,0.0378168,0.0589089,0.0820829,0.121433,0.150475,0.17693,0.205207,0.217869,0.232064,0.24222,0.246298,0.252368,0.260888
119,0.214897,0.182366,0.140561,0.096375,0.0603853,0.032007,0.0138963,0.0049815,0.00146181,0.000302987,4.2916e-05,5.24529e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,4.95918e-06,4.28206e-05,0.000210956,0.000687705,0.00226968,0.00531262,0.0125438,0.0210881,0.0359703,0.0591471,0.0839159,0.116827,0.14835,0.170949,0.201077,0.217869,0.23459,0.244534,0.24854,0.252368,0.262224
118,0.213999,0.180916,0.139412,0.0945726,0.0570465,0.0309759,0.0133653,0.0048084,0.00129721,0.000281815,3.97688e-05,4.86381e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.76844e-06,3.96735e-05,0.000197032,0.000733577,0.00227541,0.00476444,0.0115194,0.0201532,0.0337336,0.0558182,0.0830145,0.110284,0.142716,0.171737,0.201176,0.217753,0.233653,0.243371,0.249448,0.253148,0.25973
