TXDIFFSWING,TXPRE,TXPOST,RXTERM,Error_Count,Open Area
530 mV (00101),0.01 dB (00000),0.00 dB (00000),800 mV,0,70.3125,6695455600
530 mV (00101),0.01 dB (00000),2.28 dB (01001),800 mV,0,71.875,95062640
530 mV (00101),0.01 dB (00000),3.99 dB (01111),800 mV,0,73.4375,142286240
530 mV (00101),0.01 dB (00000),5.81 dB (10100),800 mV,0,73.4375,123786720
530 mV (00101),2.24 dB (01001),0.00 dB (00000),800 mV,0,68.75,91128400
530 mV (00101),2.24 dB (01001),2.28 dB (01001),800 mV,0,70.3125,109111600
530 mV (00101),2.24 dB (01001),3.99 dB (01111),800 mV,0,71.875,9534298320
530 mV (00101),2.24 dB (01001),5.81 dB (10100),800 mV,0,71.875,121798880
530 mV (00101),3.90 dB (01111),0.00 dB (00000),800 mV,0,64.0625,111845760
530 mV (00101),3.90 dB (01111),2.28 dB (01001),800 mV,0,65.625,95010480
530 mV (00101),3.90 dB (01111),3.99 dB (01111),800 mV,0,68.75,129784720
530 mV (00101),3.90 dB (01111),5.81 dB (10100),800 mV,0,68.75,126834480
950 mV (11000),0.01 dB (00000),0.00 dB (00000),800 mV,0,70.3125,115099440
950 mV (11000),0.01 dB (00000),2.28 dB (01001),800 mV,0,73.4375,149413520
950 mV (11000),0.01 dB (00000),3.99 dB (01111),800 mV,0,73.4375,120369840
950 mV (11000),0.01 dB (00000),5.81 dB (10100),800 mV,0,73.4375,120105520
950 mV (11000),2.24 dB (01001),0.00 dB (00000),800 mV,0,64.0625,115188640
950 mV (11000),2.24 dB (01001),2.28 dB (01001),800 mV,0,68.75,112188400
950 mV (11000),2.24 dB (01001),3.99 dB (01111),800 mV,0,71.875,106631760
950 mV (11000),2.24 dB (01001),5.81 dB (10100),800 mV,0,71.875,94962560
950 mV (11000),3.90 dB (01111),0.00 dB (00000),800 mV,0,60.9375,124686320
950 mV (11000),3.90 dB (01111),2.28 dB (01001),800 mV,0,67.1875,122044080
950 mV (11000),3.90 dB (01111),3.99 dB (01111),800 mV,0,68.75,742506800
950 mV (11000),3.90 dB (01111),5.81 dB (10100),800 mV,0,68.75,3780455440
1040 mV (11111),0.01 dB (00000),0.00 dB (00000),800 mV,0,68.75,83462480
1040 mV (11111),0.01 dB (00000),2.28 dB (01001),800 mV,0,71.875,3652511200
1040 mV (11111),0.01 dB (00000),3.99 dB (01111),800 mV,0,75.0,154772080
1040 mV (11111),0.01 dB (00000),5.81 dB (10100),800 mV,0,73.4375,116102560
1040 mV (11111),2.24 dB (01001),0.00 dB (00000),800 mV,0,65.625,141073040
1040 mV (11111),2.24 dB (01001),2.28 dB (01001),800 mV,0,68.75,6710082880
1040 mV (11111),2.24 dB (01001),3.99 dB (01111),800 mV,0,71.875,134790480
1040 mV (11111),2.24 dB (01001),5.81 dB (10100),800 mV,0,71.875,158587680
1040 mV (11111),3.90 dB (01111),0.00 dB (00000),800 mV,0,60.9375,119214320
1040 mV (11111),3.90 dB (01111),2.28 dB (01001),800 mV,0,65.625,108775280
1040 mV (11111),3.90 dB (01111),3.99 dB (01111),800 mV,0,67.1875,121269840
1040 mV (11111),3.90 dB (01111),5.81 dB (10100),800 mV,0,68.75,119809120
------------BEST------------
1040 mV (11111),0.01 dB (00000),3.99 dB (01111),800 mV,0,75.0
