TXDIFFSWING,TXPRE,TXPOST,RXTERM,Error_Count,Open Area
390 mV (00000),0.01 dB (00000),0.00 dB (00000),800 mV,0,1872
390 mV (00000),0.01 dB (00000),0.74 dB (00011),800 mV,0,1800
390 mV (00000),0.01 dB (00000),1.32 dB (00110),800 mV,0,1836
390 mV (00000),0.01 dB (00000),2.28 dB (01001),800 mV,0,2988
390 mV (00000),0.01 dB (00000),3.14 dB (01100),800 mV,0,5940
390 mV (00000),0.01 dB (00000),3.99 dB (01111),800 mV,0,12672
------------BEST------------
390 mV (00000),0.01 dB (00000),3.99 dB (01111),800 mV,0,12672
