TXDIFFSWING,TXPRE,TXPOST,RXTERM,Error_Count,Open Area
530 mV (00101),0.01 dB (00000),0.00 dB (00000),800 mV,0,70.3125,145586720
530 mV (00101),0.01 dB (00000),2.28 dB (01001),800 mV,0,70.3125,107331440
530 mV (00101),0.01 dB (00000),3.99 dB (01111),800 mV,0,71.875,85167040
530 mV (00101),0.01 dB (00000),5.81 dB (10100),800 mV,0,71.875,96753920
530 mV (00101),2.24 dB (01001),0.00 dB (00000),800 mV,0,68.75,115128560
530 mV (00101),2.24 dB (01001),2.28 dB (01001),800 mV,0,70.3125,131010320
530 mV (00101),2.24 dB (01001),3.99 dB (01111),800 mV,0,70.3125,124364400
530 mV (00101),2.24 dB (01001),5.81 dB (10100),800 mV,0,70.3125,124486160
530 mV (00101),3.90 dB (01111),0.00 dB (00000),800 mV,0,65.625,148308560
530 mV (00101),3.90 dB (01111),2.28 dB (01001),800 mV,0,67.1875,109581760
530 mV (00101),3.90 dB (01111),3.99 dB (01111),800 mV,0,67.1875,3705701040
530 mV (00101),3.90 dB (01111),5.81 dB (10100),800 mV,0,67.1875,150088720
950 mV (11000),0.01 dB (00000),0.00 dB (00000),800 mV,0,68.75,81498080
950 mV (11000),0.01 dB (00000),2.28 dB (01001),800 mV,0,71.875,82309920
950 mV (11000),0.01 dB (00000),3.99 dB (01111),800 mV,0,71.875,95857440
950 mV (11000),0.01 dB (00000),5.81 dB (10100),800 mV,0,73.4375,135562400
950 mV (11000),2.24 dB (01001),0.00 dB (00000),800 mV,0,68.75,119596240
950 mV (11000),2.24 dB (01001),2.28 dB (01001),800 mV,0,70.3125,124175040
950 mV (11000),2.24 dB (01001),3.99 dB (01111),800 mV,0,70.3125,120196800
950 mV (11000),2.24 dB (01001),5.81 dB (10100),800 mV,0,70.3125,109536480
950 mV (11000),3.90 dB (01111),0.00 dB (00000),800 mV,0,64.0625,134719440
950 mV (11000),3.90 dB (01111),2.28 dB (01001),800 mV,0,67.1875,9767614000
950 mV (11000),3.90 dB (01111),3.99 dB (01111),800 mV,0,65.625,3895488400
950 mV (11000),3.90 dB (01111),5.81 dB (10100),800 mV,0,67.1875,118237680
1040 mV (11111),0.01 dB (00000),0.00 dB (00000),800 mV,0,68.75,131282720
1040 mV (11111),0.01 dB (00000),2.28 dB (01001),800 mV,0,70.3125,136213840
1040 mV (11111),0.01 dB (00000),3.99 dB (01111),800 mV,0,70.3125,149538960
1040 mV (11111),0.01 dB (00000),5.81 dB (10100),800 mV,0,71.875,85094000
1040 mV (11111),2.24 dB (01001),0.00 dB (00000),800 mV,0,68.75,118227680
1040 mV (11111),2.24 dB (01001),2.28 dB (01001),800 mV,0,70.3125,121201360
1040 mV (11111),2.24 dB (01001),3.99 dB (01111),800 mV,0,68.75,121411600
1040 mV (11111),2.24 dB (01001),5.81 dB (10100),800 mV,0,68.75,6707410880
1040 mV (11111),3.90 dB (01111),0.00 dB (00000),800 mV,0,64.0625,109589920
1040 mV (11111),3.90 dB (01111),2.28 dB (01001),800 mV,0,65.625,95897520
1040 mV (11111),3.90 dB (01111),3.99 dB (01111),800 mV,0,67.1875,85935920
1040 mV (11111),3.90 dB (01111),5.81 dB (10100),800 mV,0,67.1875,121482560
------------BEST------------
950 mV (11000),0.01 dB (00000),5.81 dB (10100),800 mV,0,73.4375
