TXDIFFSWING,TXPRE,TXPOST,RXTERM,Error_Count,Open Area
530 mV (00101),0.01 dB (00000),0.00 dB (00000),800 mV,0,71.875,121657520
530 mV (00101),0.01 dB (00000),2.28 dB (01001),800 mV,0,73.4375,78587200
530 mV (00101),0.01 dB (00000),3.99 dB (01111),800 mV,0,75.0,128144960
530 mV (00101),0.01 dB (00000),5.81 dB (10100),800 mV,0,75.0,92483440
530 mV (00101),2.24 dB (01001),0.00 dB (00000),800 mV,0,71.875,109853760
530 mV (00101),2.24 dB (01001),2.28 dB (01001),800 mV,0,73.4375,113354240
530 mV (00101),2.24 dB (01001),3.99 dB (01111),800 mV,0,75.0,138376480
530 mV (00101),2.24 dB (01001),5.81 dB (10100),800 mV,0,73.4375,93459760
530 mV (00101),3.90 dB (01111),0.00 dB (00000),800 mV,0,68.75,84209520
530 mV (00101),3.90 dB (01111),2.28 dB (01001),800 mV,0,71.875,129811280
530 mV (00101),3.90 dB (01111),3.99 dB (01111),800 mV,0,73.4375,138886720
530 mV (00101),3.90 dB (01111),5.81 dB (10100),800 mV,0,71.875,132854160
950 mV (11000),0.01 dB (00000),0.00 dB (00000),800 mV,0,70.3125,120459280
950 mV (11000),0.01 dB (00000),2.28 dB (01001),800 mV,0,71.875,120623360
950 mV (11000),0.01 dB (00000),3.99 dB (01111),800 mV,0,73.4375,104910800
950 mV (11000),0.01 dB (00000),5.81 dB (10100),800 mV,0,75.0,127496320
950 mV (11000),2.24 dB (01001),0.00 dB (00000),800 mV,0,68.75,89384480
950 mV (11000),2.24 dB (01001),2.28 dB (01001),800 mV,0,71.875,113412400
950 mV (11000),2.24 dB (01001),3.99 dB (01111),800 mV,0,73.4375,116821440
950 mV (11000),2.24 dB (01001),5.81 dB (10100),800 mV,0,75.0,120813520
950 mV (11000),3.90 dB (01111),0.00 dB (00000),800 mV,0,65.625,117405440
950 mV (11000),3.90 dB (01111),2.28 dB (01001),800 mV,0,71.875,118611440
950 mV (11000),3.90 dB (01111),3.99 dB (01111),800 mV,0,73.4375,99075040
950 mV (11000),3.90 dB (01111),5.81 dB (10100),800 mV,0,73.4375,152643680
1040 mV (11111),0.01 dB (00000),0.00 dB (00000),800 mV,0,70.3125,115237840
1040 mV (11111),0.01 dB (00000),2.28 dB (01001),800 mV,0,73.4375,125873200
1040 mV (11111),0.01 dB (00000),3.99 dB (01111),800 mV,0,73.4375,133377920
1040 mV (11111),0.01 dB (00000),5.81 dB (10100),800 mV,0,75.0,3728794080
1040 mV (11111),2.24 dB (01001),0.00 dB (00000),800 mV,0,67.1875,137959840
1040 mV (11111),2.24 dB (01001),2.28 dB (01001),800 mV,0,71.875,126107360
1040 mV (11111),2.24 dB (01001),3.99 dB (01111),800 mV,0,73.4375,133254160
1040 mV (11111),2.24 dB (01001),5.81 dB (10100),800 mV,0,75.0,98010000
1040 mV (11111),3.90 dB (01111),0.00 dB (00000),800 mV,0,67.1875,6796595040
1040 mV (11111),3.90 dB (01111),2.28 dB (01001),800 mV,0,70.3125,126897280
1040 mV (11111),3.90 dB (01111),3.99 dB (01111),800 mV,0,71.875,152883760
1040 mV (11111),3.90 dB (01111),5.81 dB (10100),800 mV,0,73.4375,93119520
------------BEST------------
530 mV (00101),0.01 dB (00000),3.99 dB (01111),800 mV,0,75.0
