TXDIFFSWING,TXPRE,TXPOST,RXTERM,Error_Count,Open Area
390 mV (00000),0.01 dB (00000),0.00 dB (00000),800 mV,0,8064
390 mV (00000),0.01 dB (00000),0.74 dB (00011),800 mV,0,7992
390 mV (00000),0.01 dB (00000),1.32 dB (00110),800 mV,0,7992
390 mV (00000),0.01 dB (00000),2.28 dB (01001),800 mV,0,7992
390 mV (00000),0.01 dB (00000),3.14 dB (01100),800 mV,0,7884
390 mV (00000),0.01 dB (00000),3.99 dB (01111),800 mV,0,7956
390 mV (00000),0.01 dB (00000),5.05 dB (10010),800 mV,0,7884
390 mV (00000),0.01 dB (00000),6.69 dB (10101),800 mV,0,7560
390 mV (00000),0.01 dB (00000),7.84 dB (11000),800 mV,0,7632
390 mV (00000),0.01 dB (00000),9.14 dB (11010),800 mV,1,7596
390 mV (00000),0.01 dB (00000),9.14 dB (11010),800 mV,1,0
390 mV (00000),0.01 dB (00000),10.51 dB (11100),800 mV,1725,2952
390 mV (00000),0.01 dB (00000),10.51 dB (11100),800 mV,1725,0
390 mV (00000),0.01 dB (00000),11.63 dB (11101),800 mV,97056,0
390 mV (00000),0.01 dB (00000),12.29 dB (11110),800 mV,95671767,0
390 mV (00000),0.01 dB (00000),13.67 dB (11111),800 mV,499206,0
390 mV (00000),0.73 dB (00011),0.00 dB (00000),800 mV,0,8028
390 mV (00000),0.73 dB (00011),0.74 dB (00011),800 mV,0,7956
390 mV (00000),0.73 dB (00011),1.32 dB (00110),800 mV,0,8100
390 mV (00000),0.73 dB (00011),2.28 dB (01001),800 mV,0,8028
390 mV (00000),0.73 dB (00011),3.14 dB (01100),800 mV,0,7776
390 mV (00000),0.73 dB (00011),3.99 dB (01111),800 mV,0,7812
390 mV (00000),0.73 dB (00011),5.05 dB (10010),800 mV,0,7884
390 mV (00000),0.73 dB (00011),6.69 dB (10101),800 mV,0,7560
390 mV (00000),0.73 dB (00011),7.84 dB (11000),800 mV,0,7740
390 mV (00000),0.73 dB (00011),9.14 dB (11010),800 mV,219,6552
390 mV (00000),0.73 dB (00011),9.14 dB (11010),800 mV,219,0
390 mV (00000),0.73 dB (00011),10.51 dB (11100),800 mV,17790,0
390 mV (00000),0.73 dB (00011),11.63 dB (11101),800 mV,16596,0
