SW Version,2020.2.2
Date and Time Started,2022-Jun-03 13:19:32
Date and Time Ended,2022-Jun-03 13:20:10
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,8856
Horizontal Opening,43
Horizontal Percentage,66.15
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.245413,0.23459,0.216259,0.181236,0.138283,0.0872404,0.048267,0.0234711,0.00996845,0.00340829,0.000941196,0.000203231,4.23438e-05,7.15267e-06,4.76844e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,1.11582e-05,4.46326e-05,0.000160887,0.000458152,0.00122654,0.00276226,0.00569162,0.0107392,0.0191802,0.0314588,0.0498047,0.0764738,0.109722,0.148135,0.185841,0.217637,0.236623,0.245855,0.248842,0.250516,0.250669,0.250057,0.251439,0.252368
126,0.24222,0.23392,0.212776,0.179018,0.131533,0.0852078,0.0467573,0.0217985,0.00930134,0.00326162,0.000804913,0.000186065,3.31884e-05,5.91287e-06,1.5259e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.00275e-06,9.34615e-06,4.20577e-05,0.000144293,0.000429255,0.00112678,0.0024836,0.005383,0.0100364,0.0182585,0.0306124,0.0484898,0.0734566,0.106526,0.146966,0.183018,0.215462,0.236213,0.244972,0.249905,0.2496,0.24854,0.250057,0.250363,0.252368
125,0.243951,0.233121,0.212997,0.172171,0.129006,0.0834373,0.045556,0.0207557,0.00881283,0.00296178,0.000742256,0.000167754,3.3093e-05,5.43603e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.04906e-06,8.48783e-06,3.80522e-05,0.0001215,0.000378328,0.00105383,0.00249876,0.00515421,0.00982498,0.0181735,0.0298712,0.0490062,0.0719848,0.104275,0.145349,0.182773,0.214447,0.23567,0.24468,0.248993,0.249905,0.248993,0.250669,0.251439,0.253305
124,0.243082,0.229722,0.211567,0.173999,0.127164,0.0804545,0.0431924,0.0188849,0.00791073,0.00262255,0.000654421,0.000139811,2.69894e-05,5.43603e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.43053e-06,6.29435e-06,3.18532e-05,0.000109674,0.000330835,0.000936809,0.00222553,0.00467336,0.00932569,0.01674,0.0289261,0.0464497,0.0734039,0.103826,0.143717,0.179646,0.211349,0.234859,0.24556,0.24854,0.249905,0.248842,0.250363,0.251903,0.253461
123,0.242938,0.23154,0.207075,0.171306,0.124345,0.0780327,0.0400346,0.0195286,0.00744337,0.00238794,0.000619802,0.000134947,2.16487e-05,3.91012e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,5.43603e-06,2.52728e-05,0.000102808,0.000327211,0.000872625,0.00207017,0.00459554,0.00884862,0.0162389,0.0280237,0.044887,0.0700639,0.10044,0.141924,0.17941,0.211349,0.23246,0.245413,0.24854,0.2496,0.249145,0.25021,0.251593,0.253933
122,0.242077,0.229722,0.202368,0.166434,0.120575,0.0777808,0.0373138,0.0177713,0.00667754,0.00223001,0.000539597,0.000119211,2.01228e-05,2.95644e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,4.00549e-06,2.34607e-05,8.87884e-05,0.000270657,0.000796616,0.00186189,0.00425355,0.00858507,0.0155343,0.0264339,0.0429704,0.0665249,0.0985074,0.139128,0.174741,0.208551,0.233121,0.243516,0.248239,0.250669,0.249752,0.250669,0.252213,0.254722
121,0.241934,0.22844,0.205516,0.16476,0.119345,0.0726745,0.0365154,0.0173073,0.0063165,0.00193761,0.000503071,0.00010729,1.98367e-05,2.86107e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,3.71939e-06,2.21256e-05,8.27802e-05,0.000264076,0.000759899,0.00179389,0.00398852,0.00818762,0.0152469,0.0256992,0.0418422,0.0652843,0.0954541,0.134735,0.173117,0.207075,0.230109,0.244972,0.24854,0.249448,0.2496,0.250363,0.25113,0.255199
120,0.241079,0.227932,0.200388,0.162473,0.113587,0.0676903,0.035062,0.0158144,0.00613603,0.00180009,0.000437934,8.04913e-05,1.48775e-05,2.38422e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,3.33791e-06,1.72618e-05,7.13359e-05,0.0002224,0.000669203,0.00160039,0.00376411,0.00773256,0.0142701,0.0246684,0.0404697,0.0632968,0.0939435,0.132598,0.171954,0.203071,0.230627,0.243371,0.24854,0.25021,0.250363,0.250823,0.251748,0.255676
119,0.240796,0.227173,0.199997,0.158022,0.110373,0.0668506,0.0323176,0.0151438,0.00563077,0.00168078,0.000415427,7.75349e-05,1.47822e-05,2.19348e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,3.43328e-06,1.3447e-05,7.01915e-05,0.000217536,0.000633154,0.00151522,0.00358635,0.00719621,0.0132696,0.0234818,0.0387799,0.063999,0.0903383,0.130944,0.170522,0.203172,0.228951,0.242938,0.248088,0.249752,0.249448,0.25021,0.252213,0.255199
118,0.240513,0.223455,0.197299,0.15568,0.10987,0.0624857,0.031546,0.0138751,0.00498169,0.00158789,0.000364023,7.09545e-05,1.47822e-05,1.2398e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.62127e-06,1.32563e-05,6.18944e-05,0.000187304,0.000542172,0.00143177,0.0032805,0.00696055,0.0126072,0.0228021,0.0386154,0.0602876,0.0890034,0.128641,0.167455,0.201572,0.228823,0.242794,0.247938,0.249905,0.250057,0.250977,0.252524,0.255676
